compatibility n.和谐共处，不矛盾
polymath n．知识广博者
mite n．极小量，小虫
solidarity n．团结，一致
remainder n．剩余物
laboured adj．吃力的，（文体）不自然的
lively adj．快活的、生动的
muffle v．使声音降低，裹住
cater v.迎合，满足需要，承办(宴会等)
forager n．为动物寻找饲料的人
sanctimonious adj．伪装虔诚的
repent v．懊悔，后悔
vapid adj．索然无味的
fledged adj．羽毛长成的，成熟的
tycoon n．有钱有势的企业家，大亨
presto n．(音乐)快拍,急速
exponent n.说明者，支持者
halcyon adj．平静的，愉快的
synchronize v．使同步
installation n．就职，安装
barbarity n.残忍,残暴
tenderfoot n.生手，新手
heterogeneous adj.异类的，不同的
deflection n．转向，偏斜
solicit v．恳求，乞求，教唆
obfuscate v．使困惑，使迷惑
reminisce v．追忆，怀旧
libellous adj．诽谤的
weasel n．黄鼠狼，鼬，v．告密
privation n．丧失,贫困
parchment n．羊皮纸，羊皮纸手稿
edify v．陶冶，启发
abracadabra n.咒语，胡言乱语
creek n．小湾，小溪
caste n．社会等级，等级
mischievous adj．淘气的，有害处的
panel n．讨论小组，仪表板
farce n．闹剧,胡闹
gobble v．贪婪地吃，吞没
badge n.徽章(如校徽等)
granular adj．粒状的，含颗粒的
grumpy adj．脾气暴躁的
sledgehammer n．长柄大锤
lunacy n．疯狂，愚行
muddle n．混乱，迷惑
imputation n．归咎，归罪
swank v．夸耀，炫耀
lapidary n．宝石工，宝石专家
caribou n.北美驯鹿
sequacious adj．前后一贯的，盲从的
doddle n.轻而易举之事
mime n．比划手脚（以表达），哑剧（演员）
unguarded adj．不留神的，没有防备的
thrall n．奴隶，农奴
linger v．逗留，留恋
abject adj．极可怜的，卑屈的
gratify v．使高兴，使满足
soliloquy n．自言自语，独白
demeanor n．举止，行为
classification n.分类，分类法
scour v．擦洗，擦亮
relegate v．降级，贬谪
beet n．甜菜
vindictive adj．报复性的
magpie n．鹊，饶舌的人
equanimity n．镇定，沉着
testy adj．性急的，暴躁的
elastic adj.有弹性的,灵活的
deem v．认为，视为
convocation n．召集，会议
gastritis n胃炎
piazza n．阳台，广场，市场
testify v．见证，证实
cantata n．清唱剧
attentive adj.留心听的,关心的
balk v.阻止，妨碍
primeval n．原始的,早期的
acoustics n．声学
classify v.分类，归类
valetudinarian n．体弱的人，过份担心生病的人
gnawing adj．痛苦的，折磨人的
superimpose v．加在上面，附加
embody v．(作品等)表达，体现
cuticle n．表皮
armada n．舰队
appellation n．名称，称呼
calcify v．使硬化，钙化
harpsichord n．键琴（钢琴前身）
fertile adj．多产的，肥沃的
boorish adj．粗野的
archetype n．原型，典型
patriarchy n．家长，父系社会
villein n.农奴
erasure n．擦掉,擦痕
regurgitate v.反胃，呕吐
subpoena n．（法律）传票，v．传讯
adoration n．爱慕，崇拜
acquiescent adj．默认的，顺从的
estuary n.河口,三角湾
ratiocination n．推理，推论
ruddy adj．（脸色）红润的，红色[福www哇FｖａL小cＮ说]的
hypodermic adj．皮下注射的
undaunted adj．不屈不挠的，无畏的
makeshift n．adj．权宜之计（的），代用品
recompense v．报酬，赔偿
reincarnation n．化身，转世的生命
inflammable adj．可燃的，易激怒的
exhortation n.劝告，规劝
bereft of丧失，失去
spartan adj．简朴的，刻苦的
generator n．发电机
statutory adj．法定的，受法令所约束的
loutish adj．粗鲁的
tally v．（使）一致，符合n．完全相似
stun v．使昏迷，使发愣
hucksterize v.强制推销(
gyroscope n.陀螺仪，回转仪
rectitude n．诚实，正直
interregnum n．无王时期,
dogmatic adj．教条的，教义的
timorous adj．胆小的，胆怯的
peril n．危险
trudge v．跋涉
literati n．文人，学者（复数）
gutless adj．没有勇气的，懦怯的
legislate v．制定法律
apiary n．养蜂场
intersection n．横断,十字路口
scorch v．烤焦，烧焦
incommensurate adj．不成比
risible adj．可笑的，引人发笑的
demur v．表示异议，反对
aspersion n．诽谤，中伤
inkling n.暗示，细微的迹象(
delegate n．代表
stiletto n．小剑，匕首
illicit adj．违法的，违禁的
submerge v．沉没，淹没
jinx n.不祥的人(或物)
iota n．极小量，极少
mnemonics n．记忆法，
plethora n．过量,过剩
strip v．剥去，n．狭长的一片
polarization n．极化
impressionable adj．易受影响的
founder v．（船）沉没，（计划）失败
ecstatic adj．狂喜的，心花怒放的
grandeur n．壮丽，伟大
icon n．圣像，偶像
sprawl v．n．伸展手足而卧，懒散地躺
allegro adj.(音)轻快的，快速的
reaper n．收割者
polish v．把…擦光亮n．上光剂,(态度等)优雅
invoice n．v．发票，开发票
crate n．篓，板条箱
chase v．雕镂，追捕
jazzy adj．吸引人的，花哨的
revelry n．狂欢
treason n．叛国罪
hovel n．茅舍，肮脏的小屋
absolution n．赦免，免除
incommensurate adj．不成比
encephalitis n．脑炎
trench n．沟，壕沟
admonitory adj．警告的
denigrate v．污蔑，诽谤
epidemic adj．传染性的，流行性的
varnish n．清漆，v．涂上清漆
honorarium n．酬劳金，谢礼
fettered adj．被拘束的，没自由的
eurhythmic adj.匀称的协调的
heir n．继承人
skulduggery n．舞弊，作假
talebearer n.散布谣言者
jargon n．行话
demobilize v．遣散（军人），复员
disciple n．信徒、弟子
utilitarian adj．功利的，实利的
strenuous 　adj．费力的，精力充沛的
vainglorious adj．自负的，虚荣心强的
dimple n．酒涡，笑靥
arrears n.债，欠债
merge v合并，淹没
blizzard n．暴风雪
bashful adj.害羞的,羞怯的
antibody n．抗体（身体中的抗病物质）
intervene v．介入,干涉
aluminium n．铝
nymph n．年轻女神，少女
vaunt v．吹嘘，炫耀
cynosure n．注意的焦点
dictum n．格言、声明
coax v.哄诱，巧言诱哄
dodge v．闪开、躲避
gainsay v．否认
posterior adj．(在时间,次序上)较后的
incubator n．孵卵器，早产婴儿保育箱
inexpedient adj．不适当的，不明智的
congenital adj．（病等）先天的，天生的
shopsoiled adj.残破的，陈旧的
truncheon n．警棍，警棒
toxic adj．有毒的，中毒的
halcyon adj．平静的，愉快的
