dual adj．双重的
boorish adj．粗野的
grill v．烤，烤问，n．烤架
literal adj．精确的、忠实原义的
probe v．探索,探测
invoice n．v．发票，开发票
gauge n．标准规格，测量仪
ideology n．意识，意识形态
helmsman n．舵手
venial adj．（错误等）轻微的，可原谅的
lounger n．游手好闲之人
induce v．诱导，引起
spoor n．（野兽的）足迹
fluke n．侥幸，偶然的机会
ravishing adj．令人陶醉的
jest v．n．说笑，玩笑
accommodating adj．乐于助人的
crate n．篓，板条箱
invidious adj．惹人反感的，招人嫉妒的
roguish adj．捣蛋的，无赖的
virtuoso n．演艺精湛的人，大师
pugnacity n．好斗性
exaggerate v.夸张,夸大
superficial adj．表面的，肤浅的
incivility n．无礼，粗鲁
ramify v．分支，分叉
affiliate v．加入，联合
underpin v.加固，支撑
debut n．初次登台，初次露面
acclaim v．欢呼，称赞
peppery adj．胡椒味的，暴躁的
chasm n.(地壳，冰上的)隐窟，深坑(
ironclad adj．坚固的，装铁甲的
scour v．四处搜索
retrospective adj．追想的，回顾的
disgruntled adj.心境不佳的，不满的
paranoia n．偏执狂，多疑症
deceit n．欺骗，欺诈
satanic adj．穷凶极恶的
exceedingly adv.过份地
ventilate v．使…通风，透风
commandment n.戒律
scale v．攀登
clamour n.吵闹、喧哗
nimble adj．敏捷的，灵活的
contentious adj．好辩的，喜争吵的
languor n．身心疲惫
stingy adj．吝啬的，小气的
crusade n．为维护理想，原则而进行的运动或斗争
prodigious adj．很大的,巨大的
forebode v．预兆，凶兆
definition n．（轮廓等）清晰，定义
scavenge v．（在废物中）寻觅，（动物）食腐肉
coquetry n.卖弄风情，媚态
packed adj．充满人的，拥挤的
concoct v．调制，捏造
loiter v．游荡，走走停停
distracted adj．心烦意乱的．精神不集中
humanity n．人类，人文学科
alchemy n．炼金术
gaiety n．欢乐，快活
seclude v．和别人隔离
erupt v．爆发,喷出火焰
spark n．火花，火星
contemplate v．深思，（严肃）注视
forgo v．放弃，抛弃
daredevil adj．n．胆大的（人），冒失的（人）
schematize v．扼要表示
chagrined adj．失望的，灰心的
shoddy n．劣质的，冒充好货的
flounder n．比目鱼
pier n．桥墩，码头
pagan n．没有宗教信仰的人，异教徒
rip v．撕裂，撕破
deference n．敬意，尊重
inculcate v．灌输，谆谆教诲
potentate n．统治者,当权者
expansion n.扩张,膨胀
husky adj．声音沙哑的
recessive adj．隐性遗传的，后退的
tumultuous adj．乱哄哄的，喧哗的
usurp v．篡夺，霸占
commence v.开始，倡导
unabashed adj．不畏惧的，不害躁的
farrow v．(母猪)生产n.一窝小猪
ambrosia n.神仙食品，美味
illumination n．照明，古书上的图案、装饰
outskirts n．郊区，郊外
reliance n．信赖，信任
emerge v．出现，露出
chunky adj．（人或动物）矮胖的
snobbish adj．势利眼的
spatchcock v．把（文字）插入
truism n．自明之理，真理
injunction n．命令，强制令
atlas n.地图集
treason n．叛国罪
reek n.恶臭
scintillating adj．才气横溢的
perfidious adj．不忠的，背信弃义的
convertible adj．可转换的，n．敞篷车
profuse adj．很多的,浪费的
splenetic adj．脾气暴的，易怒的
opacity n．不透明，暖昧
personalities n．诽谤
collision n.碰撞，冲突
lewd adj．好色的，猥亵的
enormous adj．极大的,巨大的
grating adj．（声音）刺耳的，恼人的
substantive adj．独立存在的，直接的
sculpt v．雕刻
hysteria n．歇斯底里症，过度兴奋
irradiate v．使明亮，生辉
invincible adj．不可征服的，难以制服的
inoculation n．接种，灌输
magnanimous adj．宽宏大量的，慷慨的
treadmill n.踏车，单调乏味的工作
stout adj．肥胖的，强壮的
pretension n．自命不凡
declination n．倾斜，衰微
carouse v．n．狂饮寻乐
helmsman n．舵手
reek n.恶臭
gusher n．滔滔不绝的说话者，喷油井
feint v．n．佯攻，佯击
roan n.杂色马
guy n．（铁塔等的）支索，牵索
elusive adj.难懂的
barb n.(鱼钩的)倒钩
irrevocable adj．不能改变的，无法取消的
implement n．工具，器具v．实现，实施
papoose n.幼儿，背婴儿的袋子，(
dolorous adj．悲哀的，忧愁的
typhoid n.伤寒症
moiety n．一半，半份
bureaucracy n．官僚政治
heed v．注意到，关心
patchwork n.拼缝物
lore n．知识，全部传说
introspection n．内省，反省
dislodge v．逐出，取出
wreak v.泄愤，报仇
abide v．容忍，忍受
totter v．摇摇欲坠，步伐蹒跚
elope v.私奔
insulate v．使绝缘，使隔离
pulchritude n．美丽
muster v．召集，聚集
sparkle v．闪闪发光，闪耀
locus n．地点，集中地
razor n．剃刀，刮胡刀
flabby adj．（肌肉）松软的，意志薄弱的
hydrate n．水化物
acme n．顶点，极点
umbrage n．不快，愤怒
proficient adj．熟练的,精通的
girdle n．腰带，转绕物v．环绕
daub v．涂抹，乱画
idle adj．不做事的，懒惰的v．浪费光阴
glamorous adj．迷人的，富有魅力的
fanfare n．夸耀,嘹亮的喇叭声
sanguinary adj．有血的，血腥的
blemish v．损害，玷污n．瑕疵，缺点
stern n．船尾
maestro n．音乐大师
bonanza n.走运，发财
pauper n．贫民，乞丐
rekindle v．重新点燃
yokel n．乡巴佬
idiosyncrasy n．特殊癖性或行为
skew adj．不直的，歪斜的
osseous adj．骨的，多骨的
scurrilous adj．下流的、恶言毁谤的
intolerant adj不容异已的
rotary adj．旋转的，转动的
superlative adj最佳的
emendation n．订正，校订
treason n．叛国罪
puny adj．弱小的,发育不良的
cubicle n.寝室，小卧室
pendulum n．摆，钟摆．
sapless adj．没有无气的
contention n．争论，论点
feline adj．猫科的
herbaceous adj．草本植物的
quarantine n．隔离检疫期，隔离
niggling adj．琐碎的，费神的
equivalent adj．相等的,等值的
exult v．欢腾,喜悦
exceed v.超过,超出
contravene v．违背（法规，习俗等）
satanic adj．穷凶极恶的
intricacy n．错综复杂
arson n．纵火、放火
watershed n.分水岭，流域
maelstrom n．大漩涡，灾祸
sensational adj．耸人听闻的，轰动的
carnival n．狂欢节
equitation n．骑术
viable adj．可行的，能活下去的
grumble v．喃喃诉苦，发怨言
ironclad adj．坚固的，装铁甲的
mimicry n．模仿，（动物等）拟态伪装
safari n．狩猎旅行，长途考察
belabour v．（过份冗长地）做或说，痛打
snigger v．n．暗笑，窃笑
obtuse adj．愚笨的，不锐利的
balk v.阻止，妨碍
cohesion n.内聚力
regiment n．（军队）团v．严格控制
desist v.停止，中止
discredit v．怀疑，n．丧失名誉
besiege v．围攻，困扰
hive n．蜂房，忙碌之地
momentous adj．极重要的，严重的
ballad n.歌谣,小曲
archaeology n．考古学
dredge v．用挖泥机疏浚，疏通
histrionic adj．演戏的，剧院的
skimp v．节省花费，吝啬
foment v．煽动，助长（坏事）
festal adj．节日的，欢乐的
decorum n．礼节，礼貌
motet n.赞美诗，圣歌
mediocrity n．平庸，碌碌之人
dehumanize v．使失掉人性
somber adj．忧郁的，阴暗的
neurosis n．精神病
necropolis n．公墓
extremity n．极度,绝境
ridge n．脊（如屋脊，山脊等），隆起物
waspish adj．易怒的，尖刻的
smelt v．熔解，熔炼
altruism n．利他主义，不自私
adornment n．装饰，装饰品
desuetude n．废止，不用
lancinate v．刺、戳
ruffian n．恶棍，歹徒．adj．残暴的
integrity n．正直,诚实,完整
convivial adj．欢乐的，狂欢的
rapt adj.专注的
momentum n．推进力，势头
acquiescent adj．默认的，顺从的
reputation n．名声，名誉．
malevolent adj．有恶意的，恶毒的
mock v．嘲笑，模仿地嘲弄
gerontology n．老人病学
nonchalance n．无动于衷，冷淡
incorrigible adj．积习难改的，不可救药的
pied adj．杂色的
litigant n．诉讼当事人
avow v.承认,公开宣称
pugnacity n．好斗性
ruffian n．恶棍，歹徒．adj．残暴的
rehash v.重复谈论
dowdy adj．不整洁的，过旧的
reproof n．斥责，责备
chaos n．混乱
tongs n．夹子，钳子
supplement v　n．增补，补充
agronomist n．农学家
martyr n．烈士，殉道者
devastating adj．破坏性的
depletion n．耗尽，枯竭
oscillate v．摆动，犹豫
refrain v．抑制，避免n．歌曲的反复句，叠句
provocation n．激怒
infuse v．灌输，使…充满
entice v．纵恿，引诱
cognate adj.同词源的，同类的
proselytize v．使……皈依
permissive adj．过份纵容的
