indispensable adj．不可缺乏的
satiny adj．光滑的，柔细的
exult v．欢腾,喜悦
reputable adj名誉好的，有声望的
ineluctable adj．难免的，不能逃避的
scaffold n．脚手架（造房时搭的架子）
sneer v．嘲笑，鄙视
perpetuity n．永恒，永久
demur v．表示异议，反对
lachrymose adj．好流泪的，引人落泪的
gale n．狂风，一阵（笑声）
reflection n．反射
escalate v．(战争等)升级,扩大,上升
scamper v．奔跑，快跑
granule n．小粒，微粒．
tarnish v．n．失去光泽，晦暗
risque adj.下流的，淫猥的
boulder n．巨石
straitened adj.贫困的
umpire n．裁判，v．对…进行仲裁
gargantuan adj．巨大的，庞大的
monotonous adj．单调的，无聊的
charisma n．（大众爱戴的）领袖气质，魅力
merge v合并，淹没
rein n．缰绳　v．控制
adroit adj．熟练的，灵巧的
virility n．雄劲，丈夫气
endorsement n．背书,赞同
pulsating adj．节奏强的,极为兴奋的
ambrosia n.神仙食品，美味
forsake v．遗弃，放弃
ontology n．实体论，本体论
nepotism n．裙带关系
unseemly adj．不适当，不宜
dirge n．哀歌、凄凉之曲调
gourmand n．嗜食者
tare n．莠草，杂草
desolate adj．荒凉的，被遗弃的
ulterior adj．较晚的，较远的，不可告人的
bassoon n.低音管,巴松
allude v．间接提到，暗指
immerse v．浸入，沉浸于
foolhardy adj．鲁莽的，有勇无谋的
sobriety n．节制，清醒
pulley n．滑轮,滑车
affliction n．痛苦，折磨
figment n．虚构的东西
cavalier n．骑士，武士
hearsay n．谣传，道听途说
ostrich n．鸵鸟，不接受现实的人
calumny n．诽谤，中伤
accomplice n．同谋者，帮凶
pugnacious adj．好斗的
fad n．(流行一时的)狂热,时尚
ingenuity n．巧思，聪敏
raffish adj.轻浮的，放荡的
distend v．（使）膨胀，胀大
solicitous adj．热切的，挂念的
immanent adj．普遍存在的，内在的
lobster n．龙虾
rigmarole n.冗长无聊的废话
apparel n．（精致的）衣服
potency n．能力
chop n．(用斧头等)砍，(风)突然改变方向
fortuitous adj．偶然的，意外的
glamour n．魅力，魔力
sinewy adj．多腱的，强壮有力的
epitome n．典型，梗概
lounger n．游手好闲之人
fracture n．骨折，折断，裂口
parvenu n．暴发户，新贵
compulsive adj．难以抑制的
fatuity n愚蠢，愚味
gadget n．小工具，小机械
turbulent adj．凶猛的，骚乱的
inoculate v．预防注射
icicle n．冰柱，冰垂
consternation n．大为吃惊，惊骇
livid adj．青灰色的（撞伤），（脸色）苍白的
rigmarole n.冗长无聊的废话
blase adj.对享乐感到厌倦的，无动于衷的
executioner n.刽子手
approbatory adj．表示赞许的．
gorgon n．丑陋女人，蛇发女怪
interrelate v．互相关连,相关
gargoyle n．（雕刻成怪兽状的）滴水嘴，面貌丑恶的人
entangle v．使纠缠，卷入
gleam n．亮光，闪光，v．发闪光
striking adj．引人注目的，明显的
restraint n．克制
heyday n．全盛时期，青春期
attenuate v.变薄,变弱
swirl n．v．旋转，漩涡
prance v.(马)腾跃，(人)神气活现地走(
eloquence n.雄辩，口才
isthmus n．地峡
accessible adj．易达到的，易受影响的
affectionate adj．挚爱的
gourd n．葫芦，脑瓜
animus n．憎恨
cloister n.修道院
factotum n．杂役,听差
retard v．妨碍，推迟
evasive adj.逃避的
appendage n．附加物
axiomatic adj.不需证明的,不言自明的
avalanche n.雪崩
deice v.防冰，除冰
fulmination n．抨击，谴责
wade v．涉水，水
ramp n.v.诈骗，索高价
receptacle n．容器
hefty adj.强壮的，笨重的
sapient adj．有智慧的
apposite adj．适当的，恰切的．
chic adj.漂亮的，时髦的
rueful adj．后悔的，遗憾的
elastic adj.有弹性的,灵活的
twinge n．（生理，心理上的）剧痛，刺痛
repugnance n．嫌恶，反感
suffrage n．选举权，投票权
glutton n．贪吃者
incandescent adj．白热的，热烈的
lapidary n．宝石工，宝石专家
weasel n．黄鼠狼，鼬，v．告密
amateurish adj．业余爱好的，不熟练的
badinage n.打趣，嘲弄
doff v．脱掉（外衣，帽子）
gosling n．小鹅，年轻无知的人
obbligato n.伴奏
ineptitude n．无能，不称职
despoil v．夺取，抢夺
frond n．（羊齿（fern），棕榈等的）叶子
endorsement n．背书,赞同
intestinal adj．肠的
dislodge v．逐出，取出
sprightly adj．愉快的，活泼的
provocation n．激怒
drone v．嗡嗡地响，n．单调的低音
orthodoxy n．正统学说
tadpole n，蝌蚪
hulking adj．笨重的
suffrage n．选举权，投票权
avowal n.公开承认
caustic adj．腐蚀性的，刻薄的
resonance n．回响，共鸣
horde n．群众，一大群
reverse n．反面，相反，v．倒车，反转
filth n．肮脏，粗语
caper v．n．雀跃，欢蹦
trepidation n．恐惧，惶恐
symmetrical adj．对称的
safari n．狩猎旅行，长途考察
epithet n．(贬低人的)短语或形容词
acoustic adj．听觉的，有关声音的
voyeur n．窥淫狂者，窥隐私者
ostensible adj．表面上的，伪装的
recuperate v．恢复（健康），复原
charitable adj．仁慈的、宽厚的
grandstand n.正面看台，哗众取宠的表演
sprightly adj．愉快的，活泼的
responsive adj．敏感的，反应快的
convulse v．使震动，震惊
monasticism n．修道生活，禁欲主义
inoculate v．预防注射
parasitic adj．寄生的
institute v．制定，创立（社团，规章）n．学院，协会
baffle v.使困惑,难倒
spoke n．（车轮上）幅条，阻碍物
moribund adj．即将结束的，垂死的
gulch n．深谷，峡谷
infraction n．违法
refrain v．抑制，避免n．歌曲的反复句，叠句
motet n.赞美诗，圣歌
inexpedient adj．不适当的，不明智的
integrate v．使成整体
gale n．狂风，一阵（笑声）
spat n．口角，小争论
ascendancy n．统治权，支配力量
exaggeration n.夸张
forbidding adj．（表情）冷峻的，形势险恶的
empathy n．心意相通,(感情等)融为一体
lullaby n．摇篮曲
retrograde adj．后退的，v．倒退
delectable adj．赏心悦目的，愉悦的
irate n．发怒的．
disciple n．信徒、弟子
savant n．博学之士，大学士
infertile adj．无法生殖的，不毛的
hazard n．危险
desiccant n．干燥剂
vermin n．害虫，寄生虫
residence n．住宅，居留
demolish v．摧毁，拆除
monolithic adj．巨石的，巨大的
excesses n.过份荒淫的行为
immutable adj．不变的
disinfectant n．消毒剂
demean v．贬抑，降低
styptic adj.止血的,n.止血剂
retribution n．报应，罚
bum v.流浪，乞讨，adj.差劲的
haggard adj．憔悴的，消瘦的
detain v．拘留，使延迟
splurge n．炫耀，摆阔
expansion n.扩张,膨胀
scrunch v.压碎，辗碎
lucrative adj．赚钱的，有利可图的
babble v.说蠢话,牙牙学语
hubris n．过份自傲，目中无人
transmogrify v．变得古怪，变形
deem v．认为，视为
hive n．蜂房，忙碌之地
precocious adj．早熟的
conceited adj．自负的，自高自大的
parky adj.寒冷的，很冷的
avuncular adj.伯(叔)父的
rigidity n．固执，坚定，僵化
abnegation n．克己，自制
extol v．赞美
coherent adj.连贯的，一致的
mortification n．耻辱，屈辱
quack n．冒充内行之人，庸医
unflappable adj.镇定的，从容不迫的
clot n.凝块，v.使凝成块
nitpick v．挑剔，吹毛求疵
disinfectant n．消毒剂
bestow v．给予，赐赠
snips n．铁剪
attic n.阁楼,顶楼
glamour n．魅力，魔力
staid adj．稳重的，沉着的
incongruous adj．不调和的，不相称的
expunge v．删除
snooty adj.自大的，傲慢的
lucubration n．刻苦研究
gratis adj.免费的
sloop n．小帆船
disciple n．信徒、弟子
elaborate adj.精致的、复杂的
purebred adj．(动物)纯种的
demean v．贬抑，降低
pelf n．财富，钱
hubris n．过份自傲，目中无人
frolicsome adj．快活的，欢乐的
allopathy n．（医）对抗疗法
authenticate v.证明(某物)为真
hobble v．蹒跚，跛行
translucent adj．半透明的
tinder n．火绒，火种
dandified adj．打扮得像花花公子的
truancy n．逃学，旷课
intercede v．说好话,代求情
anguish n．极大痛苦
contagion n．传染（病）
snob n．势利小人
tangible adj．可触摸的
convict v．定罪，n．罪犯
homiletics n．讲道术，说教术
incline n　斜坡v．倾斜，爱好
abut v．接界，毗连
ewer n．大口水罐
narcissism n．自恋，自爱
calamity n．大灾祸，不幸之事
sacrilegious adj．亵渎神圣的
conflate v．合并
stencil n．（用以刻写图案，文字的）模板v．用模板刻写
gazetteer n．地名词典，地名表
tally v．（使）一致，符合n．完全相似
pucker v．起皱n．皱褶
pith n．精髓,要点
countermand v．撤回（命令），取消（订货）
scud v．疾行，疾驶
outfox v．以机智胜过
resumption n．重新开始
razor n．剃刀，刮胡刀
sarcasm n．讥讽，讽刺，嘲笑
shovel n．铲子、铁锨v．铲
alleviate v．缓和，减轻
plume n．羽毛v．整理羽毛,骚首弄姿
celebrated adj．有名的，知名的．
totalitarian adj．极权主义的
endue(with) v．赋予(才能)
haughtiness n．傲慢
solecism n．文法错误，举止失礼
obfuscate v．使困惑，使迷惑
resurgent adj．再起的，复活的．
chasten v．(通过惩罚而使坏习惯等)改正、磨练
sanitary adj．卫生的，清洁的
tawdry adj．低级的，俗的而不值钱的
poetaster n．蹩脚诗人
cute adj.逗人喜爱的，漂亮的
aplomb n．沉着，镇静
swig v.豪饮，大口地喝
mince v．切碎，小步走路
sanitation n．（公共）卫生
proceeds n．收入
terpsichorean adj．舞蹈的
prosperity n．繁荣,兴旺
lapse n．失误，（时间等）流逝
impersonate v．模仿，扮演
senility n．衰老，老化
nonpareil adj．n．无匹敌的（人）
abeyance n．中止，暂搁
drool v.流口水，胡说
chaste adj．贞洁的，朴实的
orient adj．上升的，v．确定方向，使熟悉情况
emolument n．报酬，薪水
chassis n．(汽车的)底盘
quiescent adj．不动的，静止的
sober adj．清醒的，庄重的
sprightly adj．愉快的，活泼的
portfolio n．文件夹,股份单
overwhelm v．泛滥，压倒
sensation n．知觉，轰动（的事）
incompatible adj．不能和谐共存的
empathy n．心意相通,(感情等)融为一体
tutelary adj．监护的，保护的
ordain v．任命，命令
erudition n．博学
astute adj.机敏的,精明的
incontinent adj．无力控制（自己）的，纵欲的
portend v．预兆,预示
sprinkling n．点滴，少数
fastness n．要塞,城堡,坚固
fortitude n．坚毅，坚忍不拨
prerogative n．特权
carat n．（宝石重量单位）克拉，（金子）开
patio n．庭院，平台
adorable adj．迷人的，可爱的
ramify v．分支，分叉
blur n．模糊不清的事物v．使…模糊
provenance n．(艺术等的)出处,起源
gladiator n．角斗士，与野兽博斗者
amalgam n．混合物
daredevil adj．n．胆大的（人），冒失的（人）
convocation n．召集，会议
tramp v．重步走，长途跋涉
mingy adj.吝啬的，小气的
jamb n．门窗的侧柱
porcine adj．猪的,似猪的
enigmatic adj．神秘的，难解的
morbidity n．病态
eschew v．避开,戒绝
contention n．争论，论点
cogitate v.慎重思考，思索
venial adj．（错误等）轻微的，可原谅的
pact n．协定，条约
spear n．矛尖，嫩叶，v．刺戳
groggy adj．体弱的，不稳的
booze v.痛饮，狂饮
