clammy adj.冷湿的，冷粘的
ancillary adj．辅助的，n．助手
covet v．贪求，妄想
callous adj．结硬块的，无情的
propitiate v．讨好,抚慰
ballyhoo n.大肆宣传
revelry n．狂欢
preposterous adj．荒谬的,可笑的
denomination n．命名，（长度，币值的）单位
churl n．粗鄙之人
bile n．胆汁
fawn n．未满周岁的小鹿,v.巴结,奉承
inborn adj．天生的，天赋的
ballast n.(船等)压舱物
groggy adj．体弱的，不稳的
distinguished adj．著名的，卓越的
satiny adj．光滑的，柔细的
nomadic adj．游牧的，流浪的
germane adj．有密切关系的，贴切的
resume v．重新开始，继续
dawdle v．闲荡，虚度
sepulchral adj．坟墓的，阴深的
tribunal n．法庭，裁判所
locomotion n．运动，移位
canon n．经典，真作
addled adj．头脑混乱的
phial n．小瓶（药水瓶）
brusque adj．唐突的，鲁莽的
holocaust n．大屠杀，浩劫
prudery n．过分守礼,假正经
impugn v．指责，对…表示怀疑
squash v．压碎，挤压，n．南瓜
censor v．检查（书报）
fascinate v．迷惑,迷住
plumule n.(植)胚芽，(鸟)绒羽
nexus n．（看法等的）连系，连结
gorgon n．丑陋女人，蛇发女怪
mandatory adj．命令的，强迫的
rotund adj．（人）圆胖的，（音声）洪亮的
belie v．掩饰，证明为假
dose n．（药）剂量，一剂
precipitate v．加速,促成adj．匆忙的,鲁莽的
proctor n．代理人,学监
taint n．v．玷污，败坏
meticulous adj．细心的，注意细节的
tenderfoot n.生手，新手
tactile adj．有触觉的
ignominy n．羞耻，屈辱
congenital adj．（病等）先天的，天生的
overrule v．（高位的人）不准，否决（低位的人或事）
sanction n．v．批准，认可
covert adj．秘密的，隐密的
inanity n．无意义，无聊
fraction n．碎片，小部分
snatch n．v．强夺，攫取
harrowing adj．悲痛的，难受的
rummage n．翻寻
annihilate v．消灭
stupefy v．（使）茫然，吓呆
copyright n．版权，著作权
depletion n．耗尽，枯竭
assertive adj．言语果断的，断言的
aesthetics n．美学
impenitent adj．不悔悟的
sustained adj．持久的，经久不衰的
pied adj．杂色的
dividend n．（股份的）红利
incommunicado adj．被单独监禁的
plaintiff n．原告
estuary n.河口,三角湾
ponderous adj．笨重的,笨拙的
leach v．分离，过滤掉
purgation n．净化,洗罪
momentary adj．短暂的，瞬间的
disparate adj．迥然不同的，不可并论的
beatific adj．祝福的，有福的
impetus n．推动力，刺激
larch n．落叶松
embolden v.给……壮胆，鼓励
emote v激动地表达感情
ratiocination n．推理，推论
flagrant adj．臭的，恶名昭彰的
classify v.分类，归类
cramp n．铁箍，夹子
mortify v．使屈辱，使痛心
germinate v．发芽，发展
detente n.(国际关系等的)缓和(
pulverize v．压成细粉,彻底击败
pathetic adj．引起怜悯的，令人难过的
pergola n.棚架，凉棚
wean n．断奶，戒掉
broach v．开瓶，提出（题目）
glucose n．葡萄糖
halting adj．踌躇的，吞吞吐吐的
megalith n.巨石，远古时代的巨石碑
prevaricate v．支吾其词,说谎
terse adj．简洁的，简明的
necessitous adj．贫困的，急需的
humdinger n.极好的人或事
lethal adj．致命的
rind n（西瓜等）外皮
corona n．日冕（月球经过太阳前面时，太阳外围呈现的光环），冠（状物）
moderate adj．不过份的，有节制的　v．减轻，节制
apocrypha n．伪经，伪书
chrysanthemum n．菊，菊花
equity n．公平，公正
seafaring adj．航海的，跟航海有关的
inordinate adj．过度的，过份的
enrapture v．使狂喜,使高兴
intoxicant adj．醉人的
fang n.(毒蛇的)尖牙
tramp v．重步走，长途跋涉
accessible adj．易达到的，易受影响的
bigot n．（宗教，政治等的）盲信者，顽固者
repossess v．取回，收复
pension n．养老金，退休金
hummock n．小园丘
pollinate v．给……授粉
