prune n．梅干(用李子“plum”做的干果)v.修剪,剪除
indignation n．愤慨
atone v.赎罪,补偿
motif n．（作品）主题，主旨
onlooker n．旁观者
benevolent adj．慈善的，好意的
flush n．v．脸红，奔流
incense n．香，香味v．激怒
incarcerate v．下狱，监禁
imprint v．盖印，刻印
decree n．命令，法令，v．颁布命令，公告
dietetics n．饮食学，营养学
fledged adj．羽毛长成的，成熟的
reinforce v．加强力量，增援
reprieve n．v．缓刑，暂时解救
nestling n．尚未离巢的小鸟
enthrall v．迷惑,迷住
vascular adj．血管的，脉管的
plumage n．羽毛
aegis n.保护，庇护
debilitate v．使衰弱
charitable adj．仁慈的、宽厚的
rapport n．和睦，意见一致
exert v.运用(力量等),施加
asinine adj．愚笨的
prudery n．过分守礼,假正经
flounder v．挣扎，艰苦地移动
asceticism n．禁欲主义
ornate adj．华美的，充满装饰的
sheath n．（刀、剑）鞘、套
hack v．乱劈，乱砍，n．驽马
derivative adj．派生的，无创意的
prudish adj．过分守礼的，假道学的
zenith n．天顶，极点
interlock v．连锁,连串
peccadillo n．小过失
inspiration n．（思考而得的）启示，灵感
implement n．工具，器具v．实现，实施
impasse n．僵局，死路
arrears n.债，欠债
elocution n.演说术
dilatory adj．慢吞吞的，磨蹭的
reflect v．反射，仔细考虑
hound n．猎狗。v．不断骚扰
anonymity n．无名、匿名
tacky adj.粘的，破烂的
hinder v．阻碍，妨碍
exaltation n.(成功带来的)得意,高兴
seductive adj．诱人的、有魅力的
rustic adj．乡村的，乡土气的
satiate v．使饱足，生腻
theology n．神学，宗教
wangle v.(用计谋等)得到，取得
captious adj．吹毛求疵的
compress v．压缩，浓缩
castigation n．申斥，强烈反对
hygiene n．卫生学，卫生的
expedite v.使加速，促进
incubator n．孵卵器，早产婴儿保育箱
obtrusive adj．突出的，炫耀的
fervent adj．热的，热烈的
hedonistic adj．享乐的
gallant adj．勇敢的，（向女人）献殷勤的
predilection n．偏好
negotiable adj．可商量的，（支票）可兑现的
overweening adj．自负的，过于自信的
intrinsic adj．固有的，内在的
insurrection n．造反,叛乱
exegesis n.(对圣经等的)严肃解释、注释
herbaceous adj．草本植物的
pellucid adj．清晰的，清澈的
forerunner n．预兆，前兆，先驱．
migrant n．移民，候鸟
dilemma n．困境，左右为难
detain v．拘留，使延迟
incessant adj．无间断的，连续的
vogue n．时髦，时尚adj．流行的
multifarious adj．多种的，各式各样的
susceptible adj　易受影响的，多情的
equivocal adj．意义含糊的,不直率的
miasma n．瘴气，坏影响
obligatory adj．强制性的，义务的
elaborate adj.精致的、复杂的
puissant adj．强有力的,强大的
oleaginous adj.含油的，油腻的
combustion n.燃烧
lounge v．懒散地斜靠，n．休息室
anemia n．贫血，盆血症
boor n．举止粗野的人，乡下人
quash v．取消，拒绝接受
lathe n．车床
amorous adj．容易动情的，情爱的
variance n．矛盾，不同
archipelago n．群岛
baron n.大财主,大老板
shrink v．收缩、缩小，退缩
caste n．社会等级，等级
clamp n.钳子，v.钳紧
apostrophe n书写中撇号（’）（表示省略或所有格）
impending adj．行将发生的，逼近的
ascend v．上升，攀登
sober adj．清醒的，庄重的
probation n．试用(期),试验
waive v．放弃，推迟考虑
dictate v．口述、命令
presupposition n．预先假定,臆测
arena n．竞技场
appealing adj．　吸引人的，打动人心的
uncanny adj．神秘的，不可思议的
discomposure n．失态，慌张
bedraggled adj．（衣服、头发等）弄湿的，凌乱不堪的
philistine n．庸人，市侩
woo v．向（女人）求爱，争取…的支持
neologism n．新字，新义
incise v．切，切割
obscurity n．费解，不出名
stingy adj．吝啬的，小气的
affinity n．密切关系，吸引力
ruminate v．反刍，再嚼，深思
categorical adj．无条件的，绝对的
woeful adj．悲伤的
granular adj．粒状的，含颗粒的
obedient adj．服从的，顺从的
satanic adj．穷凶极恶的
weasel n．黄鼠狼，鼬，v．告密
prototype n．原型,典型
authorization n.授权,委任状
cur n．杂种狗，坏种
evocative adj.唤起的激起的
amenable adj．愿服从的，通情达理的
parry v．挡开，避开（武器，问题等）
anterior adj．较早的，以前的
fanfare n．夸耀,嘹亮的喇叭声
forfeiture n．（名誉等）丧失
trounce v.痛打，严惩
sidereal adj．恒星的
ersatz adj．代用的,假的
liquor n酒精饮料
beneficiary n．受惠者，（遗产的）受益人
arrogate v．冒称具有……权力
detachment n．分离、超然、公平
protract v．延长,拖长
characterization n．描绘、刻画
pennant n．（船上用的）信号旗
outrage n．残暴、暴行
relinquish v．放弃，废除
slacken v．（使）松弛，放松
groom n马夫，新郎
conducive adj．有助于…的
lathe n．车床
synchronous adj．同时发生的，同步的
polygamy n．一夫多妻制,多配偶制
fault n．错误,(地质学)断层
valiant adj．勇敢的，英勇的
occidental n．adj．西方（的）
equilibrium n．平衡
siren n．汽笛，警报器
felon n．重罪犯
engross v．全神贯注于
obnoxious adj．令人不愉快的，可憎的
disgruntled adj.心境不佳的，不满的
obnoxious adj．令人不愉快的，可憎的
melody n．旋律，歌曲
rigmarole n.冗长无聊的废话
forbidding adj．（表情）冷峻的，形势险恶的
grotesque adj．怪诞的，古怪的
buxom adj．体态丰满的
pretence n虚伪,借口
wreckage n．残骸，碎片
animosity n．憎恶，仇恨
frigate n.护航舰，大型驱逐舰
drawbridge n．吊桥
dither n.v.慌张，犹豫不决
rashness n．轻率，鲁莽
slacker n.逃避工作的人，懒虫
felony n．重罪
reconciliation n．和解，讲和
dredger n．挖泥船
invincible adj．不可征服的，难以制服的
nauseate v．使作呕，使厌恶
garish adj．俗丽的，过于艳丽的
claustrophobia n.幽闭恐怖症
lapse n．失误，（时间等）流逝
guilt n．罪行，内疚
lusty adj．精力充沛的
die n．金属模子，印模
chaff n．谷物的皮壳，米糠
socialite n．社会名流，名士
emerald n．祖母绿,翡翠adj.翠绿色的
pittance n.微薄的收入，少量
digression n．离题，枝节话
dissolute adj．放荡的，无节制的
trammel v．n．束缚，妨碍，鱼网
detachment n．分离、超然、公平
shrine n．神龛，圣地
polyandry n．一妻多夫制
sleek v．（使）光滑，adj．光滑的，整洁的
saunter v．n．闲逛，漫步
scorching adj．酷热的
boudoir n（女人的）化妆室，闺房
hostage n．人质
compelling adj.引起兴趣的
logistics n．后勤学
surplus adj剩余的，盈余的
choir n．(教堂的)歌唱队
fluffy adj．有绒毛的，空洞的
idle adj．不做事的，懒惰的v．浪费光阴
cacophony n．刺耳的声音
paean n．赞美歌，颂歌
venom n．毒液，恶毒，痛恨
moulder v.渐趋腐朽
polarization n．极化
ogle v．送秋波，n．媚眼
ballroom n.大午厅
sack n．粗布袋，v．劫掠，掠夺
scorching adj．酷热的
hypocrisy n．伪善，造作
tangible adj．可触摸的
cleft n.裂缝
polyglot n．adj．通晓多种语言的(人)
celestial adj．天体的，天上的
concussion n．脑震荡，震动
indefinite adj．模糊的，不确定的
filial adj．子女的
audacity n.大胆,鲁莽
perch v．（鸟）栖息n．鲈鱼
desiccant n．干燥剂
grotesque adj．怪诞的，古怪的
preposterous adj．荒谬的,可笑的
lair n．野兽的巢穴，躲藏处
discharge v．流出，释放，解雇
cognomen n.姓
tenderfoot n.生手，新手
paucity n．小量，缺乏
prerogative n．特权
flummox v.使混乱，背诵出错
spoof v．揶揄，嘲讽
alcove n．凹室，壁龛
loop n．圈，金属线圈
portent n．凶兆,异兆
precedent n．先
innuendo n．含沙射影，暗讽
effrontery n．厚颜无耻
testimony n．证言，证明
verdigris n．铜锈，铜绿
migrant n．移民，候鸟
shipshape adj．整洁的，井然有序的
invertebrate adj．n．无脊椎的（动物）
careen v．（船）倾斜，使倾斜
rave n．热切赞扬，倾倒
allude v．间接提到，暗指
incise v．切，切割
doltish adj．愚笨的
utensil n．工具，（厨房）用具
adulterate v．掺假
irrevocable adj．不能改变的，无法取消的
plane n．刨子,平面v．刨
apex n．顶点，最高点
adversary n对手，敌手
chandelier n．枝形吊灯（烛台）
ophthalmology n．眼科
skive v.躲避工作
unaffected adj．自然的，不矫揉造作的
knackered adj.疲乏的，疲倦的
detractor v．贬低者
respite n．休息，中止，暂缓
baton n.指挥棒,警棍
