juxtaposition n．并排
impartial adj．公平的，无私的
bucolic adj．乡村的，牧羊的
fallible adj．会犯错的,易犯错的
cistern n.(抽水马桶的)贮水池
guilt n．罪行，内疚
disbar v．取消律师资格
hardihood n．大胆，鲁莽
median adj．中间的，n．（三角形）中线
dart n．飞镖，v．急驰，投射
procreate v．生育
ingrained adj．根深蒂固的
perfunctory adj．草率的，敷衍的
omission n．遗漏，省略
soil v．n．弄脏，污损
germinate v．发芽，发展
estrange v.使疏远
trifle n．微不足道，琐事
supplicant n．乞求者，恳求者
indocile adj．不听话的，难顺服的
scotch v．镇压、粉碎
excoriate v.撕去皮，严厉批评
lexicon n．词典
spool n．（缠录音带等的）卷盘（轴）
borough n.享有自治权的市镇或区
crook v．使弯曲
snarled adj．纠缠不清的
moor n．旷野地，荒野v．使（船）停泊
temperance n．自制，节制，禁酒
sonority n．响亮，宏亮
tickler n．棘手的问题，难题
bulge v．n．膨胀，突出
varnish n．清漆，v．涂上清漆
fraud n．欺诈，欺骗，骗子
solitary adj．孤独的，n．隐士
salutary adj．有益的，有益健康的
celibacy n．独身（主义）
manifest adj．明白的v．载货清单
excavate v.挖掘,挖出
hardihood n．大胆，鲁莽
fig n．无花果，一点儿．
lofty adj．崇高的，高尚的lofty　sentiments．
archaeology n．考古学
exotic adj.珍奇的,来自异国的
canine adj．犬的，似犬的
skit n.滑稽短剧
poignant adj．伤心的,尖锐的
ply v．(搬运工等)等候顾客,弯曲
teetotal adj．滴酒不沾的
vitiate v．削弱，损害
acerbity n．苦涩，刻薄
impersonate v．模仿，扮演
firmament n.苍穹，天空
paradigmatic adj．作为示范的，典范的
terminate v．终止，结束
overt adj．公开的、非秘密的
incommunicative adj．不爱交际的，沉默寡言的
sculpt v．雕刻
irony n．反话，出人意料的事情或情况
incendiary adj．放火的，纵火的
atlas n.地图集
perish v．死，暴卒．
solitary adj．孤独的，n．隐士
pebble n．小卵石，石子
overrule v．（高位的人）不准，否决（低位的人或事）
repeal v．废除（法律）
glossary n．字汇表，难词表
classification n.分类，分类法
deliberate adj．深思熟虑的，v．慎重考虑。
maltreat v．虐待
idiocy n．愚蠢
moderator n．调解人，仲裁人
voyeur n．窥淫狂者，窥隐私者
pleat n．(衣服上的)褶
mansion n．公馆，大厦
wade v．涉水，水
totem n．图腾，崇拜物
tribute n．贡物，赞辞
plane n．刨子,平面v．刨
compulsion n．压力，难以抗拒的冲动
revolt v．叛乱，造反，反感
frond n．（羊齿（fern），棕榈等的）叶子
freeway n．高速公路
maddening adj．使人恼火的，令人气恼的
libido n．性欲，生命力
liaison n．联系，暖昧关系
embankment n.堤岸,路基
gallop n．v．（马）飞奔，疾驰
blasphemy n．亵渎，渎神
pungency n．刺激性,尖刻
horde n．群众，一大群
monsoon n．季雨，季风，大雨
sow n．母猪，[su]v．播种
invocation n．祈祷
stunning adj．极富魅力的
stance n站姿，立场
stonewall v.阻碍议事，妨碍
vertebrate adj．脊椎动物
controversy n．争论，辩论
curd n．凝乳
trivia n．琐事，无价值之物
arbitrate v．仲裁，公断
ephemeral adj．朝生暮死的，生命短暂的
groveler n．乞怜者．
outface v.大胆地对付，无畏面对
equivocate v．模棱两可地说,支吾其词
fresco n．壁画
gosling n．小鹅，年轻无知的人
accumulate v．积聚，积累
stridulate v.(昆虫)唧唧鸣叫
contumelious adj．无礼的，傲慢的
linoleum n．油毡
disinclined adj．不愿的
perigee n．近地点
prate v．瞎扯,胡说
loop n．圈，金属线圈
scree n.山坡上的碎石堆
avarice n.贪财,贪婪
grimace v．做鬼脸，面部歪扭
diurnal adj．白昼的，白天的
nuzzle v.用鼻擦，触，紧挨
coop n．（鸡、）笼、栏
scruffy adj.肮脏的，不洁的
spurn v．拒绝，摈弃
refrain v．抑制，避免n．歌曲的反复句，叠句
confrontation n．对抗
sceptre n．权杖，君权
conjure v．变魔术，变戏法
stoop 　v．俯身，降低身份
truculence n．凶猛，粗暴
reprieve n．v．缓刑，暂时解救
talisman n．避邪物，护身符
egalitarian adj．主张人人平等的
feat n．功绩，壮举
designation n．指定，名称，称呼
precocious adj．早熟的
