suffuse v．（色彩等）弥漫，染遍
emulsify v．使乳化
decry v．责难，贬低（价值）
digress v．离题，把（话题）离开
quail v．畏惧，颤抖
gnat n．对小事斤斤计较，琐事
affinity n．密切关系，吸引力
upbraid v．斥责，责骂
fraternal adj．兄弟的，友善的
cadge v.行乞，乞求
double-cross v.欺骗，出卖
paltry adj．无价值的，微不足道的
chronometer n．精密计时器
interim n．中间时期、过渡时期adj．暂时的
annul v．宣告无效，取消
derelict adj．荒废的，被弃置的
excruciating adj.极痛苦的
maisonette n.小屋，公寓
trench n．沟，壕沟
grovel v．摇尾乞怜，奴颜婢膝
liaison n．联系，暖昧关系
bedraggled adj．（衣服、头发等）弄湿的，凌乱不堪的
lackadaisical adj．无精打采的，无兴趣的
hipster n.赶时髦的人
smuggle v．走私，私运
pretentiousness n．自命不凡
impostor n．冒充者，骗子
dissonant adj．不和谐的，不协调的
colloquium n.学术讨论会
carnivorous adj．食肉的。
sacrosanct adj．神圣不可侵犯的
seclusion n．隐遁，隔离
wilt v．使…凋谢，枯萎
metamorphosis n．变形，变态
buoy n．浮标，救生圈，v．支持，鼓励
averse adj.厌恶的,反对的
charlatan n．江湖郎中，骗子
surfeit n．（食物）过量，过度
plangent adj．如泣如诉的,悲哀的
laxity n．松弛，放纵
crochet n．钩针织物v．用钩针编织
gulch n．深谷，峡谷
slue v．（使）旋转
leakage n．渗漏，漏出
ornate adj．华美的，充满装饰的
cactus n．仙人掌
operetta n．小歌剧
diversity n．多样，变化万千
probation n．试用(期),试验
indispensable adj．不可缺乏的
fool’s errand徒劳无功的工作
cogitation n.思考，苦思
phantom n．鬼怪，幽灵，幻象
hazardous adj．有危险的
outstrip v．超过，跑过
asphyxia n．窒息
hybrid n．杂种，混血人
chide v．叱责，指责
arbitrate v．仲裁，公断
filings n．锉屑
pigment n．天然色素，干粉颜料
implant v．注入，灌输
spasmodic adj．痉挛的，间歇性的
discharge v．流出，释放，解雇
incompetent adj．无能力的不能胜任的
bacchanal n.(行为放纵的)狂欢会
magnify v．放大，赞美
gollop v．n．大口吞咽
duet n．二重唱
profile n．外形,轮廓侧面像
potent adj．强有力的
sinewy adj．多腱的，强壮有力的
reincarnate v．使化身，转生
shroud n．寿衣，遮蔽物v．覆盖
lounge v．懒散地斜靠，n．休息室
ambidextrous adj．十分灵巧的
adept adj．老练的，精通的
devolution n.委托，移交
banner n.旗帜,横幅标语旗
nestling n．尚未离巢的小鸟
hobgoblin n.妖魔，恶鬼
grasping adj．贪心的，贪婪的
noncommittal adj．态度暖昧的，含糊的
gavel n．（法官所用的）槌，小木槌
exception n.例外,异议
reaper n．收割者
retrench v.节省，削减
procurement n．取得,获得
urbane adj．温文尔雅的，懂礼的
garble v．曲解，窜改
entitle v．使有权(做某事)
depose v．免职，废黜
advent n．到来，来临
molar n．臼齿
bogus adj．假装的，假的
compassionate adj.有同情心的
adjure v．郑重敦促（恳请）
squalid adj．污秽的，肮脏的
armistice n．休战，停战
nosedive v.(飞机)俯冲，暴跌(
alcove n．凹室，壁龛
ordeal n．严峻考验，痛苦经验
crumble v．弄碎，崩毁
daubster n．拙劣的画家
lure n．诱惑力，引诱
gloom n．黑暗，忧郁
frigate n.护航舰，大型驱逐舰
penetration n．穿透，洞察力
interweave v．交织，编结
desecrate v．玷辱，亵渎
faucet n．水龙头
prejudicial adj．有害的,引起偏见的
lexicon n．词典
shrug v．耸肩（表示怀疑等）
trench n．沟，壕沟
grope v．摸索，探索
indispensable adj．不可缺乏的
facetious adj．轻浮的，好开玩笑的
digress v．离题，把（话题）离开
statutory adj．法定的，受法令所约束的
pique n．v（因自尊心受伤害而导致的)不悦、愤怒
ethnography n.人种学，人种论
banality n.陈腐,平庸
augury n.预言,征兆,占卜
humane adj．人道的，慈悲的
inbound adj.归途的，返家的
providence n．深谋远虑,远见
obviate v．排除（困难）
shrine n．神龛，圣地
quibble n．遁词，吹毛求疵的反对意见
congregation n．集合在一起的群众
zest n．刺激性，热心，兴趣
sextant n．六分仪（航海定向仪器）
germinate v．发芽，发展
don v．穿衣，戴帽
interregnum n．无王时期,
euphonious adj.悦耳的
perplexity n．困惑，茫然
transgress v．冒犯，违背
entangle v．使纠缠，卷入
full-fledged adj．羽毛丰满的，成熟的
forbearance n．自制，忍耐
pension n．养老金，退休金
unbidden adj．未经请求的，未经邀请的
feedback n．（信息的）反馈
gull n海鸥，v．欺骗
scruple n．v．顾忌、迟疑
interplay n．相互影响
apiculture n．养蜂业
