cult n．宗派，崇拜
unguarded adj．不留神的，没有防备的
archaeology n．考古学
inoculation n．接种，灌输
acrimony n．尖刻，刻薄
morsel n．一小块（食物），小量
inviolate adj．未受侵犯的，纯洁的
shipwright n．造船者
allurement n．诱惑物
aristocrat n．贵族
veal n．小牛肉
wane v．减少，衰微
attrition n.消磨,磨损
amenable adj．愿服从的，通情达理的
nascent adj．初生的，萌芽的
ascent n．上升攀登
conventionality n．陈规陋习，因袭传统
parquetry n．镶木地板艺术或图案
scrawl v．潦草地写，乱涂
matador n．斗牛士
despotism n．专制，暴政
fawning adj．奉承的
unalloyed adj．未掺杂的，纯粹的
humility n．谦逊，谦恭
charismatic adj．有魅力的
expulsion n.驱逐,开除
sachet n.小袋，小香袋
fugitive adj．逃亡的，易逝的n．逃犯，逃亡者
opulent adj．富裕的，充足的
epaulet n．肩章,肩饰
elephantine adj.笨拙的,巨大的
canonical adj．符合规定的，经典的
bonny adj.健美的，漂亮的
portend v．预兆,预示
exodus v.大批离去,成群外出
puppy n.小狗，幼犬
truncheon n．警棍，警棒
sprawl v．n．伸展手足而卧，懒散地躺
clamour n.吵闹、喧哗
acute adj．灵敏的，（病）急性的
adversity n．不幸，灾难
speculate v．沉思，思索，投机
debility n．衰弱，虚弱
alias n．化名，别名
elastic adj.有弹性的,灵活的
infinitesimal adj．极微小的
conglomerate v．集聚，集团
resurgent adj．再起的，复活的．
fragile adj．易碎的，易坏的
oligarchy n．寡头政治
feckless adj．无目标无计划的
conspiracy n．阴谋
milk v.挤奶，抽取，套出(秘密等)
revolt v．叛乱，造反，反感
pragmatism n．实用主义
pretentiousness n．自命不凡
agitation n．鼓动，焦虑
ford n．浅滩，水浅可涉处v．涉水
abdicate v．让位，辞职，放弃
neonate n．初生婴儿
portent n．凶兆,异兆
incongruity n．不一致
veer v．转向，改变（话题等）
notched adj．有凹口的，有缺口的
odoriferous adj．有香味的，芳香的
subterranean adj．地下的
inviolate adj．未受侵犯的，纯洁的
chagrined adj．失望的，灰心的
repulse vn驱逐，击退，厌恶
deflection n．转向，偏斜
sagacity n．聪慧，洞察力
auger n.螺丝钻,钻孔机
rapine n.劫掠，掠夺
barge n.平底货船,驳船
trudge v．跋涉
mimic v．模仿，戏弄，n．模仿他人言行的人
euphoria n.幸福愉快感
gauze n.沙布，薄纱
velocity n．速度，迅速
seclude v．和别人隔离
incentive n．刺激，鼓励
canard n．谣言，假新闻
yaw v．（船，飞机等）偏航
neutral adj．中间的，中立的
munitions n．军火，弹药
adopt v．收养，采纳
disdainful adj．鄙视的
fairyland n．仙境
avarice n.贪财,贪婪
sapient adj．有智慧的
preconception n．先入之见
rib n．肋骨，伞骨
trample v．踩坏，践踏
slag n．炉渣，矿渣
sententious adj．好说教的，简要的
mediocrity n．平庸，碌碌之人
rationale n．基本原理，根据
mortise n.榫眼v.用榫接合
veer v．转向，改变（话题等）
impel v．推进，驱使
medieval adj．中世纪的，中古的
quail v．畏惧，颤抖
convoluted adj．旋绕的，费解的
vanity n．虚荣，自负
centripetal adj．向心的
omission n．遗漏，省略
myopia n．近视，缺乏远见
malevolent adj．有恶意的，恶毒的
affection n．亲爱，友爱
antiseptic n．杀菌剂，adj　防腐的
severance n．切断，分离
refinement n．提炼，文雅
woe n．悲痛，苦难
dissipated adj．浪费的，放荡的
rooster n．公鸡
quell v．制止、镇压
detergent a．净化的，n．清洁剂
cede v．割让（土地，权利）
unflappable adj.镇定的，从容不迫的
curb n．马勒v．控制
forerunner n．预兆，前兆，先驱．
temerity n．鲁莽，大胆
brim n．（杯）边，缘v．盈满
aseptic adj．无菌的，洁净的
privation n．丧失,贫困
upstart n．突然升官的人，暴发户
shareholder n．股东
pronounced adj．明显的，(观点等)强硬的
effigy n．假人，模拟像
poseur n．装模作样的人
convertible adj．可转换的，n．敞篷车
supplicate v．恳求，乞求
commensurate adj.同样大小的，相称的
inviolate adj．未受侵犯的，纯洁的
asceticism n．禁欲主义
intrepidity n．无畏
piscatorial adj．捕鱼的,渔民的
audit v.审计,核对,旁听
profane v．亵渎,玷污
disport v．玩耍、嬉戏
upstage adj．骄傲的，高傲的
manipulative adj．操纵别人的，老于世故的
attune tov.使调和,习惯于
coherent adj.连贯的，一致的
delve v．深入探究，钻研
amateurish adj．业余爱好的，不熟练的
packed adj．充满人的，拥挤的
truculent adj．残暴的，凶狠的
subtlety n．狡猾，微妙（的感情）
seasoning n．调味品、佐料
octogenarian n．八十～八十九岁的人
conceive v．怀孕，构想
sham n．假货，虚假，v．伪装
recreant n．懦夫，叛徒adj．胆怯的
visage n．脸，面貌
improvisation n．即席创作
negation n．取消
neophyte n．初学者，新手
punctilious adj．谨小慎微的
rectify v．改正，调正
interpose v．置于…之间,使介入
convalesce v．（病）康复，复原
tyro n．新手
bagatelle n.小事，琐事
gradient n.坡度，斜度
piercing adj．刺骨的，敏锐的
prompting n．激励,鼓舞
rekindle v．重新点燃
dynamo n．发电机
inhumane adj不近人情的
skewer n．（烤肉用的）串肉杆v．用杆串好
audition n.(演员等)试唱
technocrat n．技术人员，技术统治
ignorance n．无知
heresy n．异端邪说
pandemonium n．喧嚣，大混乱
odoriferous adj．有香味的，芳香的
placid adj．安静的,平和的
rejoin v．回答，答辩
saturnalia n．纵情狂欢
crag n．悬崖，峭壁
slag n．炉渣，矿渣
compel v.强迫，引起
haversack n肩背包，干粮袋
saliva n．唾液，口水
configuration n．轮廓，结构
poniard n．匕首,短剑
emulate v．努力赶上或超越
compromise v．妥协，危害（
redress v．n．改正，修正
sticky adj．粘的，不慷慨的
prescription n．处方(上的药)
intaglio n.凹雕艺术
termite n．白蚁
vesture n．衣服，覆盖物
fretwork n．格子细工（在木头上雕出各种图案，格子的工艺）
suture n．缝线v．缝合
devastate v．摧毁，破坏
percolate v．过滤出，渗透
schooner n.大酒杯，大篷车
invulnerable adj．无法伤害的
prattle v．闲聊,空谈
asunder adv.分离,化为碎片
awe v.敬畏
incognito adj．n．隐姓埋名的，化名
reclaim v．纠正，开垦（土地）
hermitage n．隐居处
trophy n．奖品，战利品
falcon n．猎鹰
resignation n．听从，辞职
fallible adj．会犯错的,易犯错的
invert v．上下倒置，相反放置
exodus v.大批离去,成群外出
static adj．静态的，呆板的
plumb adv．精确地,完全地v．了解意义,测水深
maim v．使残废
pleonastic adj．赘语的,噜嗦的
exasperation n.激怒
testify v．见证，证实
sizzler n．炎热天气、大热天
hard-nosed adj.顽固的
emancipation n.释放,解脱
shove v．推挤，猛推
memorial n．纪念碑adj．纪念性的
swarm v．攀爬
solvency n．溶解力，还债能力
resurrection n．复活
bilious adj．多胆汁的，坏脾气的
eugenic adj．优生(学)的
jesting adj．滑稽的，好笑的
hydrant n．水龙头，消防栓
pry v．刺探,打听,撬开
invoke v．祈求，恳求，（法律的）实施生效．
hedonistic adj．享乐的
tactful adj．圆滑的，机敏的
indocile adj．不听话的，难顺服的
recapitulate v．扼要重述
ensign n．舰旗(船上表示所属国家的旗帜)
aghast adj．惊骇的，吓呆的
forerunner n．预兆，前兆，先驱．
charisma n．（大众爱戴的）领袖气质，魅力
iterate v．重做，反复重申
literati n．文人，学者（复数）
villainous adj．邪恶的，恶毒的
disastrous adj．灾难性的
oath n．誓约，誓言
caste n．社会等级，等级
prelude n．序幕,前奏
prospective adj．未来的,预期的
peroration n．结尾，结论
euphony n.悦耳的语音
gabble v．急促而不清楚地说
pique n．v（因自尊心受伤害而导致的)不悦、愤怒
gratuitous adj．无缘无故的，免费的
exception n.例外,异议
emissary n．密使，特使
lucrative adj．赚钱的，有利可图的
mistimed adj．不合时机的
minuet n．小步舞
vivacious adj．活泼的，快活的
saccharin n．糖精
notify v．通知
compelling adj.引起兴趣的
enthrall v．迷惑,迷住
heave v．用力拉，举
clot n.凝块，v.使凝成块
veal n．小牛肉
impudent adj．鲁莽的，冒失的，无礼的
nomad n．流浪者，游牧部落的人分割
revile v．辱骂，恶言相问
quintessence n．典型，完美的榜样，精华
scalpel n．外科手术刀，解剖刀
enigmatic adj．神秘的，难解的
jolt n.颠簸，震摇
deice v.防冰，除冰
applicable adj．生效的，适合的，
custodian n．管理员，监护人
high-flown adj．夸张的，好高骛远的
dietitian n．营养学家
gruelling adj．繁重而累人的
enclosure n．圈地，围占
mettle n．勇气，斗志
dilettante n．半瓶醋，业余爱好者
vicissitudes n．（人生的）盛衰，变迁
appropriation n．拨款，挪用公款
barn n.谷仓
embryonic adj．胚胎的，萌芽期的
gaffe n．（社交上令人不快的）失言，失态
incommodious adj．不方便的，狭小的
tickler n．棘手的问题，难题
incongruous adj．不调和的，不相称的
miasma n．瘴气，坏影响
revitalize v．使复活，使重新充满活力
median adj．中间的，n．（三角形）中线
utilize v．利用，使用
inadvertent adj．不注意的，疏忽的
fortitude n．坚毅，坚忍不拨
contrived adj．不自然的，人造的
axis n.轴(常为虚构之线,如地球轴)
evoke v.引起，唤起
alkali n．碱
emend v．订正，校订
metaphorical adj．隐喻的，比喻的
badge n.徽章(如校徽等)
pelt n．毛皮．v．投掷，（雨）猛降
antediluvian adj．史前的，陈旧的
octogenarian n．八十～八十九岁的人
lethargy n．昏睡，倦怠
hepatic adj.肝的n.保肝药
sanctum n．圣地，密室
sabre n．军刀，击剑用刀
sleight n．巧妙手法，巧计，灵巧（分割
perilous adj．危险的，冒险的
denizen n．居民，外籍居民
dwindle v．日渐减少，变小
narcissism n．自恋，自爱
bonnet n．圆帽，扁平软帽
pectoral adj．胸部的，胸的
dirk n.短剑，匕首
pantomime n．哑剧
rack v.折磨，使痛苦
loquacious adj．多嘴的，饶舌的
fishery n．渔场
rectitude n．诚实，正直
adjure v．郑重敦促（恳请）
rabble n．乌合之众，暴民，下等人
totter v．摇摇欲坠，步伐蹒跚
elongate v.延长,伸长
scathing adj．苛刻的，严厉的
ingress n．进入
abound v．充满，富于
mitigate v．减轻，缓和
comely adj.动人的，美丽的
attorney n.律师
acoustics n．声学
baroque n.adj.(艺术、建筑等)高度装饰的，过份雕琢的
glut v．n．供过于求，过多
complaisance n.迁就，奉承
vehicle n．交通工具，传播媒介
mendacity n．虚假
submerge v．沉没，淹没
hinterland n．内地，穷乡僻壤
radiation n．发光，散发
cathode n.(电)阴极，负极
panel n．讨论小组，仪表板
tuber n．块茎，球根
euphonious adj.悦耳的
corpulent adj．肥胖的
utopian adj．乌托邦式的，梦想的
paramount adj．最重要的，最高权力的
nudity n．裸露
succinct adj．简明的，简洁的
sublimate v．（使）升华，净化
inflated adj．充气的，骄傲的
fascinating adj．迷人的，吸引人的
ferrous adj．含铁的
potentate n．统治者,当权者
plutocracy n．富豪,财阀统治
evict v.(依法)驱逐
tuber n．块茎，球根
whisper v．耳语，低声说话
skein n．一束（线或纱）
trek n．v．长途跋涉
prosperity n．繁荣,兴旺
intimidation n．恐吓
ample adj．富足的，充足的
translucent adj．半透明的
veracity n．真实性，诚实
plummet v．垂直或突然地堕下
delectation n．享受，愉快
schizophrenia n.精神分裂症
executive n.经理,行政人员
panic n．恐慌，惊惶
impregnate v．怀孕，使充满
testy adj．性急的，暴躁的
airtight adj．密封的
expulsion n.驱逐,开除
adroit adj．熟练的，灵巧的
adoration n．爱慕，崇拜
quash v．取消，拒绝接受
straitened adj.贫困的
reprimand n．v．训诫，谴责
yielding adj．弯曲自如的，灵活的
unexampled adj．空前的，无前
janitor n．管理员，管门人
gallantry n勇敢，殷勤
averse adj.厌恶的,反对的
exceptionable adj.引起反感的
enjoin v．命令，吩咐
otiose adj．不必要的，多余的
chaff n．谷物的皮壳，米糠
intermittent adj．断断续续的，间歇的
feud n．宿怨，不和
slay v．杀，残杀
stem n（植物的）茎，叶柄，v．阻止，遏制（水流等）
whisper v．耳语，低声说话
installment n．分期付款，安装
cryptic adj．秘密的，神秘的
hoyden n．粗野的女孩，野丫头
wheedle v．（用花言巧语）哄骗
interstice n．细裂缝,空隙
interpolation n．插入,窜改
congenial adj．意气相投的，宜人的
benevolence n．善心，仁心
gauche adj．笨拙的，不会社交的
devour v．吞食，（一口气）读完
negation n．取消
exceptionable adj.引起反感的
ostentation n．夸示，炫耀
replicate v．重复，复制
incisive adj．一针见血的
mentor n．导师
flout v．蔑视，违抗
incense n．香，香味v．激怒
belittle v．轻视，贬抑
denture n．假牙
homage n．效忠，崇敬
scads n．大量，巨额
chaotic adj．混乱的
psychic adj．精神的,心灵的
asphyxia n．窒息
personage n．名人，（戏剧）角色
intertwine v．纠缠,缠绕
granulate v．使成颗粒
gnomic adj．格言的，精辟的
plummet v．垂直或突然地堕下
nonpareil adj．n．无匹敌的（人）
legislate v．制定法律
privation n．丧失,贫困
hinterland n．内地，穷乡僻壤
supplicant n．乞求者，恳求者
diffuse v．散布，（光等）漫射，adj．漫射的，散漫的
lenience n.宽大，温和
ignoble adj.卑鄙的，下流的
propitious adj．吉利的,顺利的
dissuade v．劝阻，阻止
stunning adj．极富魅力的
phobia n．恐惧症
resonance n．回响，共鸣
yearn v．盼望，渴望
hide n．兽皮
foil v．阻挠
carrion n．腐肉
evoke v.引起，唤起
feigned adj．假装的，不真诚的
spasm n．痉挛，抽筋
amputate v．切除
spectacular adj．壮观的，引人入胜的
pulp n．果肉酱,纸浆
gauge n．标准规格，测量仪
turgid adj．浮肿的，浮夸的
drizzly adj．毛毛细雨的（a　drizzly　day）
exaggeration n.夸张
jurisprudence n．法律学，法学
eject v.喷出、逐出
abstemious adj．有节制的，节俭的
prevaricate v．支吾其词,说谎
parturition n．生产，分娩
hive n．蜂房，忙碌之地
interrelate v．互相关连,相关
jaunt v．短程旅游
hem n.(衣服或裙子的)褶边
tub n．桶，浴盆
chuck v.放弃，离职
boost v．往上推，增加，提高
colander n.滤器，漏勺
remnant n．残余物，零头布料
hybrid n．杂种，混血人
merchandise n．商品，货品
waft v．飘浮，飘荡
utensil n．工具，（厨房）用具
doddle n.轻而易举之事
scotch v．镇压、粉碎
cadaver n．尸体
vitriolic adj．刻薄的，强烈的
enshrine v．奉为神圣,珍藏
hypnotic adj．催眠的
neologism n．新字，新义
extremity n．极度,绝境
mutinous adj．加入叛变的，反抗的
