diatribe n．（口头或书面猛烈的）抨击，抨击性演说
scaffold n．脚手架（造房时搭的架子）
slink v．偷偷走动
proprietary adj．私有的
arrears n.债，欠债
resurrect v．使复活，挖出
matriarchy n．母权制，妇女统治
medal n．奖牌，勋章
assertive adj．言语果断的，断言的
blitz n.闪电战，大量活动
astringent adj．止血的，收缩的n．收缩剂，止血剂
ruffle v．变皱，弄皱，激怒
literal adj．精确的、忠实原义的
stout adj．肥胖的，强壮的
baron n.大财主,大老板
pedant n．迂腐之人，书呆子
disbursement n．支出，开支
ejaculation n突然大叫
arsonist n．纵火犯
impulsive adj．易冲动的，感情用事的
neutralize v．使无效，中和
derogatory adj．不敬的，诽谤的
leaflet n．传单
heckle v．诘问，困扰
gaucherie n．笨拙
reserve n．谨慎，话语不多，储备．
strait 　n．海峡，adj．狭窄的
cougar n．美洲豹
splint n．（固定断骨的）夹板，托板
intermission n．暂停,间歇
shade n．阴影，细微差别
heed v．注意到，关心
pan v．严厉批评，n．平底锅
glum adj.闷闷不乐的，阴郁的，
drollery n．滑稽
personable adj．英俊的，风度好的
snips n．铁剪
canine adj．犬的，似犬的
vicinity n．附近，接近
trek n．v．长途跋涉
infinity n．无限的时间或空间
derogate v．贬低，诽谤
numb adj．麻木的，v．使失去感觉
dermatology n.皮肤（病）学
gripping adj．引起注意的
paganism n．异教（信仰）
swank v．夸耀，炫耀
waive v．放弃，推迟考虑
gulp v．吞食，咽下
temper v．锻炼，缓和n．脾气
trinket n．小装饰品，不值钱的珠宝
concatenate v．连结，连锁
veal n．小牛肉
conjure v．变魔术，变戏法
foray v．n．突袭，偷袭
modicum n．少量
gynecocracy n．妇人政治
diurnal adj．白昼的，白天的
ensign n．舰旗(船上表示所属国家的旗帜)
guillotine n断头台
slither v．（蛇）滑动，扭动前进
cipher n.零，无影响力的人，密码
sardonic adj．讽刺的，嘲笑的
groom n马夫，新郎
exude v.使慢慢流出,四溢
dangle v．悬挂，吊胃口
linguistics n．语言学
brook v．容忍，忍受
inalienable adj．不可剥夺的
double-cross v.欺骗，出卖
guy n．（铁塔等的）支索，牵索
outwit v．以机智胜过
flush n．v．脸红，奔流
teem v．充满，到处都是v．倾盆大雨
purgation n．净化,洗罪
taut adj．拉紧的，绷紧的
skiff n．轻舟，小船
crumble v．弄碎，崩毁
piscatorial adj．捕鱼的,渔民的
penalize v．置（某人）于不利地位，处罚
perishable adj．（食物）易坏的
unkempt adj．（衣服，头发）不整洁的
rampant adj．蔓生的，猖獗的
sidesplitting adj．令人捧腹大笑的
gauge n．标准规格，测量仪
preconception n．先入之见
cursory adj．粗略的，草率的
dauntless adj．勇敢的，无畏的
inoculate v．预防注射
rhetoric n．修辞学，浮夸的言语
degenerate v．退步，堕落
drool v.流口水，胡说
rejoin v．回答，答辩
antibiotic n．抗生素，adj．抗菌的
gist n．要点，要旨
dotage n．老年糊涂，溺爱
unabashed adj．不畏惧的，不害躁的
inveigle v．诱骗，诱使
clench v.握紧，咬紧(牙关)
repose v．躺着休息，安睡
uncharted adj．地图上没标明的
imminent adj．即将发生的，逼近的
sulky adj．呕气的，生气的
pugilism n．拳击,搏击
introspection n．内省，反省
scald v．烫，用沸水消毒n．烫伤
lampoon n．讽刺文章v．讽刺
pan v．严厉批评，n．平底锅
impudent adj．鲁莽的，冒失的，无礼的
laggard adj．缓慢的，落后的，n．落后者
increment n．增值，增加
intestine n．肠
osseous adj．骨的，多骨的
felicitous adj．（话语等）适当的，得体的
palette n．调色板
rapacious adj．强夺的，贪婪的
multitude n．多数，大众，平民
relegate v．降级，贬谪
sate v．使心满意足，使厌足
scathing adj．苛刻的，严厉的
dilution n．稀释、渗水
voluptuous adj．撩人的，沉溺酒色的
cagey adj.谨慎的，机灵的
fervor n．热诚，热心
touchy adj．敏感的，易发脾气的
effervesce v．冒泡，热情洋溢
queue v．n．长队，排队
reconciliation n．和解，讲和
simulate v．假装，模仿
elation n.得意、振奋
imperil v．使陷于危险中，危及
macabre adj．骇人的，可怖的
proselyte n．皈依者,改变宗教信仰者
wade v．涉水，水
drawl v．慢吞吞说，拉长腔调说
