pastor n．牧师，牧人
asseverate v.郑重声明，断言
muse v．沉思，冥想
precarious adj．危险的
fluctuate v．波动，变化
appreciative adj．感谢的，赞赏的
filth n．肮脏，粗语
devoid adj．空的，缺少的
celibacy n．独身（主义）
pelf n．财富，钱
chap v.(皮肤)变粗糙，皲裂
eradicate v．根除，扑灭
beater n.搅拌器
proboscis n．(象)长鼻,(昆虫等)吸管
decoy v.欺骗，引诱
concatenation n．连结，一连串
enkindle v．煽动,点燃(感情怒3气等)
transfuse v．输血，充满
hawser n．粗绳，大钢索
finch n．雀科鸣禽（如燕雀，金丝雀等）
escalate v．(战争等)升级,扩大,上升
whisper v．耳语，低声说话
purgatory n.炼狱，暂时的苦难
motley adj．混杂的，杂色的
magnitude n．重要，星球的光亮度
medley n．混杂
pecan n.美洲山核桃树
burgeon v．迅速成长，发展
apex n．顶点，最高点
recession n．衰退时期，萧条时期
transfigure v．美观，改观
oblation n．宗教的供品，祭品
papoose n.幼儿，背婴儿的袋子，(
convulse v．使震动，震惊
aggrieved adj．（因受伤害而）愤愤不平的，痛心的
inexpedient adj．不适当的，不明智的
requiem n．安魂弥撒
provocation n．激怒
castigate v．惩治，严责
temporary adj．短暂的，暂时的
compassion n.同情，怜悯
reconciliation n．和解，讲和
philanthropist n．慈善家
pliable adj．易弯的,柔软的
bereft of丧失，失去
derogate v．贬低，诽谤
aberrant adj．越轨的，异常的
ascend v．上升，攀登
gaggle n．鹅群
palings n．篱笆，木栅栏
propitiatory adj．讨好的,调解的
dossier n．卷宗，档案
grateful adj．感激的
olfactory adj．嗅觉的
hardy adj．耐寒的、强壮的
belabour v．（过份冗长地）做或说，痛打
jog v．慢而平静地前进
undesirable adj．令人不悦的，讨厌的
enunciate v．发音,(清楚地)表达
rove v．流浪，漂泊
stripe 　n．条纹，斑纹，类型
chaff n．谷物的皮壳，米糠
humdinger n.极好的人或事
divagate v．（文章或谈话）离题，漂泊
sheaf n．一捆、一束
blinds n．百页窗
jeopardy n．危险
subterfuge n．诡计，托辞
heathen n.异教徒
parry v．挡开，避开（武器，问题等）
coquetry n.卖弄风情，媚态
scintillating adj．才气横溢的
agglomerate v．凝聚，结块
generator n．发电机
wrench v．扭，拧，n．板钳，板手
luxuriant adj．繁茂的，肥沃的
arbitrary adj．专横的，不理智的
stodge n.乏味的食物，乏味的作品
toxin n．毒素，毒质
deplete v．倒空，耗尽
trumpery adj．中看不中用的，无价值的
sprint n．全速奔跑
bum v.流浪，乞讨，adj.差劲的
scenario n．剧情说明书，剧本
fulsome adj．虚情假意的，丰满的
blitz n.闪电战，大量活动
twit v.嘲笑，挖苦
mien n．风采，态度
skein n．一束（线或纱）
pensive adj．沉思的，愁眉苦脸的
relaxation n．松弛，消遣
hatch n．船舱盖
harpsichord n．键琴（钢琴前身）
cider n.苹果酒，苹果汁
enhancement n．增加,提高
psychotic adj．n．精神病的,疯子
swot n.刻苦学习的人,v.苦读
aquatic adj．水生的，水中的
laminate v．切成薄板（片）
fatuous adj．愚味而不自知的
coma n.昏迷状态
hospitality n．好客，殷勤
static adj．静态的，呆板的
acolyte n．（教士的）助手，侍僧
declaim v．高谈阔论，雄辩，大声说
muffler n．消音器，围巾
bushed adj.疲倦的，迷路的
elongate v.延长,伸长
retrieval n．取回，补偿
recluse n．隐士v．隐居
satiny adj．光滑的，柔细的
measles n．麻疹
contumacious adj．违抗的，不服从的
prosody n．诗体学,韵律学
acoustics n．声学
notoriety n．臭名昭彰
contempt n．轻视，鄙视
adamant adj．强硬的，固执的
copyright n．版权，著作权
sluggard n．懒鬼
divest (of)v．卸下盛装，剥夺
chimerical adj．荒诞不经的，梦幻的
intelligible adj．可了解的,清晰的
canonical adj．符合规定的，经典的
hack v．乱劈，乱砍，n．驽马
snappy adj．精力充沛的，潇洒的
offensive adj．令人不快的，得罪人的
rustic adj．乡村的，乡土气的
insolent adj．粗野的，无礼的
chaff n．谷物的皮壳，米糠
euphemism n.婉言，委婉的说法
brink n．（峭壁的）边沿，边缘
lofty adj．崇高的，高尚的lofty　sentiments．
marionette n．木偶
discommode v.使烦恼，扰乱
burrow n．（兔子等）所掘的地洞，v．挖洞
sardonic adj．讽刺的，嘲笑的
chaste adj．贞洁的，朴实的
needle n．针，针叶
liberated adj．无拘束的，放纵的
lumber v．蹒跚而行，笨拙地走n．杂物，累赘
custodian n．管理员，监护人
monastery n．男修道院，僧院
insufferable adj．无法忍受的
woe n．悲痛，苦难
brook v．容忍，忍受
souvenir n．纪念物，纪念品
irrigate v．灌溉
arena n．竞技场
muzzy adj．模糊不清的，昏迷的
full-fledged adj．羽毛丰满的，成熟的
emote v激动地表达感情
distend v．（使）膨胀，胀大
procrastinate v．耽搁,拖延
soak v．浸泡，渗透
shrill adj．尖锐的、剌耳的
roe n．鱼卵
precarious adj．危险的
ostentation n．夸示，炫耀
extinction n．熄灭,消灭
incivility n．无礼，粗鲁
