contentious adj．好辩的，喜争吵的
alteration n．改变，变更
spell n．连续的一段时间，一阵子
firmament n.苍穹，天空
hymn n．赞美诗
snide adj．讽刺的，含沙射影的
gauche adj．笨拙的，不会社交的
celestial adj．天体的，天上的
rural adj．乡村的
provoke v．激怒,挑逗
tusk n．（象）长牙
dandified adj．打扮得像花花公子的
ramp n.v.诈骗，索高价
beatific adj．祝福的，有福的
tournament n．比赛，（旧时）骑士比武大会
pose v．摆姿势,造作
cloudburst n.大暴雨，豪雨
remittent adj．（病）间歇性的，忽好忽坏的
fray n．吵架，打斗v．磨破，恼火
concave adj．凹的
devour v．吞食，（一口气）读完
banal adj.陈腐的
admonitory adj．警告的
tattle v.闲谈，泄密
upheaval n．动乱，大变动
sleek v．（使）光滑，adj．光滑的，整洁的
inter v．埋葬
crossfire n．交叉火力
full-fledged adj．羽毛丰满的，成熟的
intestate adj．未留遗嘱的
ironclad adj．坚固的，装铁甲的
evict v.(依法)驱逐
intertwine v．纠缠,缠绕
rally v．n．召集，集会
extinct adj．绝种的,不存在的
nemesis n．报应，天罚
treacherous adj．阴险的，危险的
shawl n．（妇女用）披肩，围巾
moult,molt v．脱毛，换羽毛
exasperation n.激怒
ductile adj．易拉长的，易变形的，可塑的
lure n．诱惑力，引诱
savant n．博学之士，大学士
emergency n．紧急事件
convulsion n．骚动，痉挛
glade n．林中的空地
tycoon n．有钱有势的企业家，大亨
prune n．梅干(用李子“plum”做的干果)v.修剪,剪除
foodstuff n．食料，食品
contortion n．扭曲，弯曲
tan v．鞣（革）
hardheaded adj．（商业上）现实的，精明的
treadmill n.踏车，单调乏味的工作
mistimed adj．不合时机的
gripping adj．引起注意的
shard n．（陶器等）碎片，破片
palette n．调色板
atone v.赎罪,补偿
figurative adj．比喻的，借喻的
rancid adj．不新鲜的，变味的
fluctuate v．波动，变化
enticement n．诱骗,诱人
shelve v．搁置
taint n．v．玷污，败坏
fantastic adj．怪诞的,不实际的
shriek v．尖叫
tantalize v．挑惹，挑逗
exertion n.努力，用力
overwhelm v．泛滥，压倒
infraction n．违法
wield v．支配，掌权
holograph n．亲笔信
auxin n.(植物)生长素
loaf n．一条（面包）v．虚度光阴
idiot n．愚蠢的人，白痴
tadpole n，蝌蚪
sacrilegious adj．亵渎神圣的
condemnation n．谴责，定罪
infuriate v．使（人）极为愤怒
perky adj．活泼的，大胆的
positiveness n．肯定,信心
kerfuffle n.混乱，动乱
disclaim v．放弃权利，拒绝承认
slacken v．（使）松弛，放松
interweave v．交织，编结
grudging adj．勉强的，吝啬的
yearn v．盼望，渴望
texture n．质地，结构
unadvised adj．草率的，鲁莽的
rig v．欺骗，舞弊，伪造
succinct adj．简明的，简洁的
arthritis n关节炎
manuscript n．手稿，手抄本
noncommittal adj．态度暖昧的，含糊的
inveterate adj．积习已深的
palatial adj．宫殿般的，宏伟的
degrade v．降格，降级
provident adj．深谋远虑的,节俭的
mitten n．（四指套在一起姆指分开的）手套
barrier n.路障,障碍
infiltrate v．渗透，渗入
consternation n．大为吃惊，惊骇
drabness n．乏味
glut v．n．供过于求，过多
asperity n．粗鲁，艰苦
mortgage n．抵押贷款，抵押证书v．抵押
simper v．傻笑、假笑
echelon n.等级，阶层
tongs n．夹子，钳子
interminable adj．无尽头的
horrendous adj．可怕的，令人惊惧的
ballerina n.芭蕾舞女演员
phial n．小瓶（药水瓶）
twinge n．（生理，心理上的）剧痛，刺痛
vociferate v．大叫大嚷，叫喊
dynamo n．发电机
