nebulous adj．模糊不清的，云状的
slit v．撕裂n．裂口，裂缝
unkempt adj．（衣服，头发）不整洁的
felicity n．幸福，适当的措辞
genuflect v．曲膝半跪（以示敬意），屈从．
dither n.v.慌张，犹豫不决
dandy n．花花公子，好打扮的人
genetic adj．遗传的，起源的
infiltrate v．渗透，渗入
idle adj．不做事的，懒惰的v．浪费光阴
hoyden n．粗野的女孩，野丫头
tub n．桶，浴盆
flirt v．挑逗，调戏
quest v．n．搜寻，探求
circumspect adj.慎重的，仔细的
hazard n．危险
prude n．过份守礼的人
rustic adj．乡村的，乡土气的
confrontation n．对抗
vulnerable adj．易受攻击的，脆弱的
prescript n．命令,规定
lubricant n．润滑剂
gnawing adj．痛苦的，折磨人的
bauble n.廉价珠宝
exponent n.说明者，支持者
verify vt．证明，证实
mould,mold n．模子，气质v．塑造
discretion n．谨慎，审慎
gaudy adj．俗丽的
remunerate v．报酬，补偿
brook n．小河
bore v．n．钻孔，令人厌烦的人
jog v．慢而平静地前进
permeable adj．可渗透的
bawdy adj.淫猥的、下流的
limn v．描述，绘画
pollen n．花粉
oratorio n．清唱剧
doleful adj．忧愁的，消沉的
sprinkler n．洒水装置，洒水车
pamper v．纵容，过分关怀
shavings n．刨花
contiguous adj．接近的，接壤的
soliloquy n．自言自语，独白
contention n．争论，论点
lively adj．快活的、生动的
vessel n．血管，容器，船只
nightmare n．恶梦，可怕的事
bonanza n.走运，发财
pulley n．滑轮,滑车
splice v．n．接合，衔接
sceptre n．权杖，君权
crude adj．未提炼的，粗鲁的，n．原油
retrospect n．反顾，回顾
antic adj　古怪的，笨拙的
entreaty n．恳求,哀求
apparition n．幽灵，神奇的现象
fastness n．要塞,城堡,坚固
mingy adj.吝啬的，小气的
exhibitionist n.喜欢出风头的人
zygote n．接合子，受精卵
gallant adj．勇敢的，（向女人）献殷勤的
jejune adj．空洞的，不成熟的
impasse n．僵局，死路
implode v．内爆，剧减
harbor n．港，避难所v．包庇，隐匿
informer n．告发者，告密者
shindy n.吵闹，盛大舞会
carousal n．欢闹的酒宴
pyromania n．纵火狂
composure n．镇静，沉着，自若
dupe n．受骗的人，上当者
pantry n．食品室
lasso n．套索（捕捉牛、马用）
bilious adj．多胆汁的，坏脾气的
sinew n．腱，力量，精力
decry v．责难，贬低（价值）
talebearer n.散布谣言者
hormone n．荷尔蒙，激素
numinous adj．庄严的，神圣的
meteoric adj．流星的，昙花一现的
posy n.小花束
rapids n．急流，湍流
persecution n．迫害
sagacity n．聪慧，洞察力
meander v．蜿蜒而流，漫步
infantry n．步兵
brook n．小河
pervasive adj．遍及的，弥漫的
illustrious adj．著名的，显赫的
bouquet n．花束
irritate v．激怒，刺激
perversity n．刚愎，背理行为
delirious adj．精神错乱的
maestro n．音乐大师
bellicose adj．好战的，好斗的
disjointed adj．脱节的，杂乱的
linear adj．线的，成直线的
foreclose v．排除，取消抵押品的赎回权
muck n.堆肥，淤泥
lactic adj．乳汁的
protest n．v．抗议,反对
imperious adj．傲慢的，专横的
gargantuan adj．巨大的，庞大的
baneful adj.有害的,致祸的
fettered adj．被拘束的，没自由的
consequential adj．产生后果的，重要的
tramp v．重步走，长途跋涉
amalgam n．混合物
depletion n．耗尽，枯竭
omniscient adj．无所不知的、博识的
interlocutor n．对话者,谈话者
caricature n．讽刺画，滑稽模仿
expertise n.专技，专业知识
kindle v．着火、点燃
proprietary adj．私有的
fitful adj．不安的
moat n．壕沟，护城河
farrow v．(母猪)生产n.一窝小猪
resume v．重新开始，继续
synthetic adj．综合的，人造的
ruffian n．恶棍，歹徒．adj．残暴的
beacon n.信号灯,闪光灯
volatile adj．反复无常的，挥发性的
imponderable adj．（重要性）无法衡量的
derelict adj．荒废的，被弃置的
layabout n.懒汉
ingenuous adj．纯朴的，单纯的
clench v.握紧，咬紧(牙关)
recherche adj.精选的，珍贵的
apologetic adj　道歉的，歉意的
consolation n．安慰，慰藉
memorial n．纪念碑adj．纪念性的
necropolis n．公墓
horticulture n．园艺学
hoarse adj．嘶哑的，粗嗄的
granite n．花岗石gran（＝grain颗粒）＋ite→颗粒状石头→花岗岩．
eulogy n.颂词，颂文
borough n.享有自治权的市镇或区
venerate v．崇敬，敬仰
apprehend v．逮捕，恐惧
blase adj.对享乐感到厌倦的，无动于衷的
prevalent adj．普遍的,流行的
ethereal adj.太空的，轻巧的
scrupulous adj．谨慎小心的、细心的
cerebrum n．大脑
affliction n．痛苦，折磨
meteoric adj．流星的，昙花一现的
inscription n．铭刻，题献
salutary adj．有益的，有益健康的
supposition n．猜想，推测
bilious adj．多胆汁的，坏脾气的
discharge v．流出，释放，解雇
wan adj．虚弱的，病态的
assault n．突然袭击、猛袭
glossary n．字汇表，难词表
pestilent adj．致死的，有害的
bibliography n.文献学，
testimony n．证言，证明
rebuttal n．反驳，反证
calamitous adj．造成灾祸的
instrumental adj．有帮助的，有作用的
inherent adj．固有的，与生俱来的
typhoid n.伤寒症
impulse n．冲动，刺激
howler n．嚎叫的人或动物，滑稽可笑的错误
dictate v．口述、命令
declivity n．倾斜面，斜坡
antenna n．触角，无线
wardrobe n．衣橱，全部服装
elixir n.长生不老药，仙丹妙药
unconscionable adj．无节制的，过度的
outface v.大胆地对付，无畏面对
bumpkin n.粗人，乡巴佬
awe-inspiring adj.令人敬畏的
fatigue n．疲乏,劳累
sacred adj．神圣的，庄严的
prosperity n．繁荣,兴旺
flaring adj．火焰摇曳的，过份艳丽的
lucrative adj．赚钱的，有利可图的
spectrum n．光谱，范围
scale n．鱼鳞，（音乐）音阶
opacity n．不透明，暖昧
ewer n．大口水罐
cogitation n.思考，苦思
flinch v．畏缩，退缩
lexical adj．词汇的、词典的
domesticate v．驯养（动物）
acorn n．橡实，橡子
slump v．猛然落下，暴跌
eaves n．屋檐
couch v.表达，措辞
discompose v．使失态，慌张
debacle n．解冻，崩溃．
curb n．马勒v．控制
languid adj．没精打采的，怠倦的
solitude n．孤独
earring n．耳环，耳饰
profile n．外形,轮廓侧面像
earring n．耳环，耳饰
affiliation n．入会，加入
primitive adj．原始的,简单的
gossamer n．蛛丝，薄纱，adj．轻而薄的
inundation n．淹没（
elasticity n.弹性伸缩力
identify v．认明，认出
protean adj.变化多端的，多才多艺的
neologism n．新字，新义
sarcastic adj．讽剌的
infallible adj．绝不会错的，绝对可靠的
levity n．轻率，轻浮
spanking adj．轻快的，敏捷的
tiddler n.很小的鱼，小孩
puissant adj．强有力的,强大的
rhythmic adj．有节奏的
protract v．延长,拖长
escort v．护送n．护送者
howl v．吠，咆哮，大声哭
sedative adj．n．（药物）镇静的，镇静剂
ostrich n．鸵鸟，不接受现实的人
repartee n．机灵的回答
deluge n．大洪水，豪雨
bibliography n.文献学，
hooked adj．钩形的，着迷的
usurious adj．放高利贷的
thaw v．解冻，溶化
gerontology n．老人病学
