raid n．突然袭击
iniquitous adj．邪恶的，不公正的
panic n．恐慌，惊惶
oration n．正式演说，演讲
sensual adj．肉欲的、淫荡的
gradient n.坡度，斜度
shovel n．铲子、铁锨v．铲
graft v．嫁接，移植，n．贪污
helm n．舵，驾驶盘
hoist v．吊高，升起。n．起重机
guillotine n断头台
quixotic adj．不切实际的，空想的
scant adj．不足的，缺乏的
dappled adj．有斑点的，斑驳的
reimburse v．偿还
intangible adj．不可捉摸的
quest v．n．搜寻，探求
stimulant n．兴奋剂，刺激物
hirsute adj．多毛的
eloquent adj.雄辩的,演说动人的
perpetuate v．使永存，使永
maneuver v．n．（军队）调遣，策略，操纵
slag n．炉渣，矿渣
weird adj．古怪的，荒唐的
congestion n．充血，拥挤
fissure n．裂缝，裂隙
radiance n．发光，喜悦
ambivalent adj．（对人或物）有矛盾看法的
horizon n．地平线，（思想之）眼界
subservient 　adj．恭顺的
hideous adj．讨厌的，丑恶的
interrogative adj．疑问的
exhume v.掘出,发掘
premium n．保险费,奖金
imminence n．急迫，危急
visage n．脸，面貌
allurement n．诱惑物
lien n．扣押权，留置权
perspicacious adj．独具慧眼的
debrief v．向…询问情况，汇报情况
manacle n．镣铐
intertwine v．纠缠,缠绕
jinx n.不祥的人(或物)
retrospective adj．追想的，回顾的
bombast n．高调，夸大之辞
indigent adj．贫穷的，贫困的
dissenter n．持异义者
fencer n．剑客，击剑者
disembodied adj．无实体的、空洞的
eulogy n.颂词，颂文
kitsch n.迎合低级趣味的拙劣作品
numerology n．命理学
rehabilitate v．修复恢复（职位等）
antibody n．抗体（身体中的抗病物质）
absolution n．赦免，免除
refrain v．抑制，避免n．歌曲的反复句，叠句
waver v．摇摆，犹豫
caustic adj．腐蚀性的，刻薄的
rend v．撕裂，猛拉
priority n．在先,居前,优先权
transcendence n．超越，卓越
badinage n.打趣，嘲弄
laconic adj．（用字）简洁的
patrician n．贵族
lounger n．游手好闲之人
deviate v．越轨，脱离
plastic adj．可塑的n．塑胶
iguana n.美洲大蜥蜴
cadaverous adj．像尸体的，（形容）枯槁的
pandemic adj．（病）大范围流行的
reverse n．反面，相反，v．倒车，反转
villein n.农奴
primitive adj．原始的,简单的
disburse v．支付，支出
median adj．中间的，n．（三角形）中线
masquerade n．化装舞会，v．伪装
hew v．砍伐
commencement n.开始，(大学的)毕业典礼
plumage n．羽毛
complacency n.自满，自得
heave v．用力拉，举
quarry n．采石场，v．采石
plead v．恳求,提出…为理由
eligible adj.适合被选的，合格的
