odium n．憎恶，反感
debris n．废墟，残骸
scalp n．头皮，战利品v．击败
reincarnate v．使化身，转生
petrifaction n．石化，目瞪口呆
dwarf n．侏儒，矮小的植物v．阻碍…的正常发育
inbound adj.归途的，返家的
exaltation n.(成功带来的)得意,高兴
screwdriver n．螺丝起子
skulduggery n．舞弊，作假
glutinous adj．粘的，胶状的
ruminant adj．（动物）反刍的，沉思的
grateful adj．感激的
slaver v．流口水，渴望n．口水
pretension n．自命不凡
caucus n．政党高层会议，核心人物
decode v．译解（密码）
oath n．誓约，誓言
stanch v．制止（血液），止住
molar n．臼齿
cosy,cozy adj．温暖而舒适的
pediatrics n．小儿科
salvage n．v．（从灾难中）抢救，海上救助
cachet n.(证明品质的)优良标志
endorsement n．背书,赞同
gauche adj．笨拙的，不会社交的
movement n．（交响乐）乐章
depose v．免职，废黜
tongs n．夹子，钳子
demolition n．破坏，拆除
sequential adj．连续的，一连串的
infidelity n．不忠实，不贞
appeasement n．平息，满足
oath n．誓约，誓言
jubilant adj．喜悦的，欢呼的
pistol n．手枪
accommodating adj．乐于助人的
carnivore n．食肉动物
accoutrements n．（军服，武器之外的）装备，配备（
desiccate v．（使）完全干涸，脱水。
piety n．虔诚
salmon n．鲑鱼
barbed adj.有倒钩的,讽剌的
celibate n．adj．独身者，不结婚的．
cleft n.裂缝
drove n．畜群，人群
purgatory n.炼狱，暂时的苦难
denude v．脱去，剥蚀，剥夺
sophistry n．诡辩
irritable adj．易怒的，易受刺激的
ewer n．大口水罐
venison n．鹿肉
prohibitive adj．抑制的,价格昂贵的
psyche n．心智,精神
septic adj．受感染的、腐败的
succubus n.女妖
adamant adj．强硬的，固执的
pecuniary adj．金钱上的，金钱的（
saturnalia n．纵情狂欢
bumper n．汽车前后的保险杆
reaper n．收割者
ostrich n．鸵鸟，不接受现实的人
sabre n．军刀，击剑用刀
brazen adj．无耻的，厚脸皮的
marine adj．海的，海中的
veneer n（镶于劣质东西上的）镶面板，外表
encumber v．妨害，阻碍
self-assertion n．坚持己见，自信
pestle n．杵，乳钵槌
flatcar n．平台型铁路货车
talisman n．避邪物，护身符
comprehensive adj．全面的，综合的
