allegiance n．忠诚，拥护
reimbursement n．偿还（的款项）
gratis adj.免费的
enunciate v．发音,(清楚地)表达
scripture n．经文，圣典
prolonged adj．长时期的
stuffy adj．（空气）不新鲜的，闷气的
attribution n.归属
ostensible adj．表面上的，伪装的
neigh v.n.马嘶，马嘶声
jaunty adj．愉快的，满足的
requiem n．安魂弥撒
impulse n．冲动，刺激
nefarious adj．违法的，邪恶的
stem n（植物的）茎，叶柄，v．阻止，遏制（水流等）
impetuous adj．冲动的，鲁莽的
bestow v．给予，赐赠
broil n.v.争吵，怒骂
sapient adj．有智慧的
penitent adj．后悔的，忏悔的
beat v.心跳,搅拌
idolater n．偶像崇拜者
indivisible adj．不可分割的，不可分裂的
outstrip v．超过，跑过
haggle v．争论，讨价还价
obeisance n．鞠躬，敬礼
stencil n．（用以刻写图案，文字的）模板v．用模板刻写
booster n．支持者
addle v．使腐坏，使昏乱
quench v．熄灭（火），抑制（欲望）
splendid adj．壮观的，极好的
lurk v．潜伏，埋伏
impale v．刺穿，刺住
collision n.碰撞，冲突
millinery n．女帽及其装饰物
scum n.泡沫，社会渣滓
scab n．创口上所结的疤，痂
penalize v．置（某人）于不利地位，处罚
arson n．纵火、放火
antiseptic n．杀菌剂，adj　防腐的
buoy n．浮标，救生圈，v．支持，鼓励
accede v．应允，同意
extrovert n．性格外向者
logistics n．后勤学
contrived adj．不自然的，人造的
grill v．烤，烤问，n．烤架
objection n．厌恶，反对
coltish adj.放浪不拘的，似小马的
pliable adj．易弯的,柔软的
debauchery n．放荡，沉缅酒色
implicit adj．含蓄的，不言而喻的
antidote n．解毒药
coup n.出乎意料的行动，政变
insolate v．使曝晒
custodian n．管理员，监护人
scurvy adj．卑鄙的、可鄙的
querulous adj．抱怨的，多牢骚的
blatant adj．喧哗的，无耻的
pare v.削去，剥去
inception n．开端，开始，取得学位
ritual n．仪式，
infallible adj．绝不会错的，绝对可靠的
barbarous adj.野蛮的,残暴的
heading n．标题，航向
dilettante n．半瓶醋，业余爱好者
suffrage n．选举权，投票权
sculpt v．雕刻
demolition n．破坏，拆除
attest v.证明
liable adj．易于……的，有（还债）责任的
gaze v．n．凝视，注视
subtlety n．狡猾，微妙（的感情）
tableland n．高原，台地
nippy adj.辛辣的，寒冷的
pastime n．消遣，娱乐
epistemology n．认识论(对知识本质的研究)
sibilant adj.发咝咝声的(
infest v．骚扰，扰乱
orchid n．兰花，称赞
covetous adj．贪婪的，贪心的
theology n．神学，宗教
heterodox adj．异端的，非正统的
flay v．剥皮，诈取，严厉指责
imbecile n．心智能力极低的人
immersion n．沉入，浸入
patronage n．赞助，惠顾
fervor n．热诚，热心
insufferable adj．无法忍受的
disjointed adj．脱节的，杂乱的
relevance n．相关
compress v．压缩，浓缩
legion n．兵团，一大群
defendant n．被告
banal adj.陈腐的
skew adj．不直的，歪斜的
hedonism n．享乐主义，享乐
trespass n．v．侵犯，闯入私人领地
perish v．死，暴卒．
pendent adj．吊着的，悬挂的
rigorous adj．严厉的，严格的．
oomph n.精力，吸引力
knit v．编结，针织
pediatrics n．小儿科
