obtrude v．突出，强加
anesthetic n．麻醉剂
profanity n．不敬,渎神
grove n．小树林，树丛
multitude n．多数，大众，平民
quench v．熄灭（火），抑制（欲望）
huddle v．挤成一堆n．一堆人（杂物）
harness n．马具，v．束以马具，利用
audacious adj.大胆的,愚勇的
wold n.荒原，山地
amiable adj．和蔼的，亲切的
misanthrope n．愤世嫉俗者
nag v．唠叨，烦扰
hard-bitten adj．不屈的，顽强的
helm n．舵，驾驶盘
copyright n．版权，著作权
peruse v．细读，精读
onus n．义务，责任
stern n．船尾
pollinate v．给……授粉
hospitality n．好客，殷勤
indemnification n．赔偿，赔偿金
vacancy n．空白，空缺
sprinkling n．点滴，少数
hard-nosed adj.顽固的
indefinite adj．模糊的，不确定的
obligatory adj．强制性的，义务的
barbed adj.有倒钩的,讽剌的
effete adj．无生产力的，虚弱的
epitome n．典型，梗概
lucubrate v．刻苦攻读，埋头苦干
imponderable adj．（重要性）无法衡量的
palliation n．减轻，缓和
anticipatory adj预期的
expediency n.方便,权宜之计
modulate v．调整（音的强弱），变调
parley n．v．和谈，会谈．
perception n．洞察力，理解力
pillory n．颈手枷，示众，嘲弄
goad n．赶牛棒v．n．刺激，激励
biosphere n．生命层，生物圈
exaggerate v.夸张,夸大
toupee n．男用假发
piquant adj．辛辣的,开胃的
embellish v.装饰润饰
insert v．插入
empyreal adj.天空的(empyrealheights天空高处)
haft n．柄，把柄
piscatorial adj．捕鱼的,渔民的
ascendancy n．统治权，支配力量
adduce v．给予（理由），举出
cluster n.串，束，群，v.成群，成串
calumniate v．诽谤，中伤
hairy adj．毛发的，多毛的
ideology n．意识，意识形态
deflection n．转向，偏斜
bonanza n.走运，发财
unseemly adj．不适当，不宜
cascade n．小瀑布
negate v．取消，否认
stalemate n．和棋局面，僵局
collateral adj.平行的，旁系的
hector v．凌辱，威吓
cranky adj．怪癖的，不稳的
poignant adj．伤心的,尖锐的
segregate v．隔离
justifiable adj．有理由的，无可非议的
despotic adj．专横的、暴虐的
eccentric adj．古怪的，反常的
appropriate v．拨款，盗用
vanguard n．前卫，先锋
extenuate v．掩饰(罪行),减轻罪过
cower v．畏缩，蜷缩
vinegared adj．酸的，尖刻的
fallow n．adj.休闲地,休闲的
spelunker n.爱好探索洞穴的人
remittent adj．（病）间歇性的，忽好忽坏的
tarnish v．n．失去光泽，晦暗
orientation n．定向
anticipatory adj预期的
pinnacle n．尖塔,山峰
amputate v．切除
knowledgeable adj．有丰富知识的，博学的
sophisticated adj．老于世故的，（仪器）精密的
garland n（作为胜利标志的）花环，奖品
dangle v．悬挂，吊胃口
crook v．使弯曲
dock v．剪短，扣除…的一部份
vernal adj．春季的，春季似的
lukewarm adj．微温的，不热心的
