comport v.举止，行为
stem n（植物的）茎，叶柄，v．阻止，遏制（水流等）
pare v.削去，剥去
executor n.遗嘱执行人
mortgage n．抵押贷款，抵押证书v．抵押
emendation n．订正，校订
nullify v．使无效，抵消
scoff n．v．嘲笑，笑柄
scalp n．头皮，战利品v．击败
herald n．传令官，预示
fraught adj．充满
belie v．掩饰，证明为假
provident adj．深谋远虑的,节俭的
aggregate v．集合，合计
intestinal adj．肠的
construe v．解释，翻译
propagate v．繁殖,传播
wherry n.小船，舢板
splendid adj．壮观的，极好的
interim n．中间时期、过渡时期adj．暂时的
heliotrope n．向阳植物
shear v．剪（羊毛），剪发
humdinger n.极好的人或事
drool v.流口水，胡说
taboo adj．讳忌的n．禁忌
speculation n．思索，推测，投机
agitated adj．被鼓动的，不安的
pique n．v（因自尊心受伤害而导致的)不悦、愤怒
skirmish n．小战，小争吵
confide v．吐露（心事）
attire v.穿着,装扮n.衣服
paganism n．异教（信仰）
familiarity n．精通,亲近,不拘礼仪
macrocosm n．宇宙，宏观世界
glamorous adj．迷人的，富有魅力的
nautical adj．船员的，航海的
censure n．v．责难，非难
gossamer n．蛛丝，薄纱，adj．轻而薄的
elaboration n详细说明,细致的工作
aesthete n．审美家
venal adj．唯利是图的，贪脏枉法的
perpetuity n．永恒，永久
glutton n．贪吃者
piano adj．（音乐）轻柔的
laggard adj．缓慢的，落后的，n．落后者
blatant adj．喧哗的，无耻的
impeach v．指摘，弹劾
glider n滑翔机（
ramp n.v.诈骗，索高价
frisky adj．活泼的，快活的
steer v．操舵，驾驶
validate v．使…生效
insubordinate adj．不服从的，反抗的
decree n．命令，法令，v．颁布命令，公告
bacchanalian adj.狂欢的,行为放纵的
estrangement n.疏远
sampler n．刺绣花样，取样员
rancorous adj．怨恨的，憎恨的
gynecocracy n．妇人政治
demarcate v．划分，划界
notched adj．有凹口的，有缺口的
boycott v．抵制（贸易）
superlative adj最佳的
downplay v.贬低，低估
viands n．食品，食物
agreement n．一致，协议
unassuming adj．不摆架子的，不造作的
shack n．简陋的小屋，棚屋
ineffaceable adj．抹不掉的，不能消除的
harpoon n．（捕鲸的）鱼叉
filch v．偷（不贵重的东西）
hotbed n．温床，滋长地
tugboat n．拖船
barometer n.气压计,晴雨表
fathomless adj．深不可测的
reincarnate v．使化身，转生
pedantry n．迂腐
facilities n．(使事情便利的)设备、工具
apprehension n．焦虑，担忧
arrogant adj．傲慢的，自大的
anomaly n．异常、反常
prolonged adj．长时期的
sophistry n．诡辩
devour v．吞食，（一口气）读完
nuzzle v.用鼻擦，触，紧挨
flint n．打火石，燧石
laxity n．松弛，放纵
winsome adj．媚人的，漂亮的
contumely n．无礼，傲慢
knotty adj．有节疤的，困难的
normative adj．规范的，惯常的
beatitude n．至福，十分幸福
