approximate adj．大约的，估计的
pugnacity n．好斗性
formulate v．公式化，系统表达
callow adj．（鸟）未生羽毛的，（人）未成熟的。
belie v．掩饰，证明为假
huffy adj．愤怒的，暴躁的
rebuke v．指责，谴责
discontented adj．不满足的，不满意的
fascination n．魅力,娇媚
perfunctory adj．草率的，敷衍的
wag v．（狗尾巴等）摆动　n．诙谐幽默者
discography n.唱片分类目录
ellipsis n省略
oblation n．宗教的供品，祭品
mores n．风俗习惯，道德观念
seismic adj．地震的
quadrangle n．四边形
catalysis n．催化作用
warrant n．正当理由，逮捕证
primp v．(妇女)刻意打扮
lusty adj．精力充沛的
status n．身份，地位
welsh v．赖债不还，失信
phrase n．警句，乐句，短语
glamorous adj．迷人的，富有魅力的
gregarious adj．群居的，爱社交的
animus n．憎恨
acerbity n．苦涩，刻薄
weld v．焊接，熔接，结合
barbarous adj.野蛮的,残暴的
fastness n．要塞,城堡,坚固
hush v．n．肃静，安静
mortification n．耻辱，屈辱
espionage n．间谍活动
sluice n．水门，水闸，n．冲洗，奔流
nefarious adj．违法的，邪恶的
allergic adj．过敏的，对…讨厌的
rig v．欺骗，舞弊，伪造
riveting adj．非常精彩的
fraught adj．充满
parquetry n．镶木地板艺术或图案
toil n．v．辛苦，辛勤劳作
insurrection n．造反,叛乱
intersection n．横断,十字路口
wardrobe n．衣橱，全部服装
deteriorate v．（使）变坏，恶化
anorexia n．厌食症
autocrat n.独裁者
altercation n．争吵，争论
hibernation n．冬眠
sham n．假货，虚假，v．伪装
nipping adj．尖酸的，剌骨的
contravention n．违法
beat v.心跳,搅拌
nibble v．一点点地咬，慢慢啃
costume n．服装，剧装
scraggy adj.瘦而多骨的
abacus n．算盘
resort tov．求助于
boisterous adj．喧闹的，欢闹的
levitate v．（使）浮于空中
recuperative adj．有助恢复健康的
pied adj．杂色的
credence n．相信，信任
approbatory adj．表示赞许的．
encipher v．译成密码
scurry v．急跑，疾行
agnostic adj．不可知论的
jaded adj．疲惫的，厌倦的
oratorio n．清唱剧
remainder n．剩余物
pathos n．哀婉，悲怆
corroboration n．证实，支持，证据
moratorium n．停止偿付，禁止
pecuniary adj．金钱上的，金钱的（
wreckage n．残骸，碎片
simulated adj．伪装的，模仿的
pamphlet n．小册子
bedraggled adj．（衣服、头发等）弄湿的，凌乱不堪的
benevolence n．善心，仁心
inborn adj．天生的，天赋的
mendicant adj．行乞的n．乞丐
quagmire n．沼泽地，困境
ford n．浅滩，水浅可涉处v．涉水
apologetic adj　道歉的，歉意的
cynical adj．愤世嫉俗的
redress v．n．改正，修正
phony adj．假的，伪造的
vindicate n．为…平反证明…正确
skinflint n．吝啬鬼
phantasmal adj．幻影的，幽灵一样的
wholesale n．批发，adj．大批的
puissance n．权力
levee n．防洪堤，堤岸
spurious adj．假的，伪造的
originality n．创造性，独特性
wince v．避开，畏缩
serpentine adj．似蛇般绕曲的，蜿蜒的
toil n．v．辛苦，辛勤劳作
spate n．大批，大量，（水）泛滥
ultimate adj．最后的，最终的
hieroglyph n．象形文字，图画文字
clamp n.钳子，v.钳紧
humility n．谦逊，谦恭
exhale v.呼出(气)
faucet n．水龙头
execrable adj极坏的
dipsomania n．嗜酒狂
illustration n．举
poke v．刺,戳,嘲弄
sag v．下陷，下垂，消沉
horn n．（牛羊之）角，号角
ensconce v．安置,安坐
princely adj．王子的,慷慨的
lease n．租约，租期，v．出租
conspectus n．概要，大纲
inception n．开端，开始，取得学位
even-tempered adj.性情平和的,不易生气的
intermediary adj．媒介的n．中间人,媒介物
kerfuffle n.混乱，动乱
injunction n．命令，强制令
fillet,filet n．束发带，鱼肉片
oak n．橡树
chop n．(用斧头等)砍，(风)突然改变方向
dislodge v．逐出，取出
pilgrim n．朝圣客，香客
coruscate v．闪亮，闪光
recalcitrant adj．固执的，顽抗的
cavalry n．骑兵部队
termite n．白蚁
comprehensive adj．全面的，综合的
plastered adj．抹上灰泥的
counteract v．消除，抵消
accordion n.手风琴
roundabout adj．绕远道的，转弯抹角的
dupe n．受骗的人，上当者
hone n．细磨刀石，v．磨刀
flag v．衰退，枯萎
asseverate v.郑重声明，断言
jubilation n．喜悦，欢呼
primer n．启蒙书,识字课本
commandment n.戒律
diverse adj．不同的，种种的
espousal n．拥护，支持
apprehend v．逮捕，恐惧
loaf n．一条（面包）v．虚度光阴
testimonial n．证明书，奖状
beacon n.信号灯,闪光灯
ribald adj．下流的，粗鄙的
sweltering adj．酷热的
unhinge v.使发狂，使错乱
mire n．泥沼，困境
sack n．粗布袋，v．劫掠，掠夺
scale n．鱼鳞，（音乐）音阶
suppurate v.(伤口)化脓(
elm n．榆树
synapse n.突触(指一个神经元的轴突接触并影响另一个神经元的树突或胞体的部位)
facetious adj．轻浮的，好开玩笑的
gastritis n胃炎
rhapsodize v．过份赞美
laceration n．撕裂，裂口
reinstate v．恢复（原职）
opulence n．富裕
flax n．亚麻
shimmer v．闪烁，微微发亮
nethermost adj．最低的，最下方的
reconcile v．和解，调和
indispensable adj．不可缺乏的
safari n．狩猎旅行，长途考察
diverge v．分歧，分开
beverage n.（水，酒等之外的）饮料
provision n．供应,（法律等）条款
emendation n．订正，校订
scalp n．头皮，战利品v．击败
apoplectic adj.中风的，易怒的
melodrama n．情节剧，音乐戏剧
liturgy n．礼拜形式
frond n．（羊齿（fern），棕榈等的）叶子
prolonged adj．长时期的
sizzler n．炎热天气、大热天
scum n.泡沫，社会渣滓
oblivious adj．不在意的，疏忽的
highbrow n．自以为文化修养很高的人
