fiend n．恶魔，魔鬼
cloistered adj.隐居的
coquetry n.卖弄风情，媚态
dally v．闲荡，嬉戏
category n．类别，范畴
bum v.流浪，乞讨，adj.差劲的
sinewy adj．多腱的，强壮有力的
purvey v．（大量）供给，供应
leach v．分离，过滤掉
pungency n．刺激性,尖刻
gastritis n胃炎
prune n．梅干(用李子“plum”做的干果)v.修剪,剪除
acne n.粉刺
melancholy adj.忧郁的，令人悲伤的
pony n．小马
riotous adj．暴乱的，蛮横的
obstruct v．阻塞，截断
ample adj．富足的，充足的
scruffy adj.肮脏的，不洁的
brook v．容忍，忍受
famish v．使饥饿
lunatic n．疯子，adj．极蠢的
sustained adj．持久的，经久不衰的
reverie n．幻想，梦幻曲
lethal adj．致命的
grope v．摸索，探索
frenetic adj．狂乱的，发狂的
magnitude n．重要，星球的光亮度
poetaster n．蹩脚诗人
epicurean adj．好享乐的享乐主义的
yielding adj．弯曲自如的，灵活的
palate n．上腭，口味，爱好
double-cross v.欺骗，出卖
brilliant adj．辉煌的，才气焕发的
overt adj．公开的、非秘密的
spellbind v.吸引，迷惑
smashing adj.极佳的，美妙的
gleeful adj．欢乐的，欣喜的
warden n．看守人，管理员
apex n．顶点，最高点
guarded adj．谨慎的，提防的
slacker n.逃避工作的人，懒虫
vaunt v．吹嘘，炫耀
proscribe v．禁止
balk v.阻止，妨碍
sanguinary adj．有血的，血腥的
whit n．一点儿，少量
squelch v．n．压制，镇压
luxuriant adj．繁茂的，肥沃的
hymn n．赞美诗
gaffe n．（社交上令人不快的）失言，失态
disdain v．轻视、鄙视
saunter v．n．闲逛，漫步
mendacity n．虚假
laboured adj．吃力的，（文体）不自然的
suppurate v.(伤口)化脓(
hieroglyph n．象形文字，图画文字
obsolescent adj．即将过时的
liquefy v．液化，溶解
carnation n．康乃馨（一种花）
parochial adj．教区的，思想狭隘的
upstart n．突然升官的人，暴发户
immortal adj．不朽的，流芳百世的
mendacity n．虚假
estrangement n.疏远
delirium n．精神错乱，发狂
subside v．（建筑物等）下陷，（天气等）平息，平静
blasphemous adj．对神不敬的
jingoism n．沙文主义，侵略主义
recondite adj．深奥的，难解的
chirp v．(鸟或虫)唧唧叫
prepossessing adj．(个性等)给人好感的
interrogate v．审问,审讯
hurly-burly n．喧闹，骚动
raid n．突然袭击
preoccupied adj．心事重重的,出神的
recreation n．娱乐，消遣
nullify v．使无效，抵消
dashing adj．有活力的，有朝气的
purge v．清洗,洗涤
abhorrent adj．可恨的，可厌的
reflective adj．深思熟虑的
acne n.粉刺
maneuver v．n．（军队）调遣，策略，操纵
maisonette n.小屋，公寓
governance n．统治，支配
awning n.雨篷，遮阳篷
ligneous adj．木质的，木头的
gush v．涌出，滔滔不绝地说
pamper v．纵容，过分关怀
gladiator n．角斗士，与野兽博斗者
sordid adj．卑鄙的，肮脏的
sedentary adj．久坐的，固定不动的
hygroscopic n.易湿的，吸湿的
maestro n．音乐大师
infraction n．违法
imminence n．急迫，危急
gleam n．亮光，闪光，v．发闪光
originality n．创造性，独特性
pest n．害虫，讨厌的人或物
gutless adj．没有勇气的，懦怯的
lascivious adj．淫乱的，好色的
lengthy adj．很长的，冗长的
pique n．v（因自尊心受伤害而导致的)不悦、愤怒
serenade n．夜曲，小夜曲
corral n．（牛、马等）畜栏
posy n.小花束
omniscient adj．无所不知的、博识的
tramp v．重步走，长途跋涉
itinerant adj．巡回的，流动的
dolt n．笨蛋，傻瓜
lacklustre adj．无光泽的，呆滞的
prate v．瞎扯,胡说
monolithic adj．巨石的，巨大的
feat n．功绩，壮举
atlas n.地图集
cowardice n．胆小，懦弱
brazen adj．无耻的，厚脸皮的
contemplate v．深思，（严肃）注视
tango n．探戈舞
fulmination n．抨击，谴责
endorsement n．背书,赞同
conviction n．判罪，坚信
substitute n．代替品，v．代替
clam n.蛤，蚶
mare n．母马
kitsch n.迎合低级趣味的拙劣作品
footle v．胡闹，浪费（时间）
arithmetic n．算术
willful adj．任性的，故意的
flammable adj．易燃的
trample v．踩坏，践踏
upsurge n．（情绪）高涨
aboriginal n．原始居民，土著
enigmatic adj．神秘的，难解的
clarity n.清楚
acoustic adj．听觉的，有关声音的
transpire v.发生，蒸发，泄露
personable adj．英俊的，风度好的
degenerate v．退步，堕落
igneous adj．火的，火绒的
sleight n．巧妙手法，巧计，灵巧（分割
compatible adj.和谐共处的，相容的
