bamboozle v.欺骗，隐瞒
modification n．修改，修饰
pinnacle n．尖塔,山峰
dictator n．独裁者
cloister n.修道院
cosmos n．宇宙（
fortuitous adj．偶然的，意外的
surge v．n．波涛汹涌，波动
scared adj．害怕的，恐惧的
apprehension n．焦虑，担忧
fallacy n．谬误，错误
acclivity n．向上的陡坡
implacable adj．难以满足的、难平息的
fulsomeness n．虚情，谄媚
hedonistic adj．享乐的
inhibited adj．拘谨的，拘束的
quirk n．奇事，怪癖
pauper n．贫民，乞丐
mortgage n．抵押贷款，抵押证书v．抵押
spacious adj．广阔的，宽敞的
cession n．割让，转让
modulate v．调整（音的强弱），变调
hatch n．船舱盖
testimonial n．证明书，奖状
instill v．滴注，逐渐灌输
waspish adj．易怒的，尖刻的
prevaricate v．支吾其词,说谎
luminary n．杰出人物，名人
radiate v．发光，放热
snappy adj．精力充沛的，潇洒的
peccadillo n．小过失
fop n．（喜好精致服装的）花花公子．
solitary adj．孤独的，n．隐士
harness n．马具，v．束以马具，利用
odious adj．可憎的，讨厌的
scab n．创口上所结的疤，痂
explicate v.详细解说
refute v．驳斥
vogue n．时髦，时尚adj．流行的
plebeian n．adj．平民,平民的
icon n．圣像，偶像
autopsy n.验尸，解剖
chequer v.变化，沉浮
specter n．鬼魂，幽灵，恐惧
unearth v．挖出，发现
plaza n．广场,集市
pelt n．毛皮．v．投掷，（雨）猛降
inter v．埋葬
retaliate v．报复，反击
wizened adj．干皱的，干巴巴的
chide v．叱责，指责
unfettered adj．无忧无虑的
verbiage n．罗嗦，冗长
coagulant n.凝结剂
pony n．小马
insane adj．疯狂的
debauchery n．放荡，沉缅酒色
heading n．标题，航向
risible adj．可笑的，引人发笑的
organism n．生物，有机体
indocile adj．不听话的，难顺服的
vampire n．吸血鬼
incipience n．初期
irresistible adj．无法抗拒的，无法抵抗的
corny adj．平谈无奇的，乡巴佬的
livid adj．青灰色的（撞伤），（脸色）苍白的
embankment n.堤岸,路基
hallow v．把…视为神圣，尊敬
hoop n．（桶之）箍，铁环
wold n.荒原，山地
bulb n．植物的球茎
chase v．雕镂，追捕
flaring adj．火焰摇曳的，过份艳丽的
scoff v．狼吞虎咽
unconscionable adj．无节制的，过度的
somber adj．忧郁的，阴暗的
observance n．遵守，奉行（法律，习俗）
fanatic adj．狂热的，盲信的n.狂热者
embroil v．牵连,卷入纠纷
serrated adj．呈锯齿状的
woe n．悲痛，苦难
ocular adj．眼睛的，可见的
acrobat n．特技演员，杂技演员
rapt adj.专注的
annihilate v．消灭
careen v．（船）倾斜，使倾斜
wheedle v．（用花言巧语）哄骗
blinds n．百页窗
pasteurize v．以高热杀菌，消毒
baroque n.adj.(艺术、建筑等)高度装饰的，过份雕琢的
shed v．流出（眼泪），脱落（叶子）
jollity n．快乐，欢乐
castigate v．惩治，严责
priority n．在先,居前,优先权
stab n．v．刺伤，戳
oasis n．绿州
desirous adj．渴望的
ossify v．硬化，骨化
reassurance n．安慰（的话），放心
cobbler n.补鞋匠
copious adj．丰富的，多产的
curb n．马勒v．控制
sabotage n．阴谋破坏，颠覆活动
cozen v.欺骗，哄骗
discredit v．怀疑，n．丧失名誉
marrow n．骨髓，精华
antagonism n．对抗，敌对
ostensible adj．表面上的，伪装的
omniscient adj．无所不知的、博识的
impregnate v．怀孕，使充满
testimony n．证言，证明
indict v．控诉，起诉
implosion n．向内破裂，内爆
maniacal adj．发狂的，狂热的
confection n．甜食，糖果
adulate v．谄媚，奉承
scandalous adj．丢脸的，诽谤性的
quarry n．猎物，追求物
induct v．使就职，使入伍
repulsive adj．令人厌恶的，驱逐的
affiliation n．入会，加入
infamy n．恶名昭彰
preserve v．保护,保藏
somatic adj．肉体的
schism n．组织分裂
voracity n．贪食，贪婪
intoxicate v．使醉，陶醉
incursion n．侵犯，入侵
