suggestible adj．易受影响的
restrain v．克制，抑制
arrogate v．冒称具有……权力
repressive adj．镇压的，残酷的
effrontery n．厚颜无耻
sophism n．诡辩
stitch 　n．（缝纫时的）一针，一钩v．缝合
accede v．应允，同意
tuber n．块茎，球根
assertive adj．言语果断的，断言的
demur v．表示异议，反对
dingy adj．肮脏的，褪色的
forge v．（迎着困难）稳步前进
quotidian adj．每日的，平凡的
lambaste v．痛打，痛骂
resurrect v．使复活，挖出
anachronism n．年代错误，落伍之物
girdle n．腰带，转绕物v．环绕
pasty adj.浆糊的，苍白的
fascination n．魅力,娇媚
gallows n．绞刑架，绞台
epigrammatic adj．警句的
anguish n．极大痛苦
antenna n．触角，无线
intermittent adj．断断续续的，间歇的
loom n．织布机，v．隐约出现
narcotic n．催眠药adj．催眠的
gastritis n胃炎
subordinate 　adj．附属的n．部下，下属
exalt v.(高度)赞扬,歌颂
impermeable adj．不可渗透的，不透水的
fugitive adj．逃亡的，易逝的n．逃犯，逃亡者
lubricious adj．光滑的，好色的
interlocutor n．对话者,谈话者
ploy n．花招,手段
grille n．（银行，邮局柜台上的）铁栅
trounce v.痛打，严惩
protagonist n．提倡者,支持者
expropriate v．充公，没收
tender v．提出（希望对方接受的意见等）
conceive v．怀孕，构想
olfactory adj．嗅觉的
vanilla n．香草，香子兰
repercussion n．反应，影响，回声
hiatus n．空隙，裂缝
persuasive adj．能劝说的，善于游说的
unravel v．解开，拆散
anomaly n．异常、反常
indiscretion n．不谨慎的、鲁莽的
vaccine n．牛痘苗，疫苗
scurvy adj．卑鄙的、可鄙的
invocation n．祈祷
retarded adj．智力迟钝的
spectacular adj．壮观的，引人入胜的
constellation n．星座，星群
infidel n．不信教者，异教徒
halting adj．踌躇的，吞吞吐吐的
jerk n.v．猛然一拉
veracity n．真实性，诚实
obese adj．极肥胖的
cant n．隐语，术语
chop n．(用斧头等)砍，(风)突然改变方向
gumption n.进取心，精明强干
exalt v.(高度)赞扬,歌颂
hypotenuse n．（直角三角形的）斜边
conspirator n．阴谋者，谋叛者
anathema n（基督教的）咒诅
proximity n接近,附近
solicitation n．恳求，教唆
lance n．长矛、鱼叉
awe-inspiring adj.令人敬畏的
precipice n．悬崖
baffling adj.令人困惑的
impersonate v．模仿，扮演
intersperse v．散布,点缀
transmute v．变化，变作
archetype n．原型，典型
cachet n.(证明品质的)优良标志
twirl v.旋转，急转
mime n．比划手脚（以表达），哑剧（演员）
illiberal adj．气量狭窄的，吝啬的
brimful adj充满的、盈满的
omission n．遗漏，省略
purchase n．支点(阻止东西下滑)
depletion n．耗尽，枯竭
insulin n．胰岛素
squash v．压碎，挤压，n．南瓜
sarcasm n．讥讽，讽刺，嘲笑
trench n．沟，壕沟
static adj．静态的，呆板的
perpetrate v．犯罪，作坏事
gyroscope n.陀螺仪，回转仪
clique n.朋党派系，小集团
recreation n．娱乐，消遣
grill v．烤，烤问，n．烤架
sentient adj．有知觉的，知悉的
booze v.痛饮，狂饮
malignity n．邪恶，恶毒
lucrative adj．赚钱的，有利可图的
flask n．烧瓶，细颈瓶
distinguished adj．著名的，卓越的
nuptials n．婚礼
propulsion n．推进力
pragmatic adj．实际的,实用主义的
censure n．v．责难，非难
haemophilia n．血友病，出血不止
nebulous adj．模糊不清的，云状的
plane n．刨子,平面v．刨
palisade n.篱笆，栅栏
showpiece n．陈列品、精品、样品
scabbard n．（刀、剑）鞘，枪套
castigate v．惩治，严责
remit v．免除，宽恕，汇款
litterbin n．垃圾桶
tonic n．增进健康之物，补品
rat v.背叛，背信
embezzlement n.贪污，侵吞
auditory adj.听觉的
tempestuous adj狂暴的
prodigy n．奇事,非凡之人,天才
culinary adj．厨房的，烹调的
proselyte n．皈依者,改变宗教信仰者
altercation n．争吵，争论
usury n．放高利贷
garish adj．俗丽的，过于艳丽的
prosaic adj．单调的,无趣的
precis n．摘要,大纲
repine v．不满，心中抱怨
skive v.躲避工作
contagion n．传染（病）
hoodwink v．蒙混，欺骗
obsequious adj．逢迎的，谄媚的
vestment n．（作礼拜时教士的）法衣，官服
blight n．植物枯萎病v．使…枯萎
sensuality n．淫荡、好色
mope v．n．抑郁不乐，生闷气
censure n．v．责难，非难
sanitary adj．卫生的，清洁的
precipice n．悬崖
cosset v.宠爱，娇养
pretence n虚伪,借口
lithe adj．柔软的，易弯曲的
acoustics n．声学
leach v．分离，过滤掉
debility n．衰弱，虚弱
madrigal n．合唱曲，情诗，牧歌
nether adj.下部的，下面的
subside v．（建筑物等）下陷，（天气等）平息，平静
snare n．罗网，陷井
trespass n．v．侵犯，闯入私人领地
rekindle v．重新点燃
unguarded adj．不留神的，没有防备的
illustration n．举
axle n.轮轴(连接二个车轮的轴)
stain v．玷污，染色
irresistible adj．无法抗拒的，无法抵抗的
eulogy n.颂词，颂文
aggrieved adj．（因受伤害而）愤愤不平的，痛心的
sanitary adj．卫生的，清洁的
zephyr n．和风，西风
redound v.提高，增加
feat n．功绩，壮举
ornate adj．华美的，充满装饰的
ontology n．实体论，本体论
awe v.敬畏
phrase n．警句，乐句，短语
guttle v．狼吞虎咽
nadir n．最低点，无底
hypothesis n．假设，假说
pervert v．使堕落，滥用
vapid adj．索然无味的
emulation n．竞争,仿效
clannish adj.排他的，门户之见的
stunning adj．极富魅力的
tamp v．捣实，砸实
awe v.敬畏
puttee n.绑腿，裹腿
lave v.洗浴，慢慢冲刷
verbosity n．唠叨，冗长
erratic adj.反复无常的古怪的
monasticism n．修道生活，禁欲主义
fiat n．命令，决断
nomination n．提名，指派
hoax n．v．骗局，欺骗
canker n.溃疡，弊害
crevice n．缺口，裂缝
audacious adj.大胆的,愚勇的
perambulate v．巡行，巡视，漫步
bacchanalian adj.狂欢的,行为放纵的
pompous adj．自大的
enmesh v．(通常被动)绊住,陷入网
cacophony n．刺耳的声音
pulchritude n．美丽
scarp n．悬崖，陡坡
arboretum n．植物园
sycophant n．马屁精
miscellany n．混合物
nauseate v．使作呕，使厌恶
flawless adj．完美的，无瑕疵的
disinfectant n．消毒剂
stupefy v．（使）茫然，吓呆
snoop v．窥伺，打听，n．窥探者
superficial adj．表面的，肤浅的
glaring adj．耀眼的，刺目的．
cavern n．大洞穴
galley n．船上的厨房
flare n．v．（火焰）摇曳，闪耀
rejoicing n．欢乐，狂喜
fealty n．效忠
provoking adj．激怒人的,刺激人的
profusion n．丰富、大量、浪费
nymph n．年轻女神，少女
cravat n．领巾，领结
epicure n．美食家
identification n．认明，确认
poise v．使相等,使平衡n．泰然自若,信心
stationary adj．静止的，不动的
irradiate v．使明亮，生辉
dribble v．（液体）往下滴，淌
crater n．火山口，弹坑
tardy adj．缓慢的，迟缓的
patrician n．贵族
loiter v．游荡，走走停停
redolent adj．芬芳的芳香的
censorious adj．吹毛求疵的，苛求的
needle n．针，针叶
derogatory adj．不敬的，诽谤的
indescribable adj．（美得）无法形容的（
trammel v．n．束缚，妨碍，鱼网
jollity n．快乐，欢乐
fantasia n．幻想曲,组合乐曲
babble v.说蠢话,牙牙学语
tinge v.给……染色
heretic n．异教徒
virile adj．有男子气的，雄健的
invoke v．祈求，恳求，（法律的）实施生效．
maneuverable adj．可移动的，可操纵的
spat n．口角，小争论
agony n．极大痛苦
piscatorial adj．捕鱼的,渔民的
chunk n．短厚木头，大量
contingency n．意外事件，可能性
benignity n．温和，仁慈
coalesce v.联合，合并，结合
wavy adj．波浪形的，起伏的
panel n．讨论小组，仪表板
dissident n．唱反调者
assiduity n．勤勉
specimen n．范例，样品，标本
imputation n．归咎，归罪
jesuitical adj.阴险的，虚伪的
replete adj．饱满的，塞满的
asset n．财产，可取之处
flabbergast v.使大吃一惊
gynecocracy n．妇人政治
terrace n．一层梯田，阳台
proceeds n．收入
nefarious adj．违法的，邪恶的
hulking adj．笨重的
buttress n．扶墙，拱壁，v．支持
intangible adj．不可捉摸的
prolong v．延长，拉长
seditious adj．煽动性的
singularity n．卓越，奇异
propensity n．嗜好,习性
manacle n．镣铐
intimidation n．恐吓
guy n．（铁塔等的）支索，牵索
persistent adj．固执的，坚持的
dabble v．涉足，浅赏
rhetoric n．修辞学，浮夸的言语
cloistered adj.隐居的
implode v．内爆，剧减
patronage n．赞助，惠顾
exorcize v.驱魔,去除(坏念头等)
screwdriver n．螺丝起子
disarray n．混乱，漫无秩序
illegitimate adj．不合法的，私生的
archetype n．原型，典型
coronation n.加冕，加冕礼
conifer n．针叶树
reminiscence n．回想，追忆，（复）回忆录
cuisine n．烹饪
howler n．嚎叫的人或动物，滑稽可笑的错误
clarification n.解释，澄清
cynicism n．愤世嫉俗，犬儒主义
attest v.证明
shingle n．木瓦，屋顶板
larynx n．喉
disparate adj．迥然不同的，不可并论的
schematic adj．扼要的，图解的
mare n．母马
arthritis n关节炎
exotic adj.珍奇的,来自异国的
sanatorium n．疗养院，休养所
secluded adj．隐遁的、隔绝的
deflect v．偏离，转向
metaphor n．隐喻，暗喻
elegy n.哀歌、挽歌
prevaricate v．支吾其词,说谎
hooligan n．流氓，歹徒
trawl n．拖网，v．用拖网捕鱼，搜罗
gorge n．峡谷v．贪婪地吃
holograph n．亲笔信
cloy n.(吃甜食)生腻，吃腻
expel v.排出,开除
attic n.阁楼,顶楼
malinger v．装病以逃避工作
