cession n．割让，转让
antiseptic n．杀菌剂，adj　防腐的
platonic adj．纯友谊的(爱情)
ingratitude n．忘恩负义
convex adj．凸出的
leakage n．渗漏，漏出
speciosity n．似是而非，外表美观
chivalry n.骑士制度
shrink v．收缩、缩小，退缩
confide v．吐露（心事）
carve v．雕刻，（把肉等）切成片
protrude v．突出,伸出
inroad n.侵袭，减少
lava n．熔岩
conduce tov．引起，有助于
ascertain v．查明，确定
licentious adj．纵欲的，放肆的
bracing adj.振奋精神的
accrue v．（利息等）增大，增多
bifurcate v．分为二支，分叉
hypercritical adj．苛求的，吹毛求疵的（
inadvertent adj．不注意的，疏忽的
claustrophobia n.幽闭恐怖症
lacklustre adj．无光泽的，呆滞的
prescript n．命令,规定
nicotine n．尼古丁
sash n．腰带,肩带．
stark adj．（外表）僵硬的，完全的
nippers n．钳子，镊子
seafaring adj．航海的，跟航海有关的
claustrophobia n.幽闭恐怖症
improvident adj．不顾将来的，不节俭的
minaret n．叫拜楼（伊斯兰教寺院的尖塔）
embryo n．胚胎
stuntman n．特技演员
hedonism n．享乐主义，享乐
lachrymose adj．好流泪的，引人落泪的
behold v．目睹，看见
victuals n．食物，饮食
facile adj．容易做的,肤浅的
personable adj．英俊的，风度好的
incorporeal adj．无形体的，非物质的
saga n．英勇故事，长篇小说
tambourine n．铃鼓，手鼓
resonance n．回响，共鸣
hood n．头巾，兜帽
fulcrum n．杠杆支点，支柱
incarcerate v．下狱，监禁
deposition n．免职，沉积
smattering n．略知，少数
ruminative adj．沉思默想的
dock v．剪短，扣除…的一部份
chorus n．合唱队，歌舞团
squalor n．不洁，污秽
gullible adj．易受骗的
wreckage n．残骸，碎片
ingenuity n．巧思，聪敏
residue n．剩余（财产）
illegible adj．难读的，难认的
proceeds n．收入
smuggle v．走私，私运
repose v．躺着休息，安睡
legislate v．制定法律
sizzler n．炎热天气、大热天
diabolical adj．恶毒的，狠毒的
bygone adj.过去的，昔日的
fascinate v．迷惑,迷住
splint n．（固定断骨的）夹板，托板
exhume v.掘出,发掘
salvation n．得救，拯救
cluster n.串，束，群，v.成群，成串
persiflage n．挖苦，嘲弄
custody n．监管，保管
agronomist n．农学家
fawning adj．奉承的
dissonant adj．不和谐的，不协调的
forensic adj．法庭的，辩论的
superintend v．监督
girdle n．腰带，转绕物v．环绕
scandal n．丑闻，恶意诽谤
plaintiff n．原告
maul v．撕裂皮肉，伤害
affidavit n．宣誓书
mortify v．使屈辱，使痛心
restorative adj．恢复健康的，恢复的
somatic adj．肉体的
nubile adj．（女孩）到婚嫁年龄的，吸引人的
supplement v　n．增补，补充
lechery n．好色，纵欲
parry v．挡开，避开（武器，问题等）
restive adj．不安静的，不安宁的
dinghy n．无篷小船、小艇
tournament n．比赛，（旧时）骑士比武大会
subversive adj．颠覆性的，破坏性的
skinflint n．吝啬鬼
rigidity n．固执，坚定，僵化
hardy adj．耐寒的、强壮的
disencumber v．排除（障碍），摆脱（负担）
asphyxia n．窒息
extant adj．现存的，传世的
skimpy adj．吝啬的，贫乏的
resonance n．回响，共鸣
jurisprudence n．法律学，法学
steer n．公牛，食用牛
devastate v．摧毁，破坏
hedge n．修剪过的树篱，限制
clamorous adj.吵闹的，喧哗的
burrow n．（兔子等）所掘的地洞，v．挖洞
recalcitrance n．固执，顽抗
sprint n．全速奔跑
treatise n．论文
slay v．杀，残杀
enthrall v．迷惑,迷住
wimple n.头巾，v.用头巾围
shack n．简陋的小屋，棚屋
foray v．n．突袭，偷袭
zippy adj.精神饱满的，喜悦
disparate adj．迥然不同的，不可并论的
smug adj．自满的，自命不凡的
fanfare n．夸耀,嘹亮的喇叭声
shambles n.混乱之处，凌乱的地点
obligatory adj．强制性的，义务的
sanguine adj．充满希望的，乐观的
creditable adj．值得称赞的，可信的
reagent n．试剂（导致化学反应）
destruction n．毁坏，毁灭（的原因）
wherry n.小船，舢板
reverie n．幻想，梦幻曲
corny adj．平谈无奇的，乡巴佬的
royalty n．皇室，版税（付给著作人的钱）
philatelist n．集邮家
perceive v．察觉，发觉
downplay v.贬低，低估
gaze v．n．凝视，注视
streak 　n．线条，条纹，v．加线条
retaliate v．报复，反击
speculate v．沉思，思索，投机
recidivism n．累犯，重犯
sprinkler n．洒水装置，洒水车
listless adj．无精打采的
fierce adj．残酷的，凶猛的．
disturbance n．扰乱、骚动
secrete v．分泌，藏匿
savant n．博学之士，大学士
entice v．纵恿，引诱
foment v．煽动，助长（坏事）
pernicious adj．有害的，致命的
chivalry n.骑士制度
mere n．小湖
maestro n．音乐大师
chimera n．神话怪物，梦幻
tyro n．新手
cosy,cozy adj．温暖而舒适的
rapt adj.专注的
pleonastic adj．赘语的,噜嗦的
redundant adj．累赘的，多余的
connotative adj．有含意的，暗示的
statuary n．雕像，雕塑艺术
hamper v．妨碍，阻挠n．有盖提篮
randy adj.性欲冲动的，渴望的
loft n．阁楼，顶楼
indefatigable adj．不知疲倦的
integrate v．使成整体
antagonist n．敌手，对手
assured adj．自信的，确定的
enamoured adj．珍爱的，喜爱的
parse n.v.从语法上分析
ingrained adj．根深蒂固的
stripe 　n．条纹，斑纹，类型
lark n．玩笑，嬉耍
disposed adj．愿意，想干
portentous adj．凶兆的,有危险的
expediency n.方便,权宜之计
aria n．独唱曲，咏叹调
effulgent adj．光辉的，灿烂的
spatchcock v．把（文字）插入
anthropology n．人类学
wile n．诡计，花言巧语
buoyancy n．浮力
embed v.牢牢插于,嵌于
aerate v．充气，让空气进入
effusive adj．流出的，感情奔放的
apposite adj．适当的，恰切的．
willful adj．任性的，故意的
abstruse adj．难懂的，深奥的
rivulet n．小溪，小河
jaunt v．短程旅游
hazard n．危险
presumptuous adj．自大的,专横的,冒昧的
moulder v.渐趋腐朽
fort n要塞，城堡
melancholy adj.忧郁的，令人悲伤的
staggering adj．令人吃惊的
subpoena n．（法律）传票，v．传讯
querulous adj．抱怨的，多牢骚的
ravishment n．狂喜，陶醉
puddle n．水坑,洼
crustacean n．甲壳类动物
retract v．缩回，收回
epaulet n．肩章,肩饰
spout v．喷出，滔滔不绝地讲
pliable adj．易弯的,柔软的
defame v．诽谤，中伤
grove n．小树林，树丛
pillage n．v．抢劫，掠夺
bygone adj.过去的，昔日的
ejaculation n突然大叫
phial n．小瓶（药水瓶）
meteoric adj．流星的，昙花一现的
salacious adj．好色的，淫荡的．
brindled adj.有斑纹的
anguish n．极大痛苦
homograph n．同形异义字
odoriferous adj．有香味的，芳香的
