celestial adj．天体的，天上的
garrulity n．唠叨，饶舌．
cultivate v．种植，向…讨好
stenography n．速记，速记法
wacky adj．（行为等）古怪的，愚蠢的
porcelain n．瓷,瓷器
umbrage n．不快，愤怒
intrude v．闯入，强行引入
waver v．摇摆，犹豫
mantle n．披风，斗篷，v．覆盖
mangle v．撕成碎片，压碎
pragmatic adj．实际的,实用主义的
frond n．（羊齿（fern），棕榈等的）叶子
stingy adj．吝啬的，小气的
intimacy n．亲密，亲密的言行
frolic n．v．嬉戏，雀跃．
skunk n．臭鼬，黄鼠狼
expostulate v．(对人或行为的)抗议，告诫
infatuated adj．迷恋（人）的
halt v.暂停前进，停止
liken v.把……比作，比拟
megalith n.巨石，远古时代的巨石碑
mesa n．高台地，平项山
diurnal adj．白昼的，白天的
plump adj．颇胖的,丰满的
discompose v．使失态，慌张
lenient adj．宽大的，仁慈的
oasis n．绿州
emboss v．加浮雕花纹于,使凸出
vandalize v．肆意破坏
incorrigible adj．积习难改的，不可救药的
alchemy n．炼金术
necromancy n．巫术，通灵术
entwine v．使缠绕,交织
pneumonia n．肺炎
interaction n．相互作用（影响）
encumber v．妨害，阻碍
slur v．含糊不清地讲
hardheaded adj．（商业上）现实的，精明的
inducement n．引诱物
enchant v．使迷醉,施魔法于
vegetate v．象植物般生活，无所事事
spinney n.小树林
ophthalmology n．眼科
refinement n．提炼，文雅
deft adj．灵巧的，熟练的（a　deft　hand能手）
premiere n．首次公演
poise v．使相等,使平衡n．泰然自若,信心
abominate v．痛恨，痛恶
pylon n．高压电线架，桥塔
terrapin n．泥龟，水龟
redemption n．赎罪
rebarbative adj．令人讨厌的，冒犯人的
bale n.大包裹,灾祸,不幸
scrunch v.压碎，辗碎
browse v．n．吃嫩叶或草，浏览
mournful adj．悲伤的
epithet n．(贬低人的)短语或形容词
vacillate v．游移不定，踌躇
procurement n．取得,获得
astute adj.机敏的,精明的
enormity n．极恶,暴行,巨大
singularity n．卓越，奇异
melody n．旋律，歌曲
renown n．名望，声誉
glut v．n．供过于求，过多
atrophy n.v.萎缩,衰退
scrupulous adj．谨慎小心的、细心的
simian adj．猿的、猴的n．类人猴
decorum n．礼节，礼貌
demean v．贬抑，降低
neurotic n．神经病患者
savant n．博学之士，大学士
acclaim v．欢呼，称赞
protean adj.变化多端的，多才多艺的
upsurge n．（情绪）高涨
choleric a．易怒的，暴躁的
mortify v．使屈辱，使痛心
incursion n．侵犯，入侵
interstice n．细裂缝,空隙
four-poster n．有四柱的床
jesuitical adj.阴险的，虚伪的
negotiable adj．可商量的，（支票）可兑现的
kernel n．果仁、核心
quench v．熄灭（火），抑制（欲望）
masquerade n．化装舞会，v．伪装
respondent n．被告
excogitate v.想出,设计(计划,办法)
sorcery n．巫术，魔法
fern n．羊齿植物，蕨
entwine v．使缠绕,交织
sundry 各式各样，各种的
defect n．缺点，瑕疵v．变节，脱党
embolden v.给……壮胆，鼓励
sartorial adj．裁缝的，缝制的
chromatic adj．彩色的，五彩的
prosecute v．告发,检举
scant adj．不足的，缺乏的
scrutinize n．详细检查，细读
anarchy n．无政府，混乱
rucksack n．（旅行等的）背包
scrape v．刮擦、擦掉
inert adj．惰性的，行动迟钝的
walrus n．海象
lusty adj．精力充沛的
populous adj．人口稠密的，人民多的
console v．安慰，抚慰
beverage n.（水，酒等之外的）饮料
antler n.鹿角，茸角
abdicate v．让位，辞职，放弃
tributary adj．n．支流（的），进贡（的）
ruminant adj．（动物）反刍的，沉思的
commodious adj.宽敞的
spasm n．痉挛，抽筋
languish v．衰弱，变得消瘦
reprehensible adj．应受谴责的
magnitude n．重要，星球的光亮度
deadlock n．相持不下，僵局
ointment n．油膏，软膏
benevolence n．善心，仁心
palliation n．减轻，缓和
manipulative adj．操纵别人的，老于世故的
harpsichord n．键琴（钢琴前身）
preclude v．避免,排除
roe n．鱼卵
rambunctious adj．喧闹的，放纵的
amortize v．分期偿还
