astigmatism n．散光
fulminate v．猛烈抨击，严厉谴责
choppy adj.波涛汹涌的
rudder n．船舵,领导者
antecedence n．居先，在先
potpourri n．混杂,杂文集,
choir n．(教堂的)歌唱队
overrule v．（高位的人）不准，否决（低位的人或事）
murmur v．柔声地说，喃喃而言
table v．搁置，不加考虑
stouthearted adj．勇敢的
erode v．腐蚀,侵蚀
discomposure n．失态，慌张
resurrect v．使复活，挖出
malcontent n．不满分子，反抗者
cavil v．挑毛病，吹毛求疵
nunnery n．女修道院，尼姑庵
internment n．拘禁
rebate n．折扣，回扣
burrow n．（兔子等）所掘的地洞，v．挖洞
inebriate v．使醉，n．酒鬼，酒徒
circumscribe v.限制
reverberate v．起回声，反响
irk v．使苦恼，厌烦．
despotism n．专制，暴政
gilded adj．镀金的，富有的
definition n．（轮廓等）清晰，定义
grasping adj．贪心的，贪婪的
fell n．兽皮，v．砍伐
panic n．恐慌，惊惶
haggard adj．憔悴的，消瘦的
mandate n．命令，指令，v．批准
gesticulate v．做手势表达
fluctuate v．波动，变化
cow v.恐吓，吓倒
treatise n．论文
engender v．产生，引起
hirsute adj．多毛的
sack n．粗布袋，v．劫掠，掠夺
impromptu adj．即席的，即兴的
emancipate v.解放,解除
coup n.出乎意料的行动，政变
shimmer v．闪烁，微微发亮
expostulate v．(对人或行为的)抗议，告诫
revoke v．废除，取消
feminist n．女权运动者
roe n．鱼卵
enjoin v．命令，吩咐
unexampled adj．空前的，无前
stanch v．制止（血液），止住
lancinate v．刺、戳
emerald n．祖母绿,翡翠adj.翠绿色的
pithy adj．(讲话或文章)简练的
melodrama n．情节剧，音乐戏剧
patch n．补丁，一小片（土地）
rifle n．步枪，v．洗劫，抢劫．
orthodontics n．畸齿矫正学
treachery n．阴险，背叛
pesticide n．杀虫剂
anticipatory adj预期的
avaricious a.贪婪的,贪心的
stratum n．地层，社会阶层
crossfire n．交叉火力
median adj．中间的，n．（三角形）中线
puissance n．权力
washout n.冲刷，失败
revile v．辱骂，恶言相问
tussle n．v．扭打，搏斗，争辩
quiver n．箭筒，箭囊
hunk n．大块（食物）
veer v．转向，改变（话题等）
terpsichorean adj．舞蹈的
idiocy n．愚蠢
tenacious adj．坚忍不拔的，固执的
blare v．高声鸣叫
pigment n．天然色素，干粉颜料
sequacious adj．前后一贯的，盲从的
cession n．割让，转让
executioner n.刽子手
prevision n．先见,预感
groom n马夫，新郎
prerogative n．特权
marquetry n.镶嵌细工
seep v．（液体等）渗漏
chiromancy n．手相术
equilibrium n．平衡
admonish v．训诫，警告
comely adj.动人的，美丽的
foment v．煽动，助长（坏事）
pod n．豆荚,v．剥掉(豆荚)
overwrought adj．紧张过度的，兴奋过度的
disinclined adj．不愿的
atrophy n.v.萎缩,衰退
veracious adj．诚实的，说真话的
staid adj．稳重的，沉着的
restrain v．克制，抑制
hefty adj.强壮的，笨重的
reciprocate v．答谢，回报
pirouette n．v(舞蹈)脚尖立地的旋转
contiguity n．邻近，接壤
distillation n．蒸馏
glut v．n．供过于求，过多
diminuendo n．（音乐）渐弱
minaret n．叫拜楼（伊斯兰教寺院的尖塔）
charisma n．（大众爱戴的）领袖气质，魅力
refurbish v．刷新，擦亮
saga n．英勇故事，长篇小说
wallow v．n．（猪等）在泥水中打滚，沉溺于
alleviate v．缓和，减轻
fascinate v．迷惑,迷住
gloss n．光泽，注解
chevron n.军警袖章，V形图案
preponderance n．优势,多数
press v．挤压
denigrate v．污蔑，诽谤
medley n．混杂
carnation n．康乃馨（一种花）
tuxedo n．礼服，无尾礼服
bore v．n．钻孔，令人厌烦的人
wean n．断奶，戒掉
spurious adj．假的，伪造的
magnetism n．磁性，吸引力
submission n．服从，恭顺
pliers n．钳子
skimpy adj．吝啬的，贫乏的
virtuoso n．演艺精湛的人，大师
mycology n.真菌学
colt n.小雄驹
touchy adj．敏感的，易发脾气的
tangent n．切线
projectile n．抛射物,发射体
chubby adj.圆胖的，丰满的
cataclysm n．剧变，灾难（常指大洪水或地震）
annul v．宣告无效，取消
pending adj．即将发生的，未决的
appendage n．附加物
caste n．社会等级，等级
divest (of)v．卸下盛装，剥夺
libation n．奠酒（给神献酒），饮酒
filigree n．金银丝做的工艺品
auger n.螺丝钻,钻孔机
scabrous adj．粗糙的
eloquence n.雄辩，口才
lark n．玩笑，嬉耍
jumbo adj.巨大的，特大的(
discompose v．使失态，慌张
kerfuffle n.混乱，动乱
havoc n．大破坏，混乱
agreement n．一致，协议
gleaner n．拾落穗的人
mists n．史前时代
medieval adj．中世纪的，中古的
lunatic n．疯子，adj．极蠢的
kangaroo n．袋鼠
chivalry n.骑士制度
rumpus n.吵闹，喧闹
mordant adj．讥讽的，尖酸的
savage adj．凶猛的，野蛮的
demean v．贬抑，降低
gristle n.软骨结构，软骨
stratify 　v．（使）层化
expressly adv．清楚地,特意地
costume n．服装，剧装
mast n．船桅，旗杆
writ n．命令状，书面命令
complaisant adj.顺从的，讨好的
gargantuan adj．巨大的，庞大的
limber adj．（肌肉）松软的，柔软的
nonplus v．使窘困，狼狈不堪
preamble n．前言,序言
miller n．磨坊主人
regulate v．管制，调整
edict n．法令、命令
regulate v．管制，调整
juxtaposition n．并排
chink n.隙缝，裂口，n.v.丁当作响
repeal v．废除（法律）
titillate v.使觉得痒，使……兴奋
aluminium n．铝
cleavage n.裂缝，分裂
dome n．圆屋顶
conjure v．请求，祈求
pigsty n．猪圈
pleat n．(衣服上的)褶
repine v．不满，心中抱怨
shackle n．脚镣，枷锁
jolly adj．欢乐的，快乐的
austere adj.朴素的,(人)正经的
arthritis n关节炎
bully v．欺负，威协
extricate v．拯救，救出
extant adj．现存的，传世的
limbo n．不稳定，中间状态
estuary n.河口,三角湾
insolvent adj．无钱还债的
blockade n．v．封锁
stanza n．（诗）节，段
ream n．令（纸张的张数单位）
bravado n．故作勇敢，逞能
unscrupulous adj．肆无忌惮的，无天理的
whimper v．悲嗥，鸣咽
adorn v．装饰
generic adj．种类的、类属的
concurrent adj．同时发生的，一致的
facile adj．容易做的,肤浅的
intrigue v．密谋，引起极大兴趣
pleonastic adj．赘语的,噜嗦的
slab n．厚板，厚块
necessitous adj．贫困的，急需的
gall n．胆汁（bile），怨恨（hatred）
credulity n．轻信，易信
pretence n虚伪,借口
engross v．全神贯注于
reserve n．谨慎，话语不多，储备．
liquor n酒精饮料
introspective adj．反省的
immense adj．极大的，无限的
odious adj．可憎的，讨厌的
sphagnum n.冰苔，水藓
alley n．小巷，小径
chandelier n．枝形吊灯（烛台）
glamorous adj．迷人的，富有魅力的
parquetry n．镶木地板艺术或图案
rustic adj．乡村的，乡土气的
abnegation n．克己，自制
sinecure n．挂名差事，闲职
heterodoxy n．异端邪说
grim adj．冷酷的，可怕的
typhoid n.伤寒症
imbecile n．心智能力极低的人
astute adj.机敏的,精明的
appeasement n．平息，满足
trumpery adj．中看不中用的，无价值的
feminist n．女权运动者
reverent adj．恭敬的，虔诚的．
inscrutable adj．高深莫测的，神秘的
rebuke v．指责，谴责
sobriety n．节制，清醒
colossal adj.巨大的，庞大的
banter n.v.嘲弄，戏谑
nunnery n．女修道院，尼姑庵
metaphor n．隐喻，暗喻
osseous adj．骨的，多骨的
footle v．胡闹，浪费（时间）
polyglot n．adj．通晓多种语言的(人)
trophy n．奖品，战利品
equine adj．马的,似马的
presenter n．主持人
bully v．欺负，威协
intuitive adj．有直觉力的，直觉到的
expend v.花费,用光
maelstrom n．大漩涡，灾祸
compile v.汇集，编辑
mutilate v．残害，切断
icing n．糖衣，糖霜
ineffaceable adj．抹不掉的，不能消除的
wrath n．愤怒，大怒
wince v．避开，畏缩
emissary n．密使，特使
licit adj．不禁止的，合法的
epitaph n．墓志铭
sport v．炫耀，卖弄
indignation n．愤慨
symbiosis n共生，共栖
complaisance n.迁就，奉承
propitiatory adj．讨好的,调解的
tawdry adj．低级的，俗的而不值钱的
temerity n．鲁莽，大胆
fabulous adj．难以置信的，寓言里的
apathy n．漠然，冷淡
period n．句号
aegis n.保护，庇护
monopoly n．专利权，垄断
crunch n.关键时刻，危境
skulduggery n．舞弊，作假
indiscreet adj．不谨慎的，无礼的
affectionate adj．挚爱的
dredge v．用挖泥机疏浚，疏通
reverie n．幻想，梦幻曲
monsoon n．季雨，季风，大雨
auction n.拍卖
eccentric adj．古怪的，反常的
cow v.恐吓，吓倒
inexplicable adj．无法解释的，难理解的
malice n．恶意
onerous adj．繁重的、麻烦的
prorogation n.休会
comprehensive adj．全面的，综合的
shiftless adj．没有决断力的，偷懒的
travelogue n．旅行见闻，游
ambush n.v.埋伏，伏击
tycoon n．有钱有势的企业家，大亨
potation n．畅饮,饮料
arboretum n．植物园
fortuitous adj．偶然的，意外的
odious adj．可憎的，讨厌的
verisimilitude n．逼真，可能性
erotic adj．性爱的，色情的(作品)
apostasy n．背教，脱党
obsolete adj．废弃的，过时的
