preen v．整理羽毛,(人)打扮修饰
capacious adj．容量大的，宽敞的，
mogul n．显要人物，权势之人
unstudied adj．不造作的，优雅的
erudition n．博学
hurdle n．跳栏，障碍
cringe v．畏缩，谄媚，奉承
reproduction n．生殖，复制
stale adj．不新鲜的，陈腐的
exorcism n.驱鬼,伏魔
polemic n．争论,论战
collateral adj.平行的，旁系的
aphasia n．失语症
allude v．间接提到，暗指
infuriate v．使（人）极为愤怒
mildew n．霉（因温湿而生）
clapper n.铃舌，响板
periphrasis n.绕语，迂回的话
hedge n．修剪过的树篱，限制
numinous adj．庄严的，神圣的
immoderate adj．无节制的，过度的
congenial adj．意气相投的，宜人的
sequacious adj．前后一贯的，盲从的
maddening adj．使人恼火的，令人气恼的
hack v．乱劈，乱砍，n．驽马
executive n.经理,行政人员
stint 　v．吝惜，节省
turmoil n．混乱，骚乱
idol n．神像、偶像
economize v．节省（钱、时间等）
tantamount adj．与…相等的
negation n．取消
servile adj．奴性的，百依百顺的
sagacity n．聪慧，洞察力
anarchic adj．无政府的
intransigent adj．不妥协的，固执的
acne n.粉刺
employ v．雇用,使用
discriminating adj．有辨别能力的
reverse n．反面，相反，v．倒车，反转
herald n．传令官，预示
inscription n．铭刻，题献
blasphemy n．亵渎，渎神
gourmand n．嗜食者
opprobrium n．恶名声，侮辱
aegis n.保护，庇护
inimitable adj．无法仿效的，不可比拟的
psalm n．赞美诗,圣诗
connotative adj．有含意的，暗示的
probing adj．好探索的,尖锐的
full-fledged adj．羽毛丰满的，成熟的
ineligible adj．没有资格的
infringe v．违反，侵害
locale n．事件发生的现场、地点
jargon n．行话
resplendence n．灿烂，辉煌
ligneous adj．木质的，木头的
ingress n．进入
beat v.心跳,搅拌
lynch v．私刑处死
neologism n．新字，新义
acrimony n．尖刻，刻薄
hortative adj．激励的
canon n．经典，真作
prudish adj．过分守礼的，假道学的
recusant adj.不服从规章的
misanthrope n．愤世嫉俗者
mandate n．命令，指令，v．批准
flay v．剥皮，诈取，严厉指责
relevance n．相关
amiable adj．和蔼的，亲切的
appendage n．附加物
providence n．深谋远虑,远见
onlooker n．旁观者
ponder v．仔细考虑
grandstand n.正面看台，哗众取宠的表演
gaze v．n．凝视，注视
foil n．钝剑，箔，锡箔纸
hospitality n．好客，殷勤
impotent adj．无能的
banister n.(楼梯的)栏杆
gallant adj．勇敢的，（向女人）献殷勤的
greenhouse n．花房，温室
surrogate n．代替品，代理人
reminiscence n．回想，追忆，（复）回忆录
procreate v．生育
febrile adj．发烧的，热病的
pal n．伙伴，好朋友，v．交友
decry v．责难，贬低（价值）
reputable adj名誉好的，有声望的
reverence n．崇敬，敬礼
consign v．托运，托人看管
quixotic adj．不切实际的，空想的
deleterious adj．（对身心）有害的，有毒的
orotund adj．（声音）宏亮的，说大话的
censorship n．检查（制度）
implacable adj．难以满足的、难平息的
roundabout adj．绕远道的，转弯抹角的
mote n．微粒，微尘
pastiche n.(音乐等)混合作品
aromatic adj．芳香的
quack n．冒充内行之人，庸医
rack v.折磨，使痛苦
glib adj．流利圆滑的，善辩的
flicker v．闪烁，摇曳
monologue n．独白，个人长篇演说
hangar n．飞机库
whine v．哀号，号哭
hormone n．荷尔蒙，激素
epitaph n．墓志铭
maestro n．音乐大师
shoal n．浅滩、浅水处，一群（鱼）
corpuscle n．血球，细胞
schooner n.大酒杯，大篷车
prologue n．开场白,序幕
fraudulent adj．欺骗的，不诚实的
nirvana n．心灵的平静，解脱
singe v．（轻微地）烧焦，烫焦
toxic adj．有毒的，中毒的
coffer n.保险箱
subservient 　adj．恭顺的
solvency n．溶解力，还债能力
truculence n．凶猛，粗暴
generate v．造成，产生
brook n．小河
pummel v．(用拳)接连地打,打击
recluse n．隐士v．隐居
dart n．飞镖，v．急驰，投射
filial adj．子女的
prudery n．过分守礼,假正经
latency n．潜伏期
linguistics n．语言学
perigee n．近地点
hosepipe n．水管v．以水管浇洗
frisky adj．活泼的，快活的
menace v．n．威胁，危险
expurgate v．净化，删去
scoff v．狼吞虎咽
list v．n．倾斜
fencing n．剑术，击剑法
hirsute adj．多毛的
inflated adj．充气的，骄傲的
submission n．服从，恭顺
cant n．隐语，术语
abysmal adj．极深的，糟透的
opprobrious adj．辱骂的，恶名声的
militant adj．好战的，好暴力的
neophyte n．初学者，新手
cheetah n．猎豹
deft adj．灵巧的，熟练的（a　deft　hand能手）
promulgate v．颁布,传播
jinx n.不祥的人(或物)
sack n．粗布袋，v．劫掠，掠夺
abode n．住处，住所
antithesis n．对立，相对
acquisitive adj．贪得的，物欲重的
addictive adj．（毒品等）使人上瘾的
disinclined adj．不愿的
hymn n．赞美诗
ebullience n．兴高采烈，兴冲冲
seamy adj．黑暗的、恶劣的
castigation n．申斥，强烈反对
sticky adj．粘的，不慷慨的
mimic v．模仿，戏弄，n．模仿他人言行的人
metaphor n．隐喻，暗喻
bodyguard n．保镖，侍卫
ardor n．热情，狂热
insularity n．心胸狭窄
antibiotic n．抗生素，adj．抗菌的
vengeance n．报仇，报复
bawl v.大叫,大喊
nunnery n．女修道院，尼姑庵
reincarnation n．化身，转世的生命
miscellaneous adj．多种的，混杂的
