antediluvian adj．史前的，陈旧的
paganism n．异教（信仰）
lapse n．失误，（时间等）流逝
adorn v．装饰
seine n．拉网，大捕鱼网
repose v．躺着休息，安睡
fascia n．饰带，(商店上挂的)招牌
chase v．雕镂，追捕
sere adj．干枯的，凋萎的
perception n．洞察力，理解力
cannibal n．食人者，食同类的动物
scared adj．害怕的，恐惧的
impeccable adj．无瑕疵的
hoist v．吊高，升起。n．起重机
obdurate adj．固执的，顽固的
percussion n．撞击，敲击
corpulence n．肥胖，臃肿
repulsive adj．令人厌恶的，驱逐的
immoral adj．不道德的，淫荡的
scraggy adj.瘦而多骨的
maelstrom n．大漩涡，灾祸
costume n．服装，剧装
shoddy n．劣质的，冒充好货的
apostasy n．背教，脱党
onus n．义务，责任
auricular adj.耳的
imperative adj．急需的，必要的
spasmodic adj．痉挛的，间歇性的
reptilian adj爬虫类的，卑下的
hyena n．土狼，鬣狗
pique n．v（因自尊心受伤害而导致的)不悦、愤怒
derangement n．精神错乱
parch v．烘烤，干热
splinter n．尖片，裂片
declination n．倾斜，衰微
censorship n．检查（制度）
gale n．狂风，一阵（笑声）
apprehension n．焦虑，担忧
scour v．擦洗，擦亮
puerility n．稚气,幼稚
movement n．（交响乐）乐章
respecter n．趋炎附势者，尊敬者
pawnbroker n．典当商，当铺老板
ulterior adj．较晚的，较远的，不可告人的
scheme n．阴谋，（作品等）体系，结构
requisition n．要求，请求
dyspepsia n．消化不良（
approximate adj．大约的，估计的
judicial adj．法庭的，法官的
barometer n.气压计,晴雨表
sumptuous adj.奢侈的，华丽的
novocaine n．奴佛卜因（一种麻醉药）
inimical adj．为敌的，不友善的
replenish v．补充，再装满
testify v．见证，证实
pullulate v．繁殖,剧增
gnawing adj．痛苦的，折磨人的
silt n．淤泥、淤沙
trice n.瞬间，顷刻
presage n．预感,不祥感v．预示
plumule n.(植)胚芽，(鸟)绒羽
shoal n．浅滩、浅水处，一群（鱼）
expatriate v.驱逐出国,脱离国籍
horticulture n．园艺学
dormant adj．冬眠的，静止的
varnish n．清漆，v．涂上清漆
ersatz adj．代用的,假的
aperture n．孔隙，窄的缺口
solvent adj．有偿债能力的，n．溶剂
centripetal adj．向心的
prelude n．序幕,前奏
ancillary adj．辅助的，n．助手
recess n．壁凹（墙上装架子，柜子等凹处），休假
tenacious adj．坚忍不拔的，固执的
enlightenment n.教化，启蒙
iodine n．碘，碘酒
synonymous adj．同义的
ominous adj．预兆的、不祥的
scruple n．v．顾忌、迟疑
cytology n．细胞学
rekindle v．重新点燃
dune n．沙丘
adduce v．给予（理由），举出
fulminate v．猛烈抨击，严厉谴责
sidesplitting adj．令人捧腹大笑的
mannequin n．时装模特儿，假人
playwright n．剧作家
garnish v．装饰（于食品上）
merchandise n．商品，货品
accelerate v．加速，催促
sketchy adj．概略的，粗略的
pantry n．食品室
wreckage n．残骸，碎片
assured adj．自信的，确定的
perfunctory adj．草率的，敷衍的
teat n．奶嘴，奶头
amateurish adj．业余爱好的，不熟练的
caper v．n．雀跃，欢蹦
acquaintance n．熟知，熟人
traduce v．中伤，诽谤
soil v．n．弄脏，污损
poniard n．匕首,短剑
soak v．浸泡，渗透
mere n．小湖
necessitous adj．贫困的，急需的
reproof n．斥责，责备
gneiss n．片麻岩（一种艰硬的岩石）
prophylactic adj．预防疾病的
proctor n．代理人,学监
outre adj.奇怪的，荒诞的
flex v．弯曲
broil v.烤，烧
extrovert n．性格外向者
neonate n．初生婴儿
barren adj.不孕的,贫瘠的
otherworldly adj.超脱尘世的，超俗的
scuttle v．急赶、疾走，逃辟
nonflammable adj．不易燃的
spat n．口角，小争论
intersect v．横截,横断
aggrieved adj．（因受伤害而）愤愤不平的，痛心的
incurable adj．无可救药的
mawkish adj．自作多情的，令人作呕的
supersede v．淘汰，取代
impostor n．冒充者，骗子
familiarity n．精通,亲近,不拘礼仪
obviate v．排除（困难）
entreat v．恳求
admonish v．训诫，警告
anarchy n．无政府，混乱
progeny n．后代,子女
gnaw v．啃，咬
