agronomist n．农学家
roguish adj．捣蛋的，无赖的
roost v．n．栖息，鸟巢
archetype n．原型，典型
groveler n．乞怜者．
porous adj．可渗透的,多孔的
informer n．告发者，告密者
sangfroid n．沉着，临危不惧
legislate v．制定法律
forbearing adj．忍耐的，宽容的
adobe n．泥砖，土坯
choppy adj.波涛汹涌的
redound v.提高，增加
clemency n.仁慈，(气候)温和
feasible adj．可行的，可能的
etch v.蚀刻,铭刻
paralysis n．瘫痪，中风
noncommittal adj．态度暖昧的，含糊的
lurch n．突然向前或旁边倒v．蹒跚而行
cloy n.(吃甜食)生腻，吃腻
meretricious adj．华而不实的，俗艳的
calamitous adj．造成灾祸的
repent v．懊悔，后悔
dispassionate adj．平心静气的
plethora n．过量,过剩
obliterate v．涂掉，擦掉
founder v．（船）沉没，（计划）失败
calcify v．使硬化，钙化
vicious adj．残酷的，危险的
equity n．公平，公正
eloquence n.雄辩，口才
abrasion n．表面磨损
douse v．把…浸入水中，用水泼
pirouette n．v(舞蹈)脚尖立地的旋转
prosody n．诗体学,韵律学
arson n．纵火、放火
intervene v．介入,干涉
proceeds n．收入
purloin v．偷窃
yoke n．轭，v．控制，束缚
vilify v．辱骂，诽谤
fantasia n．幻想曲,组合乐曲
compere n.节目主持人，司仪，v.主持(节目)
prelude n．序幕,前奏
rave n．热切赞扬，倾倒
clam n.蛤，蚶
hew v．砍伐
confide v．吐露（心事）
promenade n．v．散步,开车兜风
cubicle n.寝室，小卧室
disbursement n．支出，开支
glade n．林中的空地
medieval adj．中世纪的，中古的
timber n．木材，（人）品质，素质
lash n．鞭子，鞭打
slumberous adj．昏昏欲睡的
persecute v．迫害，不断困扰
inducement n．引诱物
reliance n．信赖，信任
hedge n．修剪过的树篱，限制
plebeian n．adj．平民,平民的
collusion n.勾结，串通
obfuscate v．使困惑，使迷惑
peak v．憔悴，消瘦
transitory adj．短暂的，＝transient
even-tempered adj.性情平和的,不易生气的
predestine v．注定
collation n.校勘，整理
aspirant n．有抱负者
compliant adj.服从的，顺从的
reclaim v．纠正，开垦（土地）
fanfare n．夸耀,嘹亮的喇叭声
espouse v．支持，拥护
