visage n．脸，面貌
meteoric adj．流星的，昙花一现的
overwhelming adj．巨大的，压倒性的
guzzle v．大吃大喝
redress v．n．改正，修正
captious adj．吹毛求疵的
convoy v．护航，护送
cyclone n．旋风，飓风
lido n．浴场，公共游泳池
proletarian n．adj．无产阶级(的)
deadlock n．相持不下，僵局
apathetic adj．冷漠的，无动于衷的
secular adj．世俗的、尘世的
embolden v.给……壮胆，鼓励
vitriolic adj．刻薄的，强烈的
solace n．安慰．慰藉
tamp v．捣实，砸实
cosset v.宠爱，娇养
impair v．损害，使弱
hurricane n．飓风
grouse n．松鸡v．牢骚，诉苦
carapace n．（蟹或龟等的）甲壳
implore v．哀求，恳求
smirch v．玷污，n．污点
sonata n．奏鸣曲
spleenish adj．脾气坏的，易怒的
filings n．锉屑
iniquity n．邪恶，不公正
wince v．避开，畏缩
meteoric adj．流星的，昙花一现的
unscrupulous adj．肆无忌惮的，无天理的
inflated adj．充气的，骄傲的
scaffold n．脚手架（造房时搭的架子）
flummox v.使混乱，背诵出错
muffle v．使声音降低，裹住
niggard n．吝啬鬼
quintessence n．典型，完美的榜样，精华
spleenish adj．脾气坏的，易怒的
duet n．二重唱
disgorge v．呕出，（水）流走
onerous adj．繁重的、麻烦的
cryptogram n．暗号，密码
baste v.倒脂油于(烤肉上,以防烤干)
hyperbole n．夸张法
reflect v．反射，仔细考虑
phrase n．警句，乐句，短语
nestling n．尚未离巢的小鸟
emerge v．出现，露出
equity n．公平，公正
abrogate v．废止，废除
stratum n．地层，社会阶层
declassify v．撤销保密
quixotic adj．不切实际的，空想的
inspired adj．有创见的，有灵感的
projectile n．抛射物,发射体
patchwork n.拼缝物
pabulum n．食物，精神食粮
obstruction n．阻挠，障碍物
placate v．抚慰,平息(愤怒)
flag v．衰退，枯萎
clarification n.解释，澄清
equitation n．骑术
mores n．风俗习惯，道德观念
austere adj.朴素的,(人)正经的
debauchery n．放荡，沉缅酒色
panic n．恐慌，惊惶
scripture n．经文，圣典
midget n．侏儒，极小者
recreant n．懦夫，叛徒adj．胆怯的
reshuffle v．再洗牌，改组
counterfeit v．伪造，仿造
charlatan n．江湖郎中，骗子
suffice v．足够，（食物）满足
compromise v．妥协，危害（
fetid adj．（水等）有恶臭的
spinney n.小树林
fauna n．动物区系
cajole v．（以甜言蜜语）哄骗
reflect v．反射，仔细考虑
deputy n．代理人，代表，副警长
quiescent adj．不动的，静止的
splendid adj．壮观的，极好的
vulgar adj．无教养的，下流的
crudity n．粗糙，粗野
nauseate v．使作呕，使厌恶
scrape v．刮擦、擦掉
moralist n．道德学家，卫道士
profligate adj．挥金如土的,n．挥霍者
entangle v．使纠缠，卷入
peregrination n．游历（尤指在国外）
hitch v．搭便车，套住
knotty adj．有节疤的，困难的
circumscribe v.限制
domesticity n．（喜欢）家庭生活
whine v．哀号，号哭
immure v．监禁
expendable adj.可耗尽的,可牺牲的
upheaval n．动乱，大变动
pachyderm n．厚皮动物，厚脸皮的人
elusive adj.难懂的
truncate v．把（某物）截短，去尾
waffle v.胡扯，含糊其辞
razzle n.狂欢聚会
foreclose v．排除，取消抵押品的赎回权
anvil n．铁砧
regent n．摄政者（代国王统治者）
incubation n．孵卵期，潜伏期
barren adj.不孕的,贫瘠的
timorous adj．胆小的，胆怯的
effervesce v．冒泡，热情洋溢
hurdle n．跳栏，障碍
muniments n．契据，房契
privilege n．特权,利益
disbarment n．取消律师资格
cistern n.(抽水马桶的)贮水池
yacht n．帆船，游艇
tender v．提出（希望对方接受的意见等）
beater n.搅拌器
fuss n．大惊小怪，过份照顾
chauvinism n．沙文主义，盲目爱国主义
exhibitionist n.喜欢出风头的人
igneous adj．火的，火绒的
harmonize v．使调和，使一致
sinew n．腱，力量，精力
puerile adj．幼稚的，儿童的
psychiatric adj．精神病的
liberated adj．无拘束的，放纵的
obligatory adj．强制性的，义务的
motto n．座右铭，箴言
wanderlust n．漫游癖，旅游热
insane adj．疯狂的
mope v．n．抑郁不乐，生闷气
tribulation n．苦难，灾难
loll v．懒洋洋地坐或卧
lassitude n．无力，没精打采
toy v．不认真考虑，玩弄
smirk v．假笑，得意地笑
fairyland n．仙境
coterminous adj．毗连的，有共同边界的
throng n．一大群，v．拥挤
protagonist n．提倡者,支持者
skimp v．节省花费，吝啬
hard-nosed adj.顽固的
galaxy n．（银河）星群，显赫的人群．
impart v．传授，告知
pastiche n.(音乐等)混合作品
dexterity n．纯熟、灵巧
delete v．删除
mists n．史前时代
tendentious adj．有偏见的，有倾向的
repossess v．取回，收复
rubble n．（一堆）碎石，瓦砾
jubilant adj．喜悦的，欢呼的
missile n．投射出的物体或武器，导弹
counterfeit v．伪造，仿造
unscrupulous adj．肆无忌惮的，无天理的
psychosis n．精神病,变态心理
primeval n．原始的,早期的
cult n．宗派，崇拜
impassioned adj．慷慨激昂的
ontology n．实体论，本体论
ensign n．舰旗(船上表示所属国家的旗帜)
coop n．（鸡、）笼、栏
plateau n．高原，平稳的状态
ductile adj．易拉长的，易变形的，可塑的
mournful adj．悲伤的
palliation n．减轻，缓和
reflection n．反射
bolted adj．脱离的
demesne n.领地，范围
pacifier n．调停者，和解人
chromosome n．染色体
absurd adj．荒谬的，可笑的
composite adj．拼凑成的，混合成的
acquaintance n．熟知，熟人
internment n．拘禁
tinge v.给……染色
marquetry n.镶嵌细工
gerontology n．老人病学
imprint v．盖印，刻印
appendage n．附加物
anthology n．诗集，文选
tedium n．单调乏味
renowned adj．著名的
auricular adj.耳的
portentous adj．凶兆的,有危险的
inculcate v．灌输，谆谆教诲
entreaty n．恳求,哀求
dislodge v．逐出，取出
sterile adj．不孕的，无细菌的
effeminate adj．柔弱的，缺乏勇气的
pharmacology n．药理学，药物学
epidermis n．表皮，外皮
mast n．船桅，旗杆
recuperate v．恢复（健康），复原
pollinate v．给……授粉
delete v．删除
clemency n.仁慈，(气候)温和
modulate v．调整（音的强弱），变调
manikin n.侏儒，时装模特儿
rudimentary adj．初步的，未充分发展的
lattice n．（做篱笆或爬藤架等的）格子架
buggy n．轻型马车，婴儿车
agglomerate v．凝聚，结块
cerebrum n．大脑
emerge v．出现，露出
weird adj．古怪的，荒唐的
firefly n．萤火虫
loot n．掠夺品，v．掠夺
speculation n．思索，推测，投机
solvent adj．有偿债能力的，n．溶剂
otiose adj．不必要的，多余的
perishing adj．严寒的
horizon n．地平线，（思想之）眼界
emerge v．出现，露出
cavalier n．骑士，武士
singularity n．卓越，奇异
carol n．赞美诗，颂歌
lark n．玩笑，嬉耍
toxin n．毒素，毒质
enrapture v．使狂喜,使高兴
addictive adj．（毒品等）使人上瘾的
substantiate v证实，确证
solvency n．溶解力，还债能力
noncommittal adj．态度暖昧的，含糊的
hospitality n．好客，殷勤
disintegrate v．分裂成小片，瓦解
libation n．奠酒（给神献酒），饮酒
firefly n．萤火虫
amenable adj．愿服从的，通情达理的
texture n．质地，结构
pelagic a.远洋的
