tremendous adj．惊人的，巨大的
tornado n．飓风，龙卷风
demolition n．破坏，拆除
limousine n．轿车，小客车
importune v．强求，不断请求
appeal v．恳求，吸引
mannequin n．时装模特儿，假人
stanza n．（诗）节，段
blandishments n．甘言劝诱
impetus n．推动力，刺激
insider n．局内人，圈内人
hypothetical adj．假说的，臆说的
prolific adj．多产的,多结果的
ineptitude n．无能，不称职
tangent n．切线
phantasmal adj．幻影的，幽灵一样的
observance n．遵守，奉行（法律，习俗）
loom n．织布机，v．隐约出现
faddish adj．流行一时的,时尚的
arcane adj．神秘的，秘密的．
pharmacology n．药理学，药物学
perceive v．察觉，发觉
bleachers n．（球场的）露天座位
cypress n．柏树
emerge v．出现，露出
subpoena n．（法律）传票，v．传讯
nostrum n．秘方药，万灵丹
pejorative adj．带有轻蔑意义的，贬低的
recurrence adj．重现，反覆
pugnacious adj．好斗的
commodious adj.宽敞的
grill v．烤，烤问，n．烤架
deflect v．偏离，转向
antediluvian adj．史前的，陈旧的
minion n．奴才，低三下四之人
revocable adj．可废除的
irreconcilable adj．不能妥协的，不能和解的（
fascination n．魅力,娇媚
internecine adj．内讧的,两败俱伤的
shoddy n．劣质的，冒充好货的
calumny n．诽谤，中伤
pother n.烦恼，喧闹
subsidiary adj．辅助的，次要的
obstinate adj．固执的，倔强的
empirical adj．经验的、实证的
impertinent adj．不恰当的，粗鲁的
inquietude n．焦虑，不安
candela n.烛光(发光强度单位)
bawdy adj.淫猥的、下流的
jinx n.不祥的人(或物)
altercation n．争吵，争论
monasticism n．修道生活，禁欲主义
hepatitis n．肝炎
eavesdrop v．偷听，窃听
appreciable adj．明显的，重要的
impassive adj．无动于衷的，冷漠的
jibe v．与…一致，符合
pitcher n．有柄水罐
insert v．插入
subvert v．颠覆，推翻
lechery n．好色，纵欲
helot n．奴隶，受人轻视之人
ogreish adj.魔鬼的，丑怪的
insular adj．岛屿的，心胸狭窄的
endorsement n．背书,赞同
diaphanous adj．（布）精致的，半透明的
waddle v．（鸭子等）摇摇摆摆地走
hypersensitive adj．过份敏感的
drabness n．乏味
preposterous adj．荒谬的,可笑的
credulous adj．轻信的，易信的
resemblance n．相似，相像
respiration n．呼吸
anguished adj．很痛苦的
integrate v．使成整体
horn n．（牛羊之）角，号角
auxiliary adj.辅助的,协助的
flummery n.假恭维
armada n．舰队
heckle v．诘问，困扰
corrugation n．波浪形状，起皱纹
levy v．n．征税、征兵
refute v．驳斥
perfidy n．不忠，背叛
avowal n.公开承认
delinquency n．失职，罪行
leer v．斜眼看，睨视
prelude n．序幕,前奏
coy adj．腼腆的，忸怩的
mawkish adj．自作多情的，令人作呕的
penitentiary n．监狱，感化院
incivility n．无礼，粗鲁
precipice n．悬崖
dart n．飞镖，v．急驰，投射
diffusion n．传播，散布
disparage v．贬抑，轻蔑
cant n．隐语，术语
indent v．切割成锯齿状
supposition n．猜想，推测
flaggy adj．枯萎的，松软无力的
corona n．日冕（月球经过太阳前面时，太阳外围呈现的光环），冠（状物）
commencement n.开始，(大学的)毕业典礼
cathode n.(电)阴极，负极
margarine n．人造黄油
brute n．野兽，兽性
rudimentary adj．初步的，未充分发展的
sonorous adj．（声音）宏亮的
repertoire n．（剧团等）常备剧目
