predestine v．注定
warmonger n．好战者，战争贩子
stout adj．肥胖的，强壮的
relapse n．v．旧病复发，再恶化
treason n．叛国罪
terrace n．一层梯田，阳台
compliant adj.服从的，顺从的
propitious adj．吉利的,顺利的
pugnacity n．好斗性
gust n．阵风，一阵（情绪）
homograph n．同形异义字
beefy adj.强壮的，结实的
comatose adj.昏迷的
pensive adj．沉思的，愁眉苦脸的
internment n．拘禁
panache n.夸耀，炫耀
villein n.农奴
pretentious adj．做作的,自抬身价的
lax adj．懒散的，松弛的
intact adj．完整的,未动过的
respective adj．个别的，各自的
provisions n．粮食,食品
corrugate v．（使）起波浪形，起皱纹
otherworldly adj.超脱尘世的，超俗的
simulated adj．伪装的，模仿的
forestall v．先发制人，预先阻止
jerk n.v．猛然一拉
entomology n．昆虫学
enshrine v．奉为神圣,珍藏
gulp v．吞食，咽下
baleful adj.邪恶的,恶意的
omen n．征兆、预兆
fastidious adj．难取悦的,挑剔的
taint n．v．玷污，败坏
norm n．规范，准则
hallow v．把…视为神圣，尊敬
forte n．长处，擅长，adj．（音乐）强音的
languid adj．没精打采的，怠倦的
forsake v．遗弃，放弃
flora n．（某地区或时代的）植物群
fawn n．未满周岁的小鹿,v.巴结,奉承
exhibitionism n.风头主义
pulchritude n．美丽
fictitious adj．假的、虚构的
underplay v.轻描淡写，表演不充分
testament n．遗嘱，证明
fastness n．要塞,城堡,坚固
scathing n.苛刻的,严厉的
pyre n．火葬柴堆
pother n.烦恼，喧闹
intrinsic adj．固有的，内在的
therapeutic adj．治病的
lunatic n．疯子，adj．极蠢的
epigrammatic adj．警句的
splinter n．尖片，裂片
contumelious adj．无礼的，傲慢的
vertigo n．眩晕（
snazzy adj.时髦的，华丽而俗气的
pantomime n．哑剧
curator （博物馆等）馆长
consignment n．托运，寄售
mannequin n．时装模特儿，假人
enchanting adj．讨人喜欢的
fleece n．生羊皮，羊毛
self-assertion n．坚持己见，自信
excel v.善于,擅长于
caterpillar n．毛虫，蝴蝶的幼虫
ethnography n.人种学，人种论
invective n．猛烈抨击，痛骂
locomotive adj．运动的，n．机车
intuitive adj．有直觉力的，直觉到的
oyster n．牡蛎
mock v．嘲笑，模仿地嘲弄
pernicious adj．有害的，致命的
stouthearted adj．勇敢的
pharisaic adj．伪善的，伪装虔诚的
blandishments n．甘言劝诱
furrow n．犁沟，皱纹
quibble n．遁词，吹毛求疵的反对意见
enterprising adj．有进取心的,有事业心的
peripheral adj．不重要的，外围的
cemetery n．坟墓，公墓
incursion n．侵犯，入侵
bolted adj．脱离的
necropolis n．公墓
reproach n．谴责，责骂
climacteric n.重要的转折点，危机期
parch v．烘烤，干热
foil n．钝剑，箔，锡箔纸
contumacy n．抗命，不服从
temptation n．引诱，诱惑物
excel v.善于,擅长于
compellation n.姓名，头衔
vindictive adj．报复性的
hermit n．隐士，修道者
viaduct n．高架桥
imaginary adj．虚构的
daunt v．使胆怯，使畏缩
reprehensible adj．应受谴责的
stratify 　v．（使）层化
screed n．冗长的演说，长篇大论的文章
craven adj．懦弱的，畏缩的
potent adj．强有力的
epoch n．纪元,划时代的大事
inducement n．引诱物
creek n．小湾，小溪
repentant adj．对…感到悔恨的
tub n．桶，浴盆
stockade 　n．栅栏，围栏
subsidiary adj．辅助的，次要的
plaza n．广场,集市
premeditated adj．预谋的,事先计划的
disclaim v．放弃权利，拒绝承认
dictator n．独裁者
antecedence n．居先，在先
noggin n.一小杯，少量的饮料
facilitate v．使容易,帮助
novocaine n．奴佛卜因（一种麻醉药）
kiosk n．售货亭，电话亭
clamorous adj.吵闹的，喧哗的
pliable adj．易弯的,柔软的
charisma n．（大众爱戴的）领袖气质，魅力
flag v．衰退，枯萎
wile n．诡计，花言巧语
speculate v．沉思，思索，投机
puppy n.小狗，幼犬
infuse v．灌输，使…充满
prescribed adj．规定的
psychosis n．精神病,变态心理
swill v．冲洗，痛饮
colt n.小雄驹
acquisitive adj．贪得的，物欲重的
demeanor n．举止，行为
shambles n.混乱之处，凌乱的地点
sacrament n．圣礼，圣事
timbre n．（音乐）音色，音质
engaging adj．迷人的，美丽动人的
proliferate v．激增,繁殖
misanthrope n．愤世嫉俗者
disturbance n．扰乱、骚动
wanton adj．顽皮的，放纵的
curmudgeon n．脾气暴躁之人
placate v．抚慰,平息(愤怒)
embargo n.禁运令，封港令
unfettered adj．无忧无虑的
denomination n．命名，（长度，币值的）单位
vexation n．困扰，苦恼
scud v．疾行，疾驶
byline n．（列作者名字的）报刊文章首行
convalesce v．（病）康复，复原
cavalry n．骑兵部队
pullulate v．繁殖,剧增
double-cross v.欺骗，出卖
intermittent adj．断断续续的，间歇的
dissident n．唱反调者
dispensable adj．不必要的，可有可无的
rhythmic adj．有节奏的
insistence n．坚持，强求
gorgeous adj．美丽的，极好的
osmosis n．渗透，潜移默化
ulterior adj．较晚的，较远的，不可告人的
traitor n．卖国贼，叛徒
appendage n．附加物
heave v．用力拉，举
cheetah n．猎豹
taunt v．嘲笑，讥笑
repeal v．废除（法律）
absurdity n．荒谬
despotism n．专制，暴政
berate v．猛烈责骂
thicket n．树丛，灌木丛
exhibitionism n.风头主义
compulsion n．压力，难以抗拒的冲动
panoply n．全副穿戴，全副甲胄
gastritis n胃炎
horde n．群众，一大群
facade n．建筑物的正面,外表
detonate v．（使）爆炸，引爆
surefire adj.一定会发生的，定成功的
haggle v．争论，讨价还价
auger n.螺丝钻,钻孔机
retiring adj．隐居的，不喜社交的
aperitif n.开胃酒
hinder v．阻碍，妨碍
subcutaneous adj.皮下的
miller n．磨坊主人
acquittal n．宣告无罪，开释
civilian n.平民
puissant adj．强有力的,强大的
clanger n.明显的错误
morbid adj．病态的，不正常的
gleam n．亮光，闪光，v．发闪光
blemish v．损害，玷污n．瑕疵，缺点
rendering n．演出，翻译
puberty n．青春期,春情发动期
amicable adj．友好的
kinetic adj．运动的
sprig n．嫩枝，小枝
pedestal n．（柱石或雕像的）基座
fustian n．空洞的话，无意义的高调
cannibal n．食人者，食同类的动物
saga n．英勇故事，长篇小说
fanaticism n．狂热盲信
sanatorium n．疗养院，休养所
allergy n．过敏症，厌恶
scrub v．用力擦洗
rapids n．急流，湍流
sepulcher n．埋葬所，坟墓
spool n．（缠录音带等的）卷盘（轴）
pseudonym n．假名,笔名
plutocracy n．富豪,财阀统治
salubrious adj．有益健康的
warrant n．正当理由，逮捕证
annihilate v．消灭
idolatrous adj．偶像崇拜的
authentic adj.真正的,原作的
sanguine adj．充满希望的，乐观的
medieval adj．中世纪的，中古的
excogitate v.想出,设计(计划,办法)
stutter v．n.口吃，结巴
puberty n．青春期,春情发动期
pesticide n．杀虫剂
queer adj．奇怪的，疯狂的
aggrieved adj．（因受伤害而）愤愤不平的，痛心的
saga n．英勇故事，长篇小说
prospective adj．未来的,预期的
periphrastic adj．迂回的，冗赘的
rove v．流浪，漂泊
statutory adj．法定的，受法令所约束的
reminisce v．追忆，怀旧
emblematic adj．作为象征的
tempest n．暴风雨，骚动
