reproof n．斥责，责备
glib adj．流利圆滑的，善辩的
ambiguous adj．含糊的，不坦率的
meander v．蜿蜒而流，漫步
aghast adj．惊骇的，吓呆的
hydrant n．水龙头，消防栓
stipple 　v．点画，点描．
predestine v．注定
testy adj．性急的，暴躁的
dissemble v．隐藏、掩饰（感受，意图）
antibiotic n．抗生素，adj．抗菌的
pretext n．借口
garrulous adj．唠叨的，多话的
indifferent adj．不感兴趣的，漠不关心的
outrageous adj．粗暴的，无礼的
solitary adj．孤独的，n．隐士
levitate v．（使）浮于空中
contemplate v．深思，（严肃）注视
wither v．枯萎，凋零
generic adj．种类的、类属的
disburse v．支付，支出
lunacy n．疯狂，愚行
tyrant n．暴君，残暴之人
compendium n.简要，概略
interpolate v．加入(额外的事),窜改
niggardly adj．吝啬的，勉强的
desiccant n．干燥剂
genuflect v．曲膝半跪（以示敬意），屈从．
appropriation n．拨款，挪用公款
indentation n．锯齿状，缺口
aggravate v．加重，恶化
contract v．订合同，收缩
asphyxiate v．（使）无法呼吸，窒息而死
titillate v.使觉得痒，使……兴奋
escort v．护送n．护送者
normative adj．规范的，惯常的
sow n．母猪，[su]v．播种
insufferable adj．无法忍受的
paltry adj．无价值的，微不足道的
fulcrum n．杠杆支点，支柱
antediluvian adj．史前的，陈旧的
magnification n．放大，扩大
infinity n．无限的时间或空间
elitism n.精英论,优秀人士统治
appropriation n．拨款，挪用公款
rancor n．深仇，怨恨
wilt v．使…凋谢，枯萎
lissom adj．姿态优雅的，柔软的
wreak v.泄愤，报仇
flunk v．考试不及格
invigilate v．监考．
yoke n．轭，v．控制，束缚
atonement n.赎罪,弥补
pharisaic adj．伪善的，伪装虔诚的
connive v．默许，共谋
rig v．欺骗，舞弊，伪造
tremendous adj．惊人的，巨大的
aggressive adj．好斗的，进取的
humidity n．湿度，湿气
percussion n．撞击，敲击
debility n．衰弱，虚弱
philander v．调戏追逐女人
bravado n．故作勇敢，逞能
vulpine adj．狐狸的，狡猾的
gist n．要点，要旨
inverse adj．相反的，倒转的
miniature n．小画像，缩影
cushion n．坐垫v．减轻，缓和
fray n．吵架，打斗v．磨破，恼火
cede v．割让（土地，权利）
temp n.临时雇员,v.临时做工
cougar n．美洲豹
treacherous adj．阴险的，危险的
negate v．取消，否认
homeopathy n．顺势疗法
wade v．涉水，水
preposterous adj．荒谬的,可笑的
beguiling adj．欺骗的，迷人的
blockade n．v．封锁
penurious adj．贫困的，缺乏的
disparity n．不同，差异
salve n．药膏，v．减轻，缓和
fecund adj．肥沃的,多产的
debonair adj.美丽的，温雅的
garish adj．俗丽的，过于艳丽的
loot n．掠夺品，v．掠夺
litigant n．诉讼当事人
bibulous adj．高度吸收的，嗜酒的
concomitant adj．伴随而来的
pinion v.绑住，束缚
yaw v．（船，飞机等）偏航
acrimonious adj．尖刻的
transcribe v．抄写，转录
stride 　v．大步行走，阔步
ingratitude n．忘恩负义
translucent adj．半透明的
granular adj．粒状的，含颗粒的
contempt n．轻视，鄙视
clairvoyance n.超人的洞察力
pinch v．捏，掐n．一撮，一点
compatible adj.和谐共处的，相容的
recess n．壁凹（墙上装架子，柜子等凹处），休假
thrifty adj．节省的，节俭的
pulchritude n．美丽
remediable adj．可纠正的，可治疗的
sextant n．六分仪（航海定向仪器）
underhanded adj．不光明的，卑鄙的
translucent adj．半透明的
cemetery n．坟墓，公墓
omnivorous adj．杂食的，兴趣广泛的
pigsty n．猪圈
scale n．鱼鳞，（音乐）音阶
cerebration n．用脑，思考
mercurial adj．善变的，活泼的
upstage adj．骄傲的，高傲的
natty adj．整洁的，漂亮的
aplomb n．沉着，镇静
lattice n．（做篱笆或爬藤架等的）格子架
subside v．（建筑物等）下陷，（天气等）平息，平静
syncopate v．词中省略，缩写
patchwork n.拼缝物
condiment n．调味品，佐料
honk n．汽车喇叭声，雁叫声
insistence n．坚持，强求
malevolent adj．有恶意的，恶毒的
numismatic adj．钱币学的
incise v．切，切割
