bower n．凉亭，树荫下凉快之处
resignation n．听从，辞职
marine adj．海的，海中的
gregarious adj．群居的，爱社交的
filthy adj．龌龊的，污秽的
altar n.祭坛，圣坛
litter n．垃圾，一窝（动物），v．乱丢
propitious adj．吉利的,顺利的
abolition n．废除，革除
cypress n．柏树
maxim n．格言，普遍真理
provenance n．(艺术等的)出处,起源
delirium n．精神错乱，发狂
magistracy n．地方保安官的职位
veto v．n．否决，禁止
auger n.螺丝钻,钻孔机
vocalist n．流行歌手，声乐家
coronation n.加冕，加冕礼
chicanery n．欺诈，欺骗
subside v．（建筑物等）下陷，（天气等）平息，平静
tenet n．信念，信条
disband v．解散（团体）
humanity n．人类，人文学科
perilous adj．危险的，冒险的
dissonant adj．不和谐的，不协调的
solitary adj．孤独的，n．隐士
protuberant adj．突出的,隆起的
offset v.抵销，补偿
replacement n．代替，替换
lusty adj．精力充沛的
sprout v．长出，萌芽，嫩芽
obstruction n．阻挠，障碍物
convertible adj．可转换的，n．敞篷车
persuasive adj．能劝说的，善于游说的
stringent adj（规定）严苛的，缺钱的
detriment n．损害，伤害
theatrical adj．戏剧的，矫揉造作的
valour n．英勇（
ringlet n．卷发（
schizophrenia n.精神分裂症
melodious adj．悦耳的
trawl n．拖网，v．用拖网捕鱼，搜罗
pluck v．拨毛n．勇气,勇敢
censorship n．检查（制度）
primordial adj．最初的
infliction n．（强加于人身的）痛苦，刑罚
jilt v.抛弃，遗弃(情人或恋人)
heliotrope n．向阳植物
parley n．v．和谈，会谈．
ordination n．授任圣职
laboured adj．吃力的，（文体）不自然的
sidereal adj．恒星的
mortise n.榫眼v.用榫接合
profiteer n．奸商,牟取暴利者
dissonant adj．不和谐的，不协调的
seam n．缝、接缝
protuberant adj．突出的,隆起的
incongruity n．不一致
slump v．猛然落下，暴跌
larch n．落叶松
litigious adj．好诉讼的
humdrum adj．单调的，乏味的
prey n．被捕食的动物,牺牲者
famished adj．非常饥饿的
surmount v.克服，战胜，越过
officious adj．爱发命令的，好忠告人的
solvency n．溶解力，还债能力
posthumous adj．死后的,遗腹的
redound v.提高，增加
ordain v．任命，命令
slag n．炉渣，矿渣
ambidextrous adj．十分灵巧的
perturbation n．烦乱，扰乱
facetious adj．轻浮的，好开玩笑的
hobble v．蹒跚，跛行
mote n．微粒，微尘
abridge v．删减，缩短
jettison v．向外抛弃，n．抛弃的货物
fatuity n愚蠢，愚味
concatenate v．连结，连锁
curd n．凝乳
repartee n．机灵的回答
hump n．隆起，驼背，v．隆起
barbarous adj.野蛮的,残暴的
incentive n．刺激，鼓励
expiate v.赎罪,补偿
trim v．修剪，adj．井井有条的
etiquette n.礼仪礼节
quill n．（豪猪等动物的）刺
maverick n．独行者，想法与众不同的人
screed n．冗长的演说，长篇大论的文章
seraphic adj．如天使般的，美丽的
extremity n．极度,绝境
oscillation n．振动，踌躇
ambrosia n.神仙食品，美味
astrolabe n．星盘（古代星位观侧仪）
conspiracy n．阴谋
repentant adj．对…感到悔恨的
impregnate v．怀孕，使充满
crave v．渴望，热望
ragged adj．破烂的，（表面）凹凸不平的
anticipate v．预期，期待
celebrated adj．有名的，知名的．
neophyte n．初学者，新手
erudition n．博学
defunct adj．死亡的，过时的
entitle v．使有权(做某事)
petitioner n．请愿人
terminable adj．可终止的
utopian adj．乌托邦式的，梦想的
embryonic adj．胚胎的，萌芽期的
conviction n．判罪，坚信
coalesce v.联合，合并，结合
parquetry n．镶木地板艺术或图案
jaunty adj．愉快的，满足的
upswing n．上升，增长
vertiginous adj．令人眩晕的
idolater n．偶像崇拜者
huckster n叫卖小贩，零售商
jinx n.不祥的人(或物)
sweltering adj．酷热的
smarmy adj.迎奉的，讨好的
transaction n．办理，交易
collateral adj.平行的，旁系的
benevolent adj．慈善的，好意的
retract v．缩回，收回
nativity n．出生，诞生
bizarre adj．奇异的，古怪的
spunk n．勇气，胆量
reincarnate v．使化身，转生
fidgety adj．烦躁的，不安的．
intoxicate v．使醉，陶醉
tarn n．山中的小湖或水潭
empyreal adj.天空的(empyrealheights天空高处)
snigger v．n．暗笑，窃笑
apology n．道歉，谢罪
fang n.(毒蛇的)尖牙
pliers n．钳子
exacerbate v.加重，恶化
peevish adj．坏脾气的，易怒的
unfathomed adj．深不可测的，无法理解的
obligation n．责任，债务
smirk v．假笑，得意地笑
evanescent adj.短暂的,瞬息的
forsake v．遗弃，放弃
flout v．蔑视，违抗
quench v．熄灭（火），抑制（欲望）
predator n．食肉动物
distend v．（使）膨胀，胀大
revocation n．废弃，取消
radiate v．发光，放热
impasse n．僵局，死路
lurch n．突然向前或旁边倒v．蹒跚而行
glee n．欢喜，高兴
shears n．大剪刀
heiress n．女继承人
illegitimate adj．不合法的，私生的
rural adj．乡村的
fitful adj．不安的
fettered adj．被拘束的，没自由的
reticulation n．网目，网状
whimper v．悲嗥，鸣咽
intertwine v．纠缠,缠绕
provisions n．粮食,食品
adorable adj．迷人的，可爱的
therapy n．疗法
cornucopia n．象征丰收的羊角（羊角装饰器内装满花、果、谷物等以示富饶）
ruminant adj．（动物）反刍的，沉思的
opprobrium n．恶名声，侮辱
stipple 　v．点画，点描．
voracity n．贪食，贪婪
portfolio n．文件夹,股份单
continent adj．克制的，禁欲的
salacious adj．好色的，淫荡的．
endemic adj．地方性的
prevision n．先见,预感
temperamental adj．性情的，喜怒无常的
maudlin adj．感情脆弱的，爱哭的
dietetics n．饮食学，营养学
cleavage n.裂缝，分裂
benefactor n．行善者，捐助者
swot n.刻苦学习的人,v.苦读
larceny n盗窃
oratory n.演讲术，祈祷室，小礼拜堂
demur v．表示异议，反对
playwright n．剧作家
artless adj．粗俗的，自然的
accomplice n．同谋者，帮凶
terpsichorean adj．舞蹈的
founder v．（船）沉没，（计划）失败
vicissitudes n．（人生的）盛衰，变迁
pillage n．v．抢劫，掠夺
engross v．全神贯注于
sprawl v．n．伸展手足而卧，懒散地躺
huffy adj．愤怒的，暴躁的
gabble v．急促而不清楚地说
gradient n.坡度，斜度
blase adj.对享乐感到厌倦的，无动于衷的
plutocracy n．富豪,财阀统治
refute v．驳斥
dulcet adj．（声音）悦耳的，美妙的
hypochondriac n．忧郁症患者的
infidel n．不信教者，异教徒
definition n．（轮廓等）清晰，定义
trapezium n.梯形，不规则四边形
rehearsal n．排演，排练
assent v．同意，赞成
remiss adj．疏忽的，不留心的
nostalgia n．怀旧之情，思乡病
resent v．憎恶，愤恨
whit n．一点儿，少量
bequeath v．遗赠（留）
prowess n．勇敢,不凡的能力
decomposition n．腐烂，崩溃
temperance n．自制，节制，禁酒
mecca n.众人渴望去的地方
splendid adj．壮观的，极好的
formative adj．形成的，影响发展的
incongruous adj．不调和的，不相称的
ordinance n．法令，条
deprivation n．剥夺，丧失
ignoramus n．无知者，笨蛋
prestidigitation n．变戏法,手法敏捷
fop n．（喜好精致服装的）花花公子．
pistol n．手枪
spiral n．螺旋，螺线
expeditious adj.迅速的,敏捷的
cloister n.修道院
indispensable adj．不可缺乏的
comatose adj.昏迷的
hasten v．催促，促进
voyeur n．窥淫狂者，窥隐私者
snappy adj．精力充沛的，潇洒的
beater n.搅拌器
hilarity n．欢乐，热闹
robust adj．健壮的
languish v．衰弱，变得消瘦
disguise v．假扮，掩饰
lore n．知识，全部传说
atonement n.赎罪,弥补
obscure adj．难解的，不清楚的v．隐藏，使…模糊
catalyst n．催化剂，促使事情发展的因素
stingy adj．吝啬的，小气的
enterprising adj．有进取心的,有事业心的
incrustation n.污垢，硬壳
erode v．腐蚀,侵蚀
awe v.敬畏
fang n.(毒蛇的)尖牙
fomentation n．煽动，助长
rustic adj．乡村的，乡土气的
