ethos n.(个人,团体或民族)道德风貌，思潮信仰)
delinquency n．失职，罪行
swarm v．攀爬
matador n．斗牛士
emit v．放射(光热,味等)
dislodge v．逐出，取出
factitious adj．人为的，不真实的
egregious adj.(缺点等)过份的，惊人的
expound v．解释,阐述，提出
histology n．组织学（研究细胞之学科）
optional adj．可自由选择的
traduce v．中伤，诽谤
viable adj．可行的，能活下去的
relent v．动怜悯心，减弱
shack n．简陋的小屋，棚屋
sleek v．（使）光滑，adj．光滑的，整洁的
impending adj．行将发生的，逼近的
wraith n．幽灵，骨瘦如柴的人
split v．n．分裂，裂开
allusion n．暗示
nerveless adj．无力的，无勇气的
sibling n．兄弟或姊妹
stipple 　v．点画，点描．
amendment n．改正，修正
raisin n.葡萄干
normative adj．规范的，惯常的
dirge n．哀歌、凄凉之曲调
rendering n．演出，翻译
loquacious adj．多嘴的，饶舌的
impugn v．指责，对…表示怀疑
deputy n．代理人，代表，副警长
nomination n．提名，指派
computation n．计算
scavenger n．食腐动物，拣破烂的人
adobe n．泥砖，土坯
spinster n．未婚女人，老处女
awry adj.扭曲的,走样的.
nascent adj．初生的，萌芽的
coronation n.加冕，加冕礼
legend n．地图里的说明文字或图
nuptials n．婚礼
trajectory n．（抛射物）弹道轨道
deviate v．越轨，脱离
simian adj．猿的、猴的n．类人猴
dehumanize v．使失掉人性
peptic adj．产生胃酶的，助消化的
stroll v．漫步，闲逛
bloated adj．肿胀的
oafish adj．呆子的，白痴的
agate n.玛瑙
desirous adj．渴望的
medieval adj．中世纪的，中古的
moor n．旷野地，荒野v．使（船）停泊
mallet n．木槌，大头锤
benediction n．祝福，祈祷
star-crossed adj．时运不济的
infinity n．无限的时间或空间
divest (of)v．卸下盛装，剥夺
reminisce v．追忆，怀旧
instrumental adj．有帮助的，有作用的
paradigm n．范
magnate n．财主，巨头
labile a.不稳定的，易变的(
ransom n．赎金，赎身，v．赎回，解救
smother v．覆盖，（使）闷死
encephalitis n．脑炎
pry v．刺探,打听,撬开
reprove v责骂，申斥
lank adj．瘦削的，稀疏的
tedious adj．冗长的，沉闷的
precept n．箴言,格言
hector v．凌辱，威吓
incommunicado adj．被单独监禁的
garret n．阁楼、顶楼小室
pragmatism n．实用主义
contumacy n．抗命，不服从
asymmetric adj.不对称的
crochet n．钩针织物v．用钩针编织
polymath n．知识广博者
tonic n．增进健康之物，补品
complacent adj.自满的，得意的
authenticate v.证明(某物)为真
minion n．奴才，低三下四之人
imminence n．急迫，危急
terrapin n．泥龟，水龟
disinfectant n．消毒剂
flounder n．比目鱼
interposition n．插入,干涉
flask n．烧瓶，细颈瓶
fallacy n．谬误，错误
diplomatic adj．外交的，圆滑的
slobber n．口水，v．流口水，粗俗地表示
sophistry n．诡辩
oration n．正式演说，演讲
gastritis n胃炎
enclosure n．圈地，围占
haggle v．争论，讨价还价
juggernaut n．摧毁一切的强大力量
incense n．香，香味v．激怒
trim v．修剪，adj．井井有条的
stonewall v.阻碍议事，妨碍
pamphlet n．小册子
synopsis n．摘要，概要
dank adj.阴湿的
crestfallen adj．挫败的，失望的
onslaught n．猛攻，猛袭
litterbin n．垃圾桶
preoccupied adj．心事重重的,出神的
exaltation n.(成功带来的)得意,高兴
maddening adj．使人恼火的，令人气恼的
eulogistic adj.颂扬的,歌功颂德的
cravat n．领巾，领结
sloop n．小帆船
flagellate v．鞭打，鞭笞
abode n．住处，住所
attribute n.属性,品质,v.把…归于
dynamite n．炸药，扣人心弦的事
filibuster v．n．妨碍议事，阻挠
penetration n．穿透，洞察力
sluice n．水门，水闸，n．冲洗，奔流
chrysanthemum n．菊，菊花
sophism n．诡辩
exchequer n.国库，财源
locomotion n．运动，移位
ridge n．脊（如屋脊，山脊等），隆起物
squat v．蹲下，adj．矮胖的
lucubrate v．刻苦攻读，埋头苦干
concatenate v．连结，连锁
hanger n．衣架，挂衣钩
animus n．憎恨
tapestry n．挂毯，丰富多采的画面
grateful adj．感激的
hummock n．小园丘
foible n．小缺点，小毛病
ravishing adj．令人陶醉的
paradigm n．范
frond n．（羊齿（fern），棕榈等的）叶子
extemporize v．即席演说
amorous adj．容易动情的，情爱的
hollow adj．中间空的，空洞的
glossary n．字汇表，难词表
medieval adj．中世纪的，中古的
insularity n．心胸狭窄
creek n．小湾，小溪
cramped adj．狭窄的，挤在一起的
immutable adj．不变的
uptake n.摄取，领会
vicarious adj．间接的，代理的
perish v．死，暴卒．
shale n．页岩
palings n．篱笆，木栅栏
omission n．遗漏，省略
beverage n.（水，酒等之外的）饮料
insurrection n．造反,叛乱
bawl v.大叫,大喊
porous adj．可渗透的,多孔的
unwitting adj．无心的，不经意的
infiltrate v．渗透，渗入
retailer n．零售商
rave n．热切赞扬，倾倒
ductile adj．易拉长的，易变形的，可塑的
alligator n.短吻鳄(一种鳄鱼)
sip v．啜饮
swill v．冲洗，痛饮
acne n.粉刺
cushion n．坐垫v．减轻，缓和
verve n．（艺术作品的）神韵，（人）生机，精力
foible n．小缺点，小毛病
travail n．艰苦劳动，痛苦
employ v．雇用,使用
boulder n．巨石
specifics n．细微问题，细节
censorious adj．吹毛求疵的，苛求的
intemperate adj．无节制的,放纵的
vestment n．（作礼拜时教士的）法衣，官服
pine n．松树v．（因疾病等）憔悴，衰退
frigate n.护航舰，大型驱逐舰
objectionable adj．令人厌恶的
oscillation n．振动，踌躇
vocalist n．流行歌手，声乐家
refractory adj．难驾驭的，（病）难治的
infiltrate v．渗透，渗入
complaisance n.迁就，奉承
frustrate v．挫败，使沮丧
speculate v．沉思，思索，投机
philistine n．庸人，市侩
olfactory adj．嗅觉的
elixir n.长生不老药，仙丹妙药
trauma n．精神创伤，外伤
apprehend v．逮捕，恐惧
progeny n．后代,子女
reciprocity n．互惠主义，相互利益
sprinkling n．点滴，少数
iconoclast n．攻击传统观念或风俗的人
loll v．懒洋洋地坐或卧
belie v．掩饰，证明为假
fledgling n刚学飞的幼鸟，无经验的人
articulate v．清楚说话，接合
muck n.堆肥，淤泥
elastic adj.有弹性的,灵活的
fascinating adj．迷人的，吸引人的
quirk n．奇事，怪癖
succubus n.女妖
agronomist n．农学家
nonplus v．使窘困，狼狈不堪
pretension n．自命不凡
morbid adj．病态的，不正常的
prudence n．谨慎,小心
factitious adj．人为的，不真实的
turbulent adj．凶猛的，骚乱的
permeate v．扩散，渗透
cactus n．仙人掌
opalescent adj．像蛋白石的，发乳白光的
trammel v．n．束缚，妨碍，鱼网
gardenia n．栀子花
siege n．包围，围攻
whittle v．削（木头），削减
recompense v．报酬，赔偿
mince v．切碎，小步走路
sable n．黑貂，adj．黑色的
flavouring n．香料，调味品
mettle n．勇气，斗志
fulsomeness n．虚情，谄媚
repulse vn驱逐，击退，厌恶
moralistic adj．道学气的
benediction n．祝福，祈祷
implacable adj．难以满足的、难平息的
fictitious adj．假的、虚构的
malodorous adj．有臭味的、不合法的
quarry n．采石场，v．采石
contentious adj．好辩的，喜争吵的
contravene v．违背（法规，习俗等）
kinetic adj．运动的
jingoism n．沙文主义，侵略主义
peremptory adj．专横的，不容反抗的
queue v．n．长队，排队
preamble n．前言,序言
rigidity n．固执，坚定，僵化
antediluvian adj．史前的，陈旧的
hirsute adj．多毛的
derivative adj．派生的，无创意的
prevision n．先见,预感
rend v．撕裂，猛拉
twaddle n．胡说八道，瞎扯
bode v．预示
medal n．奖牌，勋章
vertigo n．眩晕（
splice v．n．接合，衔接
flinch v．畏缩，退缩
pollster n．民意测验家
prudish adj．过分守礼的，假道学的
extrinsic adj．外在的,外部的
approbatory adj．表示赞许的．
heath n.荒地
slanderous adj．诽谤的，中伤的
lingering adj．拖延的，依依不舍的
attune tov.使调和,习惯于
cluster n.串，束，群，v.成群，成串
stockade 　n．栅栏，围栏
sanction n．v．批准，认可
aversion n.嫌恶,憎恨
immoral adj．不道德的，淫荡的
intractable adj．倔强的，难管的
repentant adj．对…感到悔恨的
prognosticate v．预测,预示
requisition n．要求，请求
ragged adj．破烂的，（表面）凹凸不平的
fulcrum n．杠杆支点，支柱
euphony n.悦耳的语音
panorama n．全景，概观
shard n．（陶器等）碎片，破片
secular adj．世俗的、尘世的
illegible adj．难读的，难认的
tempestuous adj狂暴的
famished adj．非常饥饿的
circuitous adj.迂回的，绕圈子的
wince v．避开，畏缩
decomposition n．腐烂，崩溃
solitary adj．孤独的，n．隐士
unctuous adj．油腔滑调的
variegated adj．斑驳的，形形色色的
euphemism n.婉言，委婉的说法
laborious adj．费力的，吃力的
plunder v．抢劫,掠夺
raillery n．善意的嘲弄
steep v．浸泡，浸透
tendentious adj．有偏见的，有倾向的
whimsical adj．古怪的，异想天开的
magniloquent adj．夸张的
convoluted adj．旋绕的，费解的
trifle n．微不足道，琐事
elaborate adj.精致的、复杂的
sprawl v．n．伸展手足而卧，懒散地躺
flair n．天赋，本领，才华
prosecutor n．起诉人
radiance n．发光，喜悦
stratify 　v．（使）层化
hypocrisy n．伪善，造作
lottery n．彩票，抽彩给奖法
diffuse v．散布，（光等）漫射，adj．漫射的，散漫的
