blotto adj.烂醉的
immemorial adj．太古的，极古的
smutty adj．淫秽的
proclivity n．倾向,癖性
huffy adj．愤怒的，暴躁的
forerunner n．预兆，前兆，先驱．
nethermost adj．最低的，最下方的
reproof n．斥责，责备
effeminate adj．柔弱的，缺乏勇气的
delimit v．定界，划界
erode v．腐蚀,侵蚀
figurine n．小塑像，小雕像
blemish v．损害，玷污n．瑕疵，缺点
immersion n．沉入，浸入
rendering n．演出，翻译
emancipation n.释放,解脱
regurgitate v.反胃，呕吐
regent n．摄政者（代国王统治者）
querulous adj．抱怨的，多牢骚的
pancreas n．胰脏
predilection n．偏好
festal adj．节日的，欢乐的
gadfly n．虻，牛虻
oxidize v．氧化，生锈
octogenarian n．八十～八十九岁的人
primp v．(妇女)刻意打扮
cypress n．柏树
slag n．炉渣，矿渣
nonobservance n．不遵守，违犯（规则等）
retail v．n．零售
elated adj.得意洋洋的振奋的
segregate v．隔离
legitimate adj．合法的，正当的
sufficient adj．足够的
sloop n．小帆船
thaw v．解冻，溶化
wean n．断奶，戒掉
full-bodied adj．（味道等）浓郁而强烈的
carouse v．n．狂饮寻乐
sedentary adj．久坐的，固定不动的
expeditious adj.迅速的,敏捷的
heretical adj．异端邪说的
inexorable adj．不为所动的，坚决不变的
liquidate v．清除，清偿，停止
recherche adj.精选的，珍贵的
solicitation n．恳求，教唆
wade v．涉水，水
authorization n.授权,委任状
perceptive adj．感觉敏锐的
dormant adj．冬眠的，静止的
flush n．v．脸红，奔流
vacancy n．空白，空缺
cereal n．谷类，谷类食品．
athletics n.运动,体育
fermentation n．发酵
niggardly adj．吝啬的，勉强的
palette n．调色板
sneak v．鬼鬼祟祟而行，偷窃
cuddle v．n．搂抱，拥抱
rankle v．（怨恨，失望等）难以释怀
feigned adj．假装的，不真诚的
gaggle n．鹅群
contortion n．扭曲，弯曲
novelettish adj．言情的，多愁善感的
heavy-handed adj．笨手笨脚的
detriment n．损害，伤害
immoral adj．不道德的，淫荡的
scoff n．v．嘲笑，笑柄
languish v．衰弱，变得消瘦
exegesis n.(对圣经等的)严肃解释、注释
cloying adj.甜得发腻的
axle n.轮轴(连接二个车轮的轴)
intoxicant adj．醉人的
sophistry n．诡辩
outmoded adj．不再流行的，过时的
accolade n．推崇备至，赞扬
herdsman n．牧人
taciturn adj．沉默寡言的
functionary n．小官，低级公务员
nomination n．提名，指派
opprobrium n．恶名声，侮辱
elegy n.哀歌、挽歌
gull n海鸥，v．欺骗
manifesto n．宣言，声明
genuflect v．曲膝半跪（以示敬意），屈从．
gaggle n．鹅群
extrovert n．性格外向者
intractable adj．倔强的，难管的
reversion n．返回（原状，旧习惯），逆转
foothold n．立足点，根据地
relentless adj．无情的，残酷的
coy adj．腼腆的，忸怩的
exiguous adj.太少的,不足的
plunder v．抢劫,掠夺
beaver n．海狸
pandemonium n．喧嚣，大混乱
hostility n．敌对状态，敌意
conjure v．请求，祈求
splinter n．尖片，裂片
fretwork n．格子细工（在木头上雕出各种图案，格子的工艺）
obloquy n．大骂，斥责
imbibe v．饮，吸入
drollery n．滑稽
aversion n.嫌恶,憎恨
hackneyed adj．陈腐的，平常的
ideology n．意识，意识形态
spunk n．勇气，胆量
tattle v.闲谈，泄密
ascent n．上升攀登
synthetic adj．综合的，人造的
vacate v．空出
overriding adj．最主要的
gestation n．怀孕，孕育时期
frame-up n．陷害，虚构的罪名
temp n.临时雇员,v.临时做工
semblance n．外貌，相似
pagan n．没有宗教信仰的人，异教徒
protuberant adj．突出的,隆起的
leprosy n．麻疯病
stowaway 　n．（藏于轮船，飞机中的）偷乘者
hobgoblin n.妖魔，恶鬼
quarry n．采石场，v．采石
plague n．瘟疫,讨厌的人或物v．烦扰
midget n．侏儒，极小者
neurosis n．精神病
landlocked adj．被陆地包围的
abacus n．算盘
partisan n．党派支持者．
monastery n．男修道院，僧院
indomitable adj．坚强不屈的
standoffish adj.有点不友好的，冷淡的
archipelago n．群岛
supercilious adj．目中无人的，高傲的
awry adj.扭曲的,走样的.
sufficient adj．足够的
vociferate v．大叫大嚷，叫喊
epithet n．(贬低人的)短语或形容词
stun v．使昏迷，使发愣
jollity n．快乐，欢乐
indomitable adj．坚强不屈的
bless v．祝福，颂扬
futility n．无用，无益
robust adj．健壮的
chortle v．n.开心地笑
vying adj．竞争的
halt v.暂停前进，停止
umpire n．裁判，v．对…进行仲裁
intimate v．暗示
apostrophe n书写中撇号（’）（表示省略或所有格）
bibliography n.文献学，
trounce v.痛打，严惩
balk v.阻止，妨碍
shingle n．木瓦，屋顶板
staple n．主要产品
repulsive adj．令人厌恶的，驱逐的
rapt adj.专注的
equivocate v．模棱两可地说,支吾其词
