upheaval n．动乱，大变动
assimilate v．同化，吸收
jingoism n．沙文主义，侵略主义
refulgent adj．辉煌的，灿烂的
diurnal adj．白昼的，白天的
plunder v．抢劫,掠夺
photosynthesis n．光合作用
abandon v．n．放弃，放纵
grim adj．冷酷的，可怕的
rookie n．新兵，新球员
upswing n．上升，增长
pamper v．纵容，过分关怀
flatulence n．肠胃气胀
lechery n．好色，纵欲
covet v．贪求，妄想
orthopedics n．整形手术，整形外科
particulars n．事实，细节
dauntless adj．勇敢的，无畏的
embezzle v.盗用,侵吞
obloquy n．大骂，斥责
laity n．信徒，外行
apostrophe n书写中撇号（’）（表示省略或所有格）
extricate v．拯救，救出
penetration n．穿透，洞察力
reverent adj．恭敬的，虔诚的．
diabetes n．糖尿病
elocution n.演说术
pertain v．属于，关于
sepulcher n．埋葬所，坟墓
inordinate adj．过度的，过份的
blizzard n．暴风雪
skyrocket v．陡升，猛涨
kiosk n．售货亭，电话亭
lounge v．懒散地斜靠，n．休息室
filial adj．子女的
clam n.蛤，蚶
momentous adj．极重要的，严重的
curvaceous adj．婀娜多姿的，曲线的
walrus n．海象
gleaner n．拾落穗的人
soporific adj．催眠的，n安眠药
prig n．自以为比别人更有道德的人
ensemble n．全体,大合唱
mutineer n．反叛者，背叛者
garnish v．装饰（于食品上）
stab n．v．刺伤，戳
tenuous adj．细薄的，稀薄的，空洞的
pamphlet n．小册子
commendable adj.值得称赞的
sidereal adj．恒星的
rhubarb n．（植物）大黄，n．v．喧闹
blase adj.对享乐感到厌倦的，无动于衷的
score n．乐谱
dregs n．渣滓，糟粕
blase adj.对享乐感到厌倦的，无动于衷的
nonplus v．使窘困，狼狈不堪
secretarial adj．秘书的、文书的
dimple n．酒涡，笑靥
marrow n．骨髓，精华
virtuosity n．精湛技巧，高超
stern n．船尾
wrath n．愤怒，大怒
aviary n.大鸟笼,鸟舍
substantive adj．独立存在的，直接的
avow v.承认,公开宣称
languor n．身心疲惫
croak n．蛙鸣声
flinty adj．极坚硬的
abide v．容忍，忍受
languish v．衰弱，变得消瘦
mediate v．调停
squelch v．n．压制，镇压
inveterate adj．积习已深的
impugn v．指责，对…表示怀疑
mediate v．调停
suture n．缝线v．缝合
plait n．v．发辫,编成辫
flinch v．畏缩，退缩
holster n．手枪皮套
madrigal n．合唱曲，情诗，牧歌
shanty n．简陋的小木屋
stutter v．n.口吃，结巴
derelict adj．荒废的，被弃置的
matrix n．模子，矩阵
elapse v.(光阴)消逝
bolt n．螺栓，门栓v．急逃，脱离
mote n．微粒，微尘
vertigo n．眩晕（
spark n．火花，火星
adulate v．谄媚，奉承
envisage v．正视,想象
labyrinth n．迷宫
undulate v．波动，起伏
ineptitude n．无能，不称职
insert v．插入
varnish n．清漆，v．涂上清漆
cubicle n.寝室，小卧室
zealot n．狂热份子，热心者
demote v．降级，降职
distress n．痛苦，悲痛
outset n．开始，开头
plush adj．豪华的
bromide n．溴化物（镇静药用），平庸的人或物
vandalize v．肆意破坏
sidle v．（偷偷地）侧身而行
phial n．小瓶（药水瓶）
tacky adj.粘的，破烂的
locust n．蝗虫，贪吃的人
indifferent adj．不感兴趣的，漠不关心的
turret n．塔楼，角塔
inimical adj．为敌的，不友善的
cryptogram n．暗号，密码
perambulate v．巡行，巡视，漫步
cripple n．跛子，v．（使）残废
splenetic adj．脾气暴的，易怒的
encroachment n．侵入，侵犯
die n．金属模子，印模
imminent adj．即将发生的，逼近的
inoculation n．接种，灌输
insolent adj．粗野的，无礼的
erudite adj．博学的，饱学的
wean n．断奶，戒掉
frantic adj．疯狂的，狂乱的
endue(with) v．赋予(才能)
strife n．纷争，倾轧
somnolent adj．思睡的，催眠的
viable adj．可行的，能活下去的
despicable adj．可鄙的，卑劣的
decry v．责难，贬低（价值）
gustation n．品尝，味觉
trickle v．一滴滴地流，徐徐地流
stupor n．昏迷，不醒人事
surreptitious adj．鬼鬼祟祟的，保密的
incentive n．刺激，鼓励
flicker v．闪烁，摇曳
choppy adj.波涛汹涌的
squander v．浪费，挥霍
clandestine adj.秘密的，暗中从事的
unstudied adj．不造作的，优雅的
rummage n．翻寻
rhapsody n．溢美之词，狂想曲
recuperative adj．有助恢复健康的
bane n.祸根
modish adj．时髦的
aurora n.极光(南北极夜晚所放彩光)
sarcasm n．讥讽，讽刺，嘲笑
mollusk n．软体动物
immune adj．免疫的，免除的
muggy adj．（天气）闷热而潮湿的
hooked adj．钩形的，着迷的
disinterested adj．公正的，客观的
solo adj．单独的，n．独唱
wield v．支配，掌权
pasteurize v．以高热杀菌，消毒
deadlock n．相持不下，僵局
sluggish adj．行动迟钝的，缓慢的
mask n．假面具，v．隐藏（感情）
incur v．招惹
synthetic adj．综合的，人造的
virtuosity n．精湛技巧，高超
tenure n．任期，终身职位
treacherous adj．阴险的，危险的
telepathy n．心灵感应，精神感应
awe-inspiring adj.令人敬畏的
skulduggery n．舞弊，作假
genetics n．遗传学
homage n．效忠，崇敬
hanger n．衣架，挂衣钩
complacent adj.自满的，得意的
peccadillo n．小过失
fractional adj．微小的，极小的
pulverize v．压成细粉,彻底击败
calamitous adj．造成灾祸的
retarded adj．智力迟钝的
chaperon v.陪伴，伴随
soliloquy n．自言自语，独白
laboured adj．吃力的，（文体）不自然的
galley n．船上的厨房
colloquium n.学术讨论会
idolatrous adj．偶像崇拜的
moratorium n．停止偿付，禁止
elephantine adj.笨拙的,巨大的
degrade v．降格，降级
otiose adj．不必要的，多余的
fortitude n．坚毅，坚忍不拨
sedative adj．n．（药物）镇静的，镇静剂
balderdash n.胡言乱语
recumbent adj．侧卧的，休息的
stipulate 　v，要求以…为条件，约定
greenhorn n．初学者，容易受骗的人
fold n．羊栏，畜栏，v．折叠
apostasy n．背教，脱党
tonic n．增进健康之物，补品
awry adj.扭曲的,走样的.
inveterate adj．积习已深的
sprain n．v．扭伤
pitch n．沥青,柏油
foray v．n．突袭，偷袭
defile v．弄污，弄脏n．（山间）小道
gloomy adj．阴暗的，没有希望的
vainglorious adj．自负的，虚荣心强的
appellation n．名称，称呼
warrant n．正当理由，逮捕证
peripheral adj．不重要的，外围的
almond n．杏树，杏仁
abortive adj．无结果的，失败的
malfunction n．故障，障碍
jilt v.抛弃，遗弃(情人或恋人)
transgress v．冒犯，违背
opulent adj．富裕的，充足的
rally v．n．召集，集会
jurisprudence n．法律学，法学
fussy adj．爱挑剔的
arrogance n．傲慢，自大
fiendish adj．极凶恶的
extrinsic adj．外在的,外部的
handle n．柄，把手，v．处理
impair v．损害，使弱
footloose adj．自由自在的，无拘束的
stake n．柱子，赌注
sanitary adj．卫生的，清洁的
tack n．大头钉，图钉
concurrent adj．同时发生的，一致的
swindle v．诈骗，骗取
groggy adj．体弱的，不稳的
notoriety n．臭名昭彰
palpable adj．明显的，易觉察的
adorable adj．迷人的，可爱的
approbation n．称赞，认可，
omniscient adj．无所不知的、博识的
requiem n．安魂弥撒
serpentine adj．似蛇般绕曲的，蜿蜒的
trapezium n.梯形，不规则四边形
obsolescent adj．即将过时的
volition n．自决，自主
effortless adj．不费力的
gimmick n．吸引人的花招，噱头
weasel n．黄鼠狼，鼬，v．告密
veer v．转向，改变（话题等）
sloop n．小帆船
rapids n．急流，湍流
niche n．（放艺术品等的）壁龛，合适的位置
inspiration n．（思考而得的）启示，灵感
squander v．浪费，挥霍
parenthesis n．插入语，括弧
gnomic adj．格言的，精辟的
embankment n.堤岸,路基
royalty n．皇室，版税（付给著作人的钱）
foyer n．门厅，休息室
panoply n．全副穿戴，全副甲胄
disbursement n．支出，开支
cascade n．小瀑布
contuse v.挫伤，捣碎
livid adj．青灰色的（撞伤），（脸色）苍白的
cohesive adj.凝聚的，凝结的
wherry n.小船，舢板
archipelago n．群岛
irreconcilable adj．不能妥协的，不能和解的（
adornment n．装饰，装饰品
flippant adj无礼的，轻率的
inexplicable adj．无法解释的，难理解的
neutral adj．中间的，中立的
incision n．切口，切割
homage n．效忠，崇敬
zealot n．狂热份子，热心者
indent v．切割成锯齿状
induction n．就职，入伍仪式，归纳
crate n．篓，板条箱
charity n．仁慈，施舍．
frail adj．脆弱的，不坚实的
unicorn n．（传说中的）独角兽
blinds n．百页窗
limp v．跛行adj．无力的，松软的
provoke v．激怒,挑逗
knotty adj．有节疤的，困难的
cozen v.欺骗，哄骗
impregnate v．怀孕，使充满
farrow v．(母猪)生产n.一窝小猪
infringe v．违反，侵害
impediment n．妨碍、阻碍物
calibrate v．量…口径，标准。
mythology n．神话，神话学
bigotry n．顽固，偏狭
raisin n.葡萄干
cadet n．军校或警官学校的学生
ridge n．脊（如屋脊，山脊等），隆起物
tailwind n，顺风
cater v.迎合，满足需要，承办(宴会等)
saturnalia n．纵情狂欢
expedition n.远征,探险
osculation n.接吻，共同特性
crude adj．未提炼的，粗鲁的，n．原油
contraction n．收缩
seduce v．勾引、诱惑
rescind v．废除，取消
obbligato n.伴奏
stigmatize v．污蔑，玷污
imperative adj．急需的，必要的
stenography n．速记，速记法
vascular adj．血管的，脉管的
