landlocked adj．被陆地包围的
indigenous adj．土产的，本地的
minnow n．鲦鱼，小淡水鱼
rent n．裂缝，（意见）分歧
amalgamate v．合并，混合
vinegared adj．酸的，尖刻的
schematize v．扼要表示
swirl n．v．旋转，漩涡
upsurge n．（情绪）高涨
shirk v．逃避，规避
impolitic adj．不智的，失策的
megalomania n．自大狂
evocative adj.唤起的激起的
encumber v．妨害，阻碍
predilection n．偏好
hostage n．人质
snob n．势利小人
dapper adj.衣冠楚楚的，干净的
stun v．使昏迷，使发愣
rambunctious adj．喧闹的，放纵的
estrange v.使疏远
magnanimous adj．宽宏大量的，慷慨的
truculence n．凶猛，粗暴
mutton n．羊肉
floppy adj．松软的，衰弱的
alcove n．凹室，壁龛
animus n．憎恨
subdue v．征服，压制，减轻
litterbin n．垃圾桶
outlandish adj．奇怪的，古怪的
bureaucracy n．官僚政治
carousal n．欢闹的酒宴
evoke v.引起，唤起
insuperable adj．难以克服的
descendant n．后代，后裔
jubilant adj．喜悦的，欢呼的
blight n．植物枯萎病v．使…枯萎
outfox v．以机智胜过
subversive adj．颠覆性的，破坏性的
brim n．（杯）边，缘v．盈满
abridgment n．删节，节本
perceptible adj．可以感觉到的，可见的
splinter n．尖片，裂片
palatial adj．宫殿般的，宏伟的
smolder v．无火焰地闷烧，压抑
blockbuster n.轰动，巨型炸弹
specimen n．范例，样品，标本
scree n.山坡上的碎石堆
compendious adj.简洁的，简要的com+pend(挂)+ium→挂在一起→概要
solemnity n．庄严，肃穆
pastiche n.(音乐等)混合作品
consummate adj．完全的，完美的，v．完成
hard-nosed adj.顽固的
spurious adj．假的，伪造的
peril n．危险
pennant n．（船上用的）信号旗
blowhard n．自吹自擂者
excavate v.挖掘,挖出
parenthesis n．插入语，括弧
commotion n.骚动，动乱
unconscionable adj．无节制的，过度的
rejoicing n．欢乐，狂喜
filament n．灯丝，细丝
cower v．畏缩，蜷缩
relentless adj．无情的，残酷的
secession n．脱离、退出
knotty adj．有节疤的，困难的
talebearer n.散布谣言者
cloying adj.甜得发腻的
intercede v．说好话,代求情
twit v.嘲笑，挖苦
harangue n．长篇演说
splinter n．尖片，裂片
panegyric n．颂词，颂扬
evacuate v.撤退,撤离
scoff n．v．嘲笑，笑柄
sumptuous adj.奢侈的，华丽的
mutineer n．反叛者，背叛者
proficient adj．熟练的,精通的
scarp n．悬崖，陡坡
squelch v．n．压制，镇压
statute n．法规，法令
fabricate v．控造,制造
accidental adj．意外的，偶然的
lustrous adj．有光泽的
mercurial adj．善变的，活泼的
infuse v．灌输，使…充满
maneuverable adj．可移动的，可操纵的
grumpy adj．脾气暴躁的
inducement n．引诱物
equine adj．马的,似马的
pugnacious adj．好斗的
sedentary adj．久坐的，固定不动的
embolden v.给……壮胆，鼓励
hold n．（船）货舱
galley n．船上的厨房
sentient adj．有知觉的，知悉的
perjury n．伪证，假誓
submissive adj．恭顺的
rucksack n．（旅行等的）背包
ferrous adj．含铁的
seraphic adj．如天使般的，美丽的
elasticity n.弹性伸缩力
rendezvous n．约会，约会地点，会合
invoke v．祈求，恳求，（法律的）实施生效．
fumigate v．以烟熏消毒
motet n.赞美诗，圣歌
incommunicative adj．不爱交际的，沉默寡言的
solidarity n．团结，一致
pontifical adj．自以为是的,武断的
regenerate adj．改过自新的，新生的
celestial adj．天体的，天上的
primp v．(妇女)刻意打扮
imminent adj．即将发生的，逼近的
stricture n．谴责，严厉，束缚
solitude n．孤独
gouge n．半圆凿，v．挖出，敲竹杠
rupture n．v．破裂，断裂
endue(with) v．赋予(才能)
hardy adj．耐寒的、强壮的
reputation n．名声，名誉．
