gross adj．总的，粗野的n．整个，全部
transfuse v．输血，充满
secluded adj．隐遁的、隔绝的
perambulate v．巡行，巡视，漫步
glare v．发出眩目光芒，怒目而视
viable adj．可行的，能活下去的
solder v．焊接，焊合
confirmed adj.习惯的，积习的
subsidy n．补助金
sibilant adj.发咝咝声的(
barbecue n.烤肉架,烤肉
enchantment n．着魔，喜悦
cloistered adj.隐居的
hoop n．（桶之）箍，铁环
threnody n．挽歌，哀歌
reconnaissance n．侦察，预先探索
arteriosclerosis n.动脉硬化
chequer v.变化，沉浮
freeway n．高速公路
herbaceous adj．草本植物的
recital n．独奏，吟诵
awe v.敬畏
wile n．诡计，花言巧语
precarious adj．危险的
skimpy adj．吝啬的，贫乏的
sinuous adj．蜿蜒的，迂回的
foil v．阻挠
resume v．重新开始，继续
sawdust n．锯屑
reprobate v．谴责，指责．adj．n．堕落的（人）
momentum n．推进力，势头
discursive adj．散漫的，无层次的
embody v．(作品等)表达，体现
stratum n．地层，社会阶层
grisly adj．恐怖的，可怕的
magniloquent adj．夸张的
senescent adj．衰老的、老化的
barricade v.n.设栅阻挡,栅栏
endemic adj．地方性的
conspirator n．阴谋者，谋叛者
depute v．派…为代表或代理
elasticity n.弹性伸缩力
byre n.牛栏，牛棚
lamentable adj．令人惋惜的，悔恨的
dimple n．酒涡，笑靥
sinewy adj．多腱的，强壮有力的
invert v．上下倒置，相反放置
hostile adj．敌对的，敌意的
scythe n．大镰刀
venerate v．崇敬，敬仰
animation n．兴奋，活跃
superstition n．迷信，盲目恐惧
bawdy adj.淫猥的、下流的
establishment n．建立，团体，公司
inexplicable adj．无法解释的，难理解的
luxuriant adj．繁茂的，肥沃的
murmur v．柔声地说，喃喃而言
punch v．以拳猛击,打洞
nettle n．荨麻，v．烦忧，激恼
cagey adj.谨慎的，机灵的
tuber n．块茎，球根
mirage n．幻影，海市蜃楼
loop n．圈，金属线圈
disembodied adj．无实体的、空洞的
birch n．桦树，赤杨
ordnance n．大炮，军械
erosion n．腐蚀,侵蚀
pedestal n．（柱石或雕像的）基座
obscene adj.淫秽的
preclude v．避免,排除
sediment n．沉淀物，渣
cosmos n．宇宙（
avocation n.副业,嗜好
titular adj．有名无实的，名义上的
revamp v.翻新，修改
presenter n．主持人
buoyant adj．易浮的，快乐的．
pitcher n．有柄水罐
