mortify v．使屈辱，使痛心
authorize v.授权,批准
plutocracy n．富豪,财阀统治
prospectus n.章程，内容简介
thatch n．茅草屋顶，茅草
unruly adj．粗野的，无法无天的
segregate v．隔离
renowned adj．著名的
cater v.迎合，满足需要，承办(宴会等)
heath n.荒地
reign n．统治时期，王朝，领域
reagent n．试剂（导致化学反应）
sheath n．（刀、剑）鞘、套
disembodied adj．无实体的、空洞的
murmur v．柔声地说，喃喃而言
transgress v．冒犯，违背
fairy n.神仙,娘娘腔男人
embankment n.堤岸,路基
lamentable adj．令人惋惜的，悔恨的
enzyme n．酵素,酶
winding adj．蜿蜒的，迂回的
myth n．神话故事
scourge n．v．鞭笞，磨难
seamy adj．黑暗的、恶劣的
chuck v.放弃，离职
stipple 　v．点画，点描．
jargon n．行话
shackle n．脚镣，枷锁
reciprocity n．互惠主义，相互利益
substitute n．代替品，v．代替
cleaver n.切肉刀
adorable adj．迷人的，可爱的
stereotype n．固定形式，老套
astrolabe n．星盘（古代星位观侧仪）
entwine v．使缠绕,交织
sham n．假货，虚假，v．伪装
crafty adj．狡诈的
adduce v．给予（理由），举出
torture n．酷刑，折磨，v．对…施以苦刑
cacophony n．刺耳的声音
retrogress v．倒退，退化
waddle v．（鸭子等）摇摇摆摆地走
towering adj．耸立的，杰出的
guzzle v．大吃大喝
purveyance n．粮食的供给
wiliness n．狡猾，诡计多端
banality n.陈腐,平庸
filigree n．金银丝做的工艺品
abstracted adj．心不在焉的
abolition n．废除，革除
peach v.揭发，检举
enkindle v．煽动,点燃(感情怒3气等)
stoke v.添加燃料，司炉，激起
philander v．调戏追逐女人
cougar n．美洲豹
simultaneous adj．同时发生的
notorious adj．臭名昭著的，著名的
serpentine adj．似蛇般绕曲的，蜿蜒的
desecrate v．玷辱，亵渎
corporate adj．团体的，共同的
plume n．羽毛v．整理羽毛,骚首弄姿
churl n．粗鄙之人
buoy n．浮标，救生圈，v．支持，鼓励
discourteous adj．不恭的，不敬的
meld v.合并
rat v.背叛，背信
lancinate v．刺、戳
reticulation n．网目，网状
sterilize v．使不育，杀菌
dispensable adj．不必要的，可有可无的
scrub v．用力擦洗
purveyance n．粮食的供给
mime n．比划手脚（以表达），哑剧（演员）
installment n．分期付款，安装
natty adj．整洁的，漂亮的
carat n．（宝石重量单位）克拉，（金子）开
oasis n．绿州
tautological adj．冗赘的，用语重复的
sheaf n．一捆、一束
accentuate v．着重，强调
crafty adj．狡诈的
spoke n．（车轮上）幅条，阻碍物
discourse n．演讲，论述
brook n．小河
obsolete adj．废弃的，过时的
gnat n．对小事斤斤计较，琐事
adroit adj．熟练的，灵巧的
blatant adj．喧哗的，无耻的
reparation n．赔偿，补偿
pettish adj．易怒的，使性子的
plateau n．高原，平稳的状态
posterity n．后代,子孙
gosling n．小鹅，年轻无知的人
cute adj.逗人喜爱的，漂亮的
