pungency n．刺激性,尖刻
inventory n．详细目录，存货清单
memento n．纪念品
persnickety adj．势利的，挑剔的
tournament n．比赛，（旧时）骑士比武大会
inquisitive adj．过份好问的，好奇的
render v．使得，给与
fringe n．（窗帘等）须边，边缘
lump n．一块，肿块，v．形成块状
harbinger n．先驱，先兆．
replenish v．补充，再装满
snazzy adj.时髦的，华丽而俗气的
conceited adj．自负的，自高自大的
expulsion n.驱逐,开除
exchequer n.国库，财源
reparation n．赔偿，补偿
leach v．分离，过滤掉
peaky adj．憔悴的
cant n．隐语，术语
permissive adj．过份纵容的
embryonic adj．胚胎的，萌芽期的
python n.蟒蛇，巨蛇
styptic adj.止血的,n.止血剂
antithetic adj．对立的
introspective adj．反省的
equanimity n．镇定，沉着
shove v．推挤，猛推
charter n．（公司）执照，宪章
inexorable adj．不为所动的，坚决不变的
sultry adj．闷热的，（人）风骚的
normative adj．规范的，惯常的
solace n．安慰．慰藉
nymph n．年轻女神，少女
remiss adj．疏忽的，不留心的
viable adj．可行的，能活下去的
indefinite adj．模糊的，不确定的
prodigy n．奇事,非凡之人,天才
voluminous adj．长篇的，多产的，庞大的
abjure v．誓绝，弃绝
exhortation n.劝告，规劝
drove n．畜群，人群
noncommittal adj．态度暖昧的，含糊的
allergic adj．过敏的，对…讨厌的
hefty adj.强壮的，笨重的
nightmare n．恶梦，可怕的事
tenacious adj．坚忍不拔的，固执的
incise v．切，切割
trauma n．精神创伤，外伤
tenor n．男高音，要点，要旨
trammel v．n．束缚，妨碍，鱼网
sanatorium n．疗养院，休养所
satirical adj．讽剌的，爱挖苦的
bombastic adj．唱高调的
circumlocution n.迂回累赘的陈述
mien n．风采，态度
jaguar n．美洲虎
nimble adj．敏捷的，灵活的
transmute v．变化，变作
polymath n．知识广博者
militant adj．好战的，好暴力的
rebate n．折扣，回扣
gustation n．品尝，味觉
impose v．征税，强加
skulduggery n．舞弊，作假
motet n.赞美诗，圣歌
deflect v．偏离，转向
equable adj．稳定的,不变的，(脾气)温和的
dupe n．受骗的人，上当者
homely adj．朴素的，不漂亮的
espy v．(从远处等)突然看到
fortuitous adj．偶然的，意外的
temporal adj．时间的，世俗的
amalgamate v．合并，混合
rat v.背叛，背信
scorching adj．酷热的
scotch v．镇压、粉碎
antagonist n．敌手，对手
prolific adj．多产的,多结果的
alligator n.短吻鳄(一种鳄鱼)
medieval adj．中世纪的，中古的
flawless adj．完美的，无瑕疵的
fell n．兽皮，v．砍伐
audit v.审计,核对,旁听
extenuate v．掩饰(罪行),减轻罪过
opacity n．不透明，暖昧
quarantine n．隔离检疫期，隔离
relapse n．v．旧病复发，再恶化
pilfer v．偷窃
drainage n．排水，污水
reciprocal adj．相互的，互惠的
crinkle v．（使）变皱，n．皱纹
indemnify v．赔偿，偿付
honk n．汽车喇叭声，雁叫声
entrenched adj．(权力,风俗等)确立的,确定的
suffice v．足够，（食物）满足
lenience n.宽大，温和
iris n．虹膜，彩虹
snooty adj.自大的，傲慢的
embitter v.使痛苦，使难受
foreboding n．预感，预兆
huckster n叫卖小贩，零售商
emissary n．密使，特使
sedate adj．安静的、镇静的
vanquish v．征服，击溃
malleable adj．可塑的，易改变的
concise adj．简洁的
handle n．柄，把手，v．处理
bleachers n．（球场的）露天座位
bankrupt adj.破产的
remonstrate v．抗议，规劝
grouse n．松鸡v．牢骚，诉苦
dossier n．卷宗，档案
pending adj．即将发生的，未决的
aeon n．千万年，永久
prodigious adj．很大的,巨大的
wrench v．扭，拧，n．板钳，板手
dilate v．（身体某部位）张大，扩大
erudite adj．博学的，饱学的
lenience n.宽大，温和
intransigent adj．不妥协的，固执的
peppery adj．胡椒味的，暴躁的
vernacular adj．本国语，地方语
derangement n．精神错乱
moor n．旷野地，荒野v．使（船）停泊
overdose n．（药物）过度剂量
scandal n．丑闻，恶意诽谤
terpsichorean adj．舞蹈的
exult v．欢腾,喜悦
adore v．崇拜，热爱
auger n.螺丝钻,钻孔机
plot n．情节,阴谋
dichotomy n．二分、本质对立
desiccate v．（使）完全干涸，脱水。
ornithology n．鸟类学
speculate v．沉思，思索，投机
elapse v.(光阴)消逝
ligneous adj．木质的，木头的
reverberate v．起回声，反响
objectionable adj．令人厌恶的
apology n．道歉，谢罪
finch n．雀科鸣禽（如燕雀，金丝雀等）
slimy adj.泥泞的，令人讨厌的
variance n．矛盾，不同
receptacle n．容器
insufferable adj．无法忍受的
truncate v．把（某物）截短，去尾
unscrupulous adj．肆无忌惮的，无天理的
illustration n．举
profanity n．不敬,渎神
instantaneous adj．立即的，瞬间发生的
tepid adj．微温的
lionize v．崇拜，看重
leprosy n．麻疯病
hypothetical adj．假说的，臆说的
granular adj．粒状的，含颗粒的
annihilate v．消灭
desiccate v．（使）完全干涸，脱水。
haggle v．争论，讨价还价
intersect v．横截,横断
prompting n．激励,鼓舞
migrant n．移民，候鸟
dilate v．（身体某部位）张大，扩大
rural adj．乡村的
gale n．狂风，一阵（笑声）
invocation n．祈祷
besiege v．围攻，困扰
gambol n．雀跃，嬉戏
regimentation n．严格控制，纪律
joust v．马上长枪比武，竞争
glide v．滑行，滑动
rotund adj．（人）圆胖的，（音声）洪亮的
arrogate v．冒称具有……权力
sneak v．鬼鬼祟祟而行，偷窃
fairyland n．仙境
sensuality n．淫荡、好色
interpolate v．加入(额外的事),窜改
legislate v．制定法律
vertiginous adj．令人眩晕的
despoil v．夺取，抢夺
linoleum n．油毡
anarchic adj．无政府的
measured adj．精确的，慎重的
terminology n．术语，术语学
disfranchise v．剥夺…的权力（尤指选举权）
whisper v．耳语，低声说话
limnetic adj．湖泊的
bully v．欺负，威协
persevering adj．坚忍不拔的
hinterland n．内地，穷乡僻壤
distinction n．区别、差别，知名
vigilant adj．机警的，警惕的
maze n．迷宫
ogreish adj.魔鬼的，丑怪的
yoke n．轭，v．控制，束缚
omnivorous adj．杂食的，兴趣广泛的
rumple v．弄皱，弄乱
intercept v．中途拦截,截取
nippers n．钳子，镊子
immaterial adj．无关紧要的，非实体的
disputatious adj．好争辩的
coagulant n.凝结剂
deportment n（尤指少女的）风度，举止
redundancy n．过剩，似乎多余其实重要的后备力量
compulsion n．压力，难以抗拒的冲动
arboreal 　adj．树木的．
generator n．发电机
invoke v．祈求，恳求，（法律的）实施生效．
seditious adj．煽动性的
clash v.冲突，撞击
polyandry n．一妻多夫制
grotesque adj．怪诞的，古怪的
oblation n．宗教的供品，祭品
strolling adj．巡回演出的
maneuverable adj．可移动的，可操纵的
forlorn adj．孤独的，凄凉的
acquired adj．后天习得的
pastiche n.(音乐等)混合作品
epigram n．警句，讽刺短诗
upholstery n．室内装潢品（地毯，窗帘等）
folklore n．民俗学，民间传说
affidavit n．宣誓书
congregation n．集合在一起的群众
officious adj．爱发命令的，好忠告人的
sequential adj．连续的，一连串的
shove v．推挤，猛推
discharge v．流出，释放，解雇
sanctimonious adj．伪装虔诚的
slacker n.逃避工作的人，懒虫
haven n．安息所，避难所
fertile adj．多产的，肥沃的
listless adj．无精打采的
notch n．V字形刻痕，山间窄路
typhoid n.伤寒症
putsch n.起义，叛乱
outlandish adj．奇怪的，古怪的
conjure v．变魔术，变戏法
sextant n．六分仪（航海定向仪器）
lapidary n．宝石工，宝石专家
auricular adj.耳的
fecund adj．肥沃的,多产的
compulsion n．压力，难以抗拒的冲动
unctuous adj．油腔滑调的
impassioned adj．慷慨激昂的
shrug v．耸肩（表示怀疑等）
svelte adj．（女人）体态苗条的
probation n．试用(期),试验
cryptic adj．秘密的，神秘的
cohesion n.内聚力
cushion n．坐垫v．减轻，缓和
cataclysm n．剧变，灾难（常指大洪水或地震）
substitute n．代替品，v．代替
crook v．使弯曲
mermaid n．美人鱼
repletion n．充满，吃饱
craven adj．懦弱的，畏缩的
forfeiture n．（名誉等）丧失
ornithology n．鸟类学
approximate adj．大约的，估计的
apprehensive adj．恐惧的，担心的
motto n．座右铭，箴言
herald n．传令官，预示
pompous adj．自大的
redress v．n．改正，修正
antler n.鹿角，茸角
inflame v使燃烧，激怒（某人）
airborne adj．空气传播的，（部队）空降的
indispensable adj．不可缺乏的
swarm v．攀爬
laxity n．松弛，放纵
artless adj．粗俗的，自然的
psychic adj．精神的,心灵的
pine n．松树v．（因疾病等）憔悴，衰退
plod v．重步走,吃力干
bereft of丧失，失去
tamp v．捣实，砸实
syringe n．注射器
rancid adj．不新鲜的，变味的
alcove n．凹室，壁龛
charter n．（公司）执照，宪章
badger n.獾
sliver n．长条，细片，v．裂成细片
expendable adj.可耗尽的,可牺牲的
apology n．道歉，谢罪
dyslexia n．阅读
honours n．勋位，优等成绩
faucet n．水龙头
cathode n.(电)阴极，负极
replicate v．重复，复制
calibrate v．量…口径，标准。
proscribe v．禁止
procrastinate v．耽搁,拖延
prorogue v．休会,延期
eruption n．爆发
optional adj．可自由选择的
swerve v．转向，突然改变方向
neutralize v．使无效，中和
discriminating adj．有辨别能力的
flora n．（某地区或时代的）植物群
pedestrian adj．徒步的，缺乏想像的n．行人
deadlock n．相持不下，僵局
carat n．（宝石重量单位）克拉，（金子）开
eradicate v．根除，扑灭
primeval n．原始的,早期的
efface v．擦掉，抹去
disinter v．挖出，掘土
hypnotic adj．催眠的
dislodge v．逐出，取出
filth n．肮脏，粗语
pauper n．贫民，乞丐
calumniate v．诽谤，中伤
sensation n．知觉，轰动（的事）
refulgence n．辉煌，光亮
temperance n．自制，节制，禁酒
bonnet n．圆帽，扁平软帽
atrophy n.v.萎缩,衰退
seascape n．海景
expertise n.专技，专业知识
contraction n．收缩
paleography n．古文字学
glisten v．闪烁，闪耀．
recantation n．改变宗教信仰
erosion n．腐蚀,侵蚀
quitter n．遇困难即放弃者
ogle v．送秋波，n．媚眼
reiterate v．重申，反复地说
repartee n．机灵的回答
dissident n．唱反调者
cringe v．畏缩，谄媚，奉承
lassitude n．无力，没精打采
farrow v．(母猪)生产n.一窝小猪
moralistic adj．道学气的
antigen n．抗原（注射于动物体内，能使之产生抗体的物质）
iniquitous adj．邪恶的，不公正的
vilify v．辱骂，诽谤
scurry v．急跑，疾行
slate n．石板，候选人名单v．提名
caricature n．讽刺画，滑稽模仿
