sequential adj．连续的，一连串的
grind v．磨碎，碾碎
gamut n．全音阶，（一领域的）全部知识
grateful adj．感激的
sizzler n．炎热天气、大热天
sedulous adj．聚精会神的、勤勉的
gaucherie n．笨拙
noncommittal adj．态度暖昧的，含糊的
rudimentary adj．初步的，未充分发展的
botany n．植物学
shrivel v．枯萎，皱缩
aquatic adj．水生的，水中的
sparkle v．闪闪发光，闪耀
proboscis n．(象)长鼻,(昆虫等)吸管
eccentric adj．古怪的，反常的
fairy n.神仙,娘娘腔男人
metaphorical adj．隐喻的，比喻的
lenient adj．宽大的，仁慈的
cannibal n．食人者，食同类的动物
appeal v．恳求，吸引
guarded adj．谨慎的，提防的
slanderous adj．诽谤的，中伤的
nadir n．最低点，无底
coercion n.强制，高压统治
berserk adj．狂怒的，疯狂的
shack n．简陋的小屋，棚屋
relic n．遗物，遗迹
bumper n．汽车前后的保险杆
crooked adj．弯曲的，扭曲的
flock n．羊群，鸟群
merchandise n．商品，货品
controvert v．反驳，驳斥
sentient adj．有知觉的，知悉的
cant n．隐语，术语
egress n.出去，出口
solemnity n．庄严，肃穆
unruly adj．粗野的，无法无天的
sapient adj．有智慧的
nebulous adj．模糊不清的，云状的
tender v．提出（希望对方接受的意见等）
premeditated adj．预谋的,事先计划的
emergency n．紧急事件
tattle v.闲谈，泄密
grind v．磨碎，碾碎
patio n．庭院，平台
strip v．剥去，n．狭长的一片
belch v.打嗝，喷出
lurk v．潜伏，埋伏
irreproachable adj．不可指责的，无过失的
trice n.瞬间，顷刻
clam n.蛤，蚶
adept adj．老练的，精通的
cipher n.零，无影响力的人，密码
platonic adj．纯友谊的(爱情)
sequacious adj．前后一贯的，盲从的
zealot n．狂热份子，热心者
encroachment n．侵入，侵犯
metaphorical adj．隐喻的，比喻的
deflated adj．灰心丧气的
cacophony n．刺耳的声音
stanza n．（诗）节，段
confiscate v．没收，充公
inquisitive adj．过份好问的，好奇的
invulnerable adj．无法伤害的
retrospect n．反顾，回顾
induct v．使就职，使入伍
derogate v．贬低，诽谤
substratum n．基础，根据
respective adj．个别的，各自的
frugality n．节约，节俭
expurgate v．净化，删去
outfox v．以机智胜过
devolution n.委托，移交
renown n．名望，声誉
skewer n．（烤肉用的）串肉杆v．用杆串好
exhibitionism n.风头主义
ligature n．绑缚之物（尤指系住血管以免失血的线）
deft adj．灵巧的，熟练的（a　deft　hand能手）
parquet n．镶木地板．
estrange v.使疏远
emissary n．密使，特使
pinnacle n．尖塔,山峰
averse adj.厌恶的,反对的
affectation n．做作，虚假
provincial adj．偏狭的,粗俗的
probation n．试用(期),试验
strife n．纷争，倾轧
garrulity n．唠叨，饶舌．
adagio adj.缓慢的，宁静的
locust n．蝗虫，贪吃的人
monograph n．专题论文
apiculture n．养蜂业
gormandize v．拼命吃，贪吃
odoriferous adj．有香味的，芳香的
