gravel n．碎石，砂砾
nicotine n．尼古丁
default n．拖债，未履行的责任
pretext n．借口
archer （运动或战争中的）弓箭手，射手
ravish v．迷住，强夺
astrolabe n．星盘（古代星位观侧仪）
precis n．摘要,大纲
chauvinism n．沙文主义，盲目爱国主义
verbosity n．唠叨，冗长
uptight adj．焦虑不安的，紧张的
massacre n．大屠杀，大败
vicious adj．残酷的，危险的
compulsive adj．难以抑制的
dolorous adj．悲哀的，忧愁的
gridiron n．烤架，橄榄球场
embroil v．牵连,卷入纠纷
rat v.背叛，背信
obliging adj．恳切的，热心助人的
folklore n．民俗学，民间传说
labile a.不稳定的，易变的(
deem v．认为，视为
fiendish adj．极凶恶的
eclogue n．田园诗，牧歌
excruciating adj.极痛苦的
incurable adj．无可救药的
husk n．外壳，皮，荚
muster v．召集，聚集
lave v.洗浴，慢慢冲刷
shale n．页岩
abracadabra n.咒语，胡言乱语
baron n.大财主,大老板
personification n．典型，完美榜样
herald n．传令官，预示
quartet n．四重奏，四重唱
host n．东道主，（寄生物之）寄主
topsoil n．表层土
engross v．全神贯注于
fare n．交通费，食物
chastise v．严厉惩罚，遣责
pedestrian adj．徒步的，缺乏想像的n．行人
compatible adj.和谐共处的，相容的
intervene v．介入,干涉
sterilize v．使不育，杀菌
lunacy n．疯狂，愚行
modicum n．少量
cajole v．（以甜言蜜语）哄骗
smelt v．熔解，熔炼
mortgage n．抵押贷款，抵押证书v．抵押
playwright n．剧作家
ravine n．深谷，峡谷
lark n．玩笑，嬉耍
dross n．浮渣，糟粕
underhanded adj．不光明的，卑鄙的
turquoise n．绿松石，adj．碧绿的
defile v．弄污，弄脏n．（山间）小道
appeasement n．平息，满足
titular adj．有名无实的，名义上的
indocile adj．不听话的，难顺服的
fervent adj．热的，热烈的
frame-up n．陷害，虚构的罪名
showy adj．鲜艳的，显眼的
intuitive adj．有直觉力的，直觉到的
intertwine v．纠缠,缠绕
couch n．长沙发，睡椅
plastic adj．可塑的n．塑胶
controversy n．争论，辩论
erudition n．博学
vulgar adj．无教养的，下流的
adversary n对手，敌手
stickler n．坚持细节之人
delirium n．精神错乱，发狂
perish v．死，暴卒．
dilute v．把（液体）弄稀、弄淡
stance n站姿，立场
collage n.拼贴画
enzyme n．酵素,酶
indescribable adj．（美得）无法形容的（
fell n．兽皮，v．砍伐
slate n．石板，候选人名单v．提名
agitation n．鼓动，焦虑
lengthy adj．很长的，冗长的
retinue n．侍从，随员
panic n．恐慌，惊惶
disquisition n．长篇演讲，专题论文
unctuous adj．油腔滑调的
pitfall n．陷阱,未料到的危险或困难
bespeak v．显示，表示
forwardness n．大胆，鲁莽
notoriety n．臭名昭彰
instantaneous adj．立即的，瞬间发生的
groveler n．乞怜者．
versed adj．熟练的，精通的
proctor n．代理人,学监
convalescence n．病后康复期
marsupial n．adj．有袋动物（的）
pomp n．盛况,不必要的炫耀
summarily adv．概括地，仓促的
unflappable adj.镇定的，从容不迫的
articulate v．清楚说话，接合
sate v．使心满意足，使厌足
scenario n．剧情说明书，剧本
flamboyant adj．艳丽的，炫耀的
sheriff n．县治安官
reconnaissance n．侦察，预先探索
miniature n．小画像，缩影
underhanded adj．不光明的，卑鄙的
stiletto n．小剑，匕首
condiment n．调味品，佐料
dissolute adj．放荡的，无节制的
copyright n．版权，著作权
debauchery n．放荡，沉缅酒色
stipend 　n．薪水，薪俸，养老金
interrogative adj．疑问的
havoc n．大破坏，混乱
omnivorous adj．杂食的，兴趣广泛的
jolly adj．欢乐的，快乐的
couch n．长沙发，睡椅
incontinent adj．无力控制（自己）的，纵欲的
condole withv．向…吊慰
chap v.(皮肤)变粗糙，皲裂
toady n．谄媚者，马屁精
dredge v．用挖泥机疏浚，疏通
warden n．看守人，管理员
identify v．认明，认出
outbid v．出价多于（他人）
singe v．（轻微地）烧焦，烫焦
matrix n．模子，矩阵
serrated adj．呈锯齿状的
libido n．性欲，生命力
piercing adj．刺骨的，敏锐的
mollusk n．软体动物
peculate v．挪用（公款）
plasticity n．可塑性
pulmonary adj.肺的，对肺有影响的
scabbard n．（刀、剑）鞘，枪套
economize v．节省（钱、时间等）
daubster n．拙劣的画家
caribou n.北美驯鹿
truculent adj．残暴的，凶狠的
prevision n．先见,预感
incongruity n．不一致
exploit v.剥削，开发利用
