expansion n.扩张,膨胀
mortar n．（砌砖用的）灰浆
hinder v．阻碍，妨碍
abstracted adj．心不在焉的
shopsoiled adj.残破的，陈旧的
fabulous adj．难以置信的，寓言里的
flammable adj．易燃的
compellation n.姓名，头衔
stoke v.添加燃料，司炉，激起
bureaucracy n．官僚政治
osculation n.接吻，共同特性
tornado n．飓风，龙卷风
cumber vt．拖累，妨碍
momentous adj．极重要的，严重的
iniquity n．邪恶，不公正
hump n．隆起，驼背，v．隆起
empiricism n．经验主义
seclusive adj．好隐居的
folklore n．民俗学，民间传说
insolent adj．粗野的，无礼的
impediment n．妨碍、阻碍物
extol v．赞美
flay v．剥皮，诈取，严厉指责
demography n．人口统计，人口学
rap v.严厉指责
indenture n．契约，合同
acme n．顶点，极点
dross n．浮渣，糟粕
recital n．独奏，吟诵
fanatic adj．狂热的，盲信的n.狂热者
pollinate v．给……授粉
grandeur n．壮丽，伟大
discriminatory n．歧视的，差别待遇的
avenge v.为…复仇,为…报仇
stiletto n．小剑，匕首
scrub n．矮树丛，身体矮小的人
diplomatic adj．外交的，圆滑的
chinless adj.胆小的，畏缩的
epidemic adj．传染性的，流行性的
lenient adj．宽大的，仁慈的
palliate v．减轻（痛苦），掩饰（罪行）
posit v．假定,认为
blackmail n．v．敲诈，勒索
cessation n．中止，（短暂的）停止
contrition n．悔罪，痛悔
ordain v．任命，命令
atonement n.赎罪,弥补
fictitious adj．假的、虚构的
choreography n．舞蹈，舞蹈编排
self-assertion n．坚持己见，自信
incendiary adj．放火的，纵火的
plump adj．颇胖的,丰满的
embroider v．刺绣，修饰
emulate v．努力赶上或超越
grind n．枯燥乏味的工作
utilize v．利用，使用
retrograde adj．后退的，v．倒退
ambivalence n．矛盾心理
meretricious adj．华而不实的，俗艳的
intervention n．干涉
incriminate v．连累，牵连
lowbred adj．粗野的，鲁莽的
overdose n．（药物）过度剂量
inadvertent adj．不注意的，疏忽的
ebullient adj．兴冲冲的，热情奔放的
acrimonious adj．尖刻的
oasis n．绿州
cozen v.欺骗，哄骗
refinement n．提炼，文雅
skyrocket v．陡升，猛涨
genial adj．愉快的，脾气好的．
sanatorium n．疗养院，休养所
reconcile v．和解，调和
abnormal adj．不正常的，变态的
mooch v.闲荡，溜达
elaborate v.详尽地说明，阐明
corrigendum n.应改正的错误，正误表
period n．句号
treacherous adj．阴险的，危险的
weld v．焊接，熔接，结合
covet v．贪求，妄想
assured adj．自信的，确定的
contumacious adj．违抗的，不服从的
foreclose v．排除，取消抵押品的赎回权
beacon n.信号灯,闪光灯
guillotine n断头台
gripping adj．引起注意的
plot n．情节,阴谋
category n．类别，范畴
byre n.牛栏，牛棚
blasphemy n．亵渎，渎神
daub v．涂抹，乱画
homograph n．同形异义字
organism n．生物，有机体
sumptuous adj.奢侈的，华丽的
quarry n．采石场，v．采石
fillet,filet n．束发带，鱼肉片
defame v．诽谤，中伤
grouse n．松鸡v．牢骚，诉苦
adjure v．郑重敦促（恳请）
reaper n．收割者
absurdity n．荒谬
piracy n.非法翻印，海盗行为
grind v．磨碎，碾碎
redemption n．赎罪
splenetic adj．脾气暴的，易怒的
cerebrum n．大脑
equitation n．骑术
rubble n．（一堆）碎石，瓦砾
garrulity n．唠叨，饶舌．
lascivious adj．淫乱的，好色的
philander v．调戏追逐女人
python n.蟒蛇，巨蛇
shove v．推挤，猛推
inspired adj．有创见的，有灵感的
saddle n．鞍，马鞍
imaginary adj．虚构的
inanition n．（因无食物和水而）身体虚弱，死气沉沉
peptic adj．产生胃酶的，助消化的
insuperable adj．难以克服的
pawn n．v．典当，抵押，n．小人物，走卒
ravish v．迷住，强夺
demarcate v．划分，划界
ocular adj．眼睛的，可见的
tined adj．尖端的
magenta n．adj．紫红色[福www哇FｖａL小cＮ说]（的染料）
renowned adj．著名的
accelerate v．加速，催促
landlocked adj．被陆地包围的
whelm v．用…覆盖，淹没
pendulum n．摆，钟摆．
kaleidoscopic adj．千变万化的
provender n．(牛马吃的)草料,粮秣
frail adj．脆弱的，不坚实的
swarm n．（蜜蜂）一群，一群（人）
austerity n.朴素,艰苦
wanderlust n．漫游癖，旅游热
foreboding n．预感，预兆
gutter n．水槽，街沟
hidebound adj．顽固的，心胸狭窄的
sustain v．承受（困难），支撑（重量）
mistimed adj．不合时机的
reserve n．谨慎，话语不多，储备．
intoxicate v．使醉，陶醉
veto v．n．否决，禁止
quack n．冒充内行之人，庸医
totalitarian adj．极权主义的
frivolity n．轻浮
contract v．订合同，收缩
hippopotamus n．河马
cussed adj.执拗的，顽固的
chary adj．小心的，审慎的
condescend v．屈尊，俯就
smutty adj．淫秽的
divagate v．（文章或谈话）离题，漂泊
covenant n．契约，v．立书保证
idyll n．田园生活，田园诗
macrocosm n．宇宙，宏观世界
cower v．畏缩，蜷缩
auxin n.(植物)生长素
exceed v.超过,超出
folklore n．民俗学，民间传说
